time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011)
0.0,-24.99993,-25.0,24.99993,25.0,0.00439999957,0.00416539923,-0.0158345983,0.0,0.00416539919,-0.0158345983,0.0
1e-07,-24.99993,-25.0,24.99993,25.0,0.00441188513,0.00416777485,-0.0158070419,1.18856294e-05,0.00416539919,-0.0158259869,1.25663698e-05
2e-07,-24.99993,-25.0,24.99993,25.0,0.00442389439,0.00417241453,-0.0157535274,2.38950089e-05,0.00416539919,-0.0158033433,2.51327346e-05
4e-07,-24.99993,-25.0,24.99993,25.0,0.00444791467,0.00418550314,-0.0156053628,4.79156419e-05,0.0041653992,-0.0157259069,5.02654295e-05
8e-07,-24.99993,-25.0,24.99993,25.0,0.00449595019,0.00422567519,-0.0151599635,9.59525195e-05,0.00416539928,-0.0153990081,0.000100530542
1.6e-06,-24.99993,-25.0,24.99993,25.0,0.0045920109,0.00432083338,-0.0141126605,0.000192018555,0.00416539967,-0.0144148841,0.000201058543
3.2e-06,-24.99993,-25.0,24.99993,25.0,0.00478410418,0.0045134754,-0.0119938631,0.000384132983,0.0041654015,-0.012279006,0.000402096767
5.85575571e-06,-24.99993,-25.0,24.99993,25.0,0.00510282548,0.00483170366,-0.0084932924,0.000702920205,0.00416540762,-0.00878674067,0.000735689954
1.11672671e-05,-24.99993,-25.0,24.99993,25.0,0.00573948168,0.00546850897,-0.0014887751,0.00133982358,0.00416543139,-0.00177608236,0.00140216897
2.11672671e-05,-24.99993,-25.0,24.99993,25.0,0.00693310451,0.00666166726,0.0116350901,0.00253432775,0.00416551774,0.0113450668,0.00265212242
3.11672671e-05,-24.99993,-25.0,24.99993,25.0,0.00811620907,0.00784499222,0.0246500793,0.00371885379,0.00416565809,0.0243671318,0.00389160916
4.11672671e-05,-24.99993,-25.0,24.99993,25.0,0.00928412631,0.00901278375,0.0374937197,0.00488872682,0.00416585187,0.0372115145,0.0051157375
5.11672671e-05,-24.99993,-25.0,24.99993,25.0,0.0104322473,0.0101613702,0.0501254538,0.00603933,0.00416609829,0.0498514997,0.00631967635
6.11672671e-05,-24.99993,-25.0,24.99993,25.0,0.0115560411,0.0112853683,0.0624862133,0.00716612226,0.00416639634,0.0622161239,0.00749867433
7.11672671e-05,-24.99993,-25.0,24.99993,25.0,0.012651073,0.0123811134,0.0745356002,0.00826465684,0.00416674482,0.0742750949,0.00864807847
8.11672671e-05,-24.99993,-25.0,24.99993,25.0,0.0137130214,0.0134435833,0.0862184539,0.0093305981,0.00416714234,0.0859646201,0.00976335259
9.11672671e-05,-24.99993,-25.0,24.99993,25.0,0.0147376957,0.0144692162,0.0974955707,0.0103597395,0.0041675873,0.0972527277,0.0108400952
0.000101167267,-24.99993,-25.0,24.99993,25.0,0.0157210519,0.0154533951,0.108316199,0.0113480192,0.00416807791,0.108082531,0.0118740569
0.000111167267,-24.99993,-25.0,24.99993,25.0,0.0166592098,0.016392749,0.118643288,0.0122915372,0.00416861221,0.118422019,0.0128611572
0.000121167267,-24.99993,-25.0,24.99993,25.0,0.0175484668,0.01728311,0.128430982,0.0131865695,0.00416918808,0.128221092,0.0137975003
0.000131167267,-24.99993,-25.0,24.99993,25.0,0.0183853139,0.018121378,0.137645256,0.0140295842,0.0041698032,0.137449114,0.014679391
0.000141167267,-24.99993,-25.0,24.99993,25.0,0.0191664483,0.0189038746,0.146245608,0.0148172539,0.00417045514,0.146062751,0.0155033489
0.000151167267,-24.99993,-25.0,24.99993,25.0,0.0198887879,0.0196278429,0.15420182,0.0155464704,0.00417114127,0.154033945,0.0162661221
0.000161167267,-24.99993,-25.0,24.99993,25.0,0.0205494818,0.0202901309,0.161479156,0.0162143555,0.00417185889,0.161326173,0.0169647004
0.000171167267,-24.99993,-25.0,24.99993,25.0,0.0211459231,0.0208883873,0.16805189,0.0168182736,0.00417260512,0.167914966,0.0175963267
0.000181167267,-24.99993,-25.0,24.99993,25.0,0.0216757578,0.0214200188,0.17389141,0.017355841,0.00417337699,0.173770683,0.0181585084
0.000191167267,-24.99993,-25.0,24.99993,25.0,0.0221368954,0.0218831331,0.178977061,0.0178249366,0.00417417143,0.178873274,0.0186490268
0.000201167267,-24.99993,-25.0,24.99993,25.0,0.022527516,0.0222757216,0.183286647,0.0182237085,0.00417498529,0.183200056,0.0190659459
