 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 0.00000000e+00  0.00000000e+00 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.39999957e-03  4.16592302e-03 -3.18340726e-02  0.00000000e+00  4.16592300e-03 -3.18340726e-02  0.00000000e+00 
 1.00000000e-07  1.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.41188364e-03  4.16672033e-03 -3.18033001e-02  1.18841369e-05  4.16592300e-03 -3.18244562e-02  1.25663698e-05 
 2.00000000e-07  2.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.42389150e-03  4.16832197e-03 -3.17387890e-02  2.38921205e-05  4.16592300e-03 -3.17976852e-02  2.51327346e-05 
 4.00000000e-07  4.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.44790970e-03  4.17316688e-03 -3.15451446e-02  4.79106746e-05  4.16592301e-03 -3.17003612e-02  5.02654295e-05 
 8.00000000e-07  8.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.49594471e-03  4.19147894e-03 -3.08202361e-02  9.59470449e-05  4.16592307e-03 -3.12073413e-02  1.00530542e-04 
 1.60000000e-06  1.60000000e-06 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.59200803e-03  4.25178892e-03 -2.84437600e-02  1.92015698e-04  4.16592350e-03 -2.91746403e-02  2.01058543e-04 
 3.20000000e-06  3.20000000e-06 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.78410383e-03  4.41764208e-03 -2.19214262e-02  3.84132638e-04  4.16592611e-03 -2.29126054e-02  4.02096767e-04 
 6.07673032e-06  6.07673032e-06 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.12933571e-03  4.75717332e-03 -8.57808540e-03  7.29437664e-04  4.16593784e-03 -9.62002522e-03  7.63438931e-04 
 8.99647829e-06  8.99647829e-06 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.47944123e-03  5.10769168e-03  5.19558252e-03  1.07966356e-03  4.16595948e-03  4.16078296e-03  1.12992885e-03 
 1.35677691e-05  1.35677691e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  6.02671887e-03  5.65442035e-03  2.66787570e-02  1.62722291e-03  4.16601320e-03  2.56455823e-02  1.70291178e-03 
 2.27103506e-05  2.27103506e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  7.11647141e-03  6.74368933e-03  6.94777065e-02  2.71787899e-03  4.16619295e-03  6.84508172e-02  2.84419190e-03 
 3.27103506e-05  3.27103506e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  8.29753577e-03  7.92472425e-03  1.15877882e-01  3.90044771e-03  4.16649932e-03  1.14862650e-01  4.08162658e-03 
 4.27103506e-05  4.27103506e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  9.46269730e-03  9.09043032e-03  1.61671275e-01  5.06764683e-03  4.16691914e-03  1.60670941e-01  5.30295295e-03 
 5.27103506e-05  5.27103506e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.06073578e-02  1.02361669e-02  2.06675509e-01  6.21486989e-03  4.16745068e-03  2.05694793e-01  6.50335098e-03 
 6.27103506e-05  6.27103506e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.17270002e-02  1.13574349e-02  2.50713943e-01  7.33758936e-03  4.16809178e-03  2.49755968e-01  7.67808326e-03 
 7.27103506e-05  7.27103506e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.28172058e-02  1.24497983e-02  2.93612275e-01  8.43137432e-03  4.16883986e-03  2.92681526e-01  8.82251366e-03 
 8.27103506e-05  8.27103506e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.38736725e-02  1.35089503e-02  3.35201450e-01  9.49190814e-03  4.16969190e-03  3.34300945e-01  9.93212562e-03 
 9.27103506e-05  9.27103506e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.48922309e-02  1.45307116e-02  3.75317285e-01  1.05150053e-02  4.17064448e-03  3.74451180e-01  1.10025400e-02 
 1.02710351e-04  1.02710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.58688617e-02  1.55110469e-02  4.13801428e-01  1.14966282e-02  4.17169378e-03  4.12972591e-01  1.20295324e-02 
 1.12710351e-04  1.12710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.67997106e-02  1.64460920e-02  4.50502117e-01  1.24329027e-02  4.17283559e-03  4.49714319e-01  1.30090498e-02 
 1.22710351e-04  1.22710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.76811043e-02  1.73321515e-02  4.85274381e-01  1.33201338e-02  4.17406534e-03  4.84530278e-01  1.39372263e-02 
 1.32710351e-04  1.32710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.85095645e-02  1.81657349e-02  5.17981162e-01  1.41548200e-02  4.17537813e-03  5.17284097e-01  1.48103990e-02 
 1.42710351e-04  1.42710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.92818219e-02  1.89435461e-02  5.48493222e-01  1.49336672e-02  4.17676871e-03  5.47845581e-01  1.56251218e-02 
 1.52710351e-04  1.52710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.99948290e-02  1.96625223e-02  5.76690328e-01  1.56536015e-02  4.17823152e-03  5.76094994e-01  1.63781794e-02 
 1.62710351e-04  1.62710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.06457721e-02  2.03198197e-02  6.02461038e-01  1.63117818e-02  4.17976075e-03  6.01920069e-01  1.70665998e-02 
 1.72710351e-04  1.72710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.12320825e-02  2.09128508e-02  6.25703827e-01  1.69056104e-02  4.18135028e-03  6.25219617e-01  1.76876662e-02 
 1.82710351e-04  1.82710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.17514464e-02  2.14392694e-02  6.46326814e-01  1.74327438e-02  4.18299379e-03  6.45901042e-01  1.82389273e-02 
 1.92710351e-04  1.92710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.22018144e-02  2.18970040e-02  6.64248778e-01  1.78911017e-02  4.18468473e-03  6.63883329e-01  1.87182078e-02 
 2.02710351e-04  2.02710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.25814094e-02  2.22842426e-02  6.79398848e-01  1.82788750e-02  4.18641636e-03  6.79094984e-01  1.91236161e-02 
 2.12710351e-04  2.12710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.28887334e-02  2.25994628e-02  6.91717392e-01  1.85945335e-02  4.18818179e-03  6.91476471e-01  1.94535522e-02 
 2.22710351e-04  2.22710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.31225739e-02  2.28414153e-02  7.01155665e-01  1.88368313e-02  4.18997399e-03  7.00978497e-01  1.97067140e-02 
 2.32710351e-04  2.32710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.32820081e-02  2.30091508e-02  7.07676563e-01  1.90048122e-02  4.19178583e-03  7.07563971e-01  1.98821024e-02 
 2.42710351e-04  2.42710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.33664072e-02  2.31020024e-02  7.11254234e-01  1.90978133e-02  4.19361009e-03  7.11206554e-01  1.99790252e-02 
