 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)        
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.19998951e+01  1.25849669e+00  0.00000000e+00  0.00000000e+00  1.20000000e+01 
 2.00000000e-05  2.00000000e-05 -5.95031135e-10  1.19998951e+01  1.25849669e+00 -5.95030913e-10 -5.94951866e-10  1.20000000e+01 
 4.00000000e-05  4.00000000e-05 -7.14734938e-10  1.19998951e+01  1.25849669e+00 -7.14734494e-10 -7.14560633e-10  1.20000000e+01 
 8.00000000e-05  8.00000000e-05 -7.63042962e-10  1.19998951e+01  1.25849669e+00 -7.63042296e-10 -7.62671926e-10  1.20000000e+01 
 1.60000000e-04  1.60000000e-04 -7.02195191e-10  1.19998951e+01  1.25849669e+00 -7.02193859e-10 -7.01434022e-10  1.20000000e+01 
 3.20000000e-04  3.20000000e-04 -9.99559990e-10  1.19998951e+01  1.25849669e+00 -9.99556438e-10 -9.97893990e-10  1.20000000e+01 
 6.40000000e-04  6.40000000e-04 -1.36020972e-10  1.19998951e+01  1.25849669e+00 -1.36010092e-10 -1.33155265e-10  1.20000000e+01 
 1.28000000e-03  1.28000000e-03 -7.53827001e-10  1.19998951e+01  1.25849669e+00 -7.53792362e-10 -7.49103224e-10  1.20000000e+01 
 2.56000000e-03  2.56000000e-03 -8.20257418e-10  1.19998951e+01  1.25849669e+00 -8.20123747e-10 -8.08988432e-10  1.20000000e+01 
 4.56000000e-03  4.56000000e-03 -4.52231141e-10  1.19998951e+01  1.25849669e+00 -4.51808813e-10 -4.32987202e-10  1.20000000e+01 
 6.56000000e-03  6.56000000e-03 -5.36196643e-10  1.19998951e+01  1.25849669e+00 -5.35368416e-10 -5.11101828e-10  1.20000000e+01 
 8.56000000e-03  8.56000000e-03 -4.48777238e-10  1.19998951e+01  1.25849669e+00 -4.47455628e-10 -4.18046042e-10  1.20000000e+01 
 1.05600000e-02  1.05600000e-02 -5.28319832e-10  1.19998951e+01  1.25849669e+00 -5.26426680e-10 -4.92188956e-10  1.20000000e+01 
 1.25600000e-02  1.25600000e-02 -4.39629666e-10  1.19998951e+01  1.25849669e+00 -4.37095027e-10 -3.98336031e-10  1.20000000e+01 
 1.45600000e-02  1.45600000e-02 -5.14102982e-10  1.19998951e+01  1.25849669e+00 -5.10866682e-10 -4.67908823e-10  1.20000000e+01 
 1.65600000e-02  1.65600000e-02 -4.23372670e-10  1.19998951e+01  1.25849669e+00 -4.19383195e-10 -3.72545328e-10  1.20000000e+01 
 1.85600000e-02  1.85600000e-02 -4.92309526e-10  1.19998951e+01  1.25849669e+00 -4.87523577e-10 -4.37143877e-10  1.20000000e+01 
 2.05600000e-02  2.05600000e-02 -3.98878708e-10  1.19998951e+01  1.25849669e+00 -3.93261645e-10 -3.39678063e-10  1.20000000e+01 
 2.25600000e-02  2.25600000e-02 -4.61770178e-10  1.19998951e+01  1.25849669e+00 -4.55294691e-10 -3.98866717e-10  1.20000000e+01 
 2.45600000e-02  2.45600000e-02 -3.65625530e-10  1.19998951e+01  1.25849669e+00 -3.58272967e-10 -2.99358538e-10  1.20000000e+01 
 2.65600000e-02  2.65600000e-02 -4.22350377e-10  1.19998951e+01  1.25849669e+00 -4.14110302e-10 -3.53088447e-10  1.20000000e+01 
 2.85600000e-02  2.85600000e-02 -3.23069793e-10  1.19998951e+01  1.25849669e+00 -3.13939097e-10 -2.51190180e-10  1.20000000e+01 
 3.05600000e-02  3.05600000e-02 -3.73520548e-10  1.19998951e+01  1.25849669e+00 -3.63504560e-10 -2.99429814e-10  1.20000000e+01 
 3.25600000e-02  3.25600000e-02 -2.71079603e-10  1.19998951e+01  1.25849669e+00 -2.60190980e-10 -1.95191197e-10  1.20000000e+01 
 3.45600000e-02  3.45600000e-02 -3.15456106e-10  1.19998951e+01  1.25849669e+00 -3.03715053e-10 -2.38209674e-10  1.20000000e+01 
 3.65600000e-02  3.65600000e-02 -2.09941842e-10  1.19998951e+01  1.25849669e+00 -1.97376337e-10 -1.31783029e-10  1.20000000e+01 
 3.85600000e-02  3.85600000e-02 -2.48502330e-10  1.19998951e+01  1.25849669e+00 -2.35147235e-10 -1.69899650e-10  1.20000000e+01 
 4.05600000e-02  4.05600000e-02 -1.40379708e-10  1.19998951e+01  1.25849669e+00 -1.26276767e-10 -6.18038953e-11  1.20000000e+01 
 4.25600000e-02  4.25600000e-02 -1.73511872e-10  1.19998951e+01  1.25849669e+00 -1.58710156e-10 -9.54540891e-11  1.20000000e+01 
 4.45600000e-02  4.45600000e-02 -6.30542285e-11  1.19998951e+01  1.25849669e+00 -4.76088058e-11  1.39956935e-11  1.20000000e+01 
 4.65600000e-02  4.65600000e-02 -9.13691345e-11  1.19998951e+01  1.25849669e+00 -7.53417329e-11 -1.58326685e-11  1.20000000e+01 
 4.85600000e-02  4.85600000e-02  2.06434869e-11  1.19998951e+01  1.25849669e+00  3.71842557e-11  9.41671185e-11  1.20000000e+01 
 5.05600000e-02  5.05600000e-02 -3.55715457e-12  1.19998951e+01  1.25849669e+00  1.34228184e-11  6.74440503e-11  1.20000000e+01 
 5.25600000e-02  5.25600000e-02  1.09435128e-10  1.19998951e+01  1.25849669e+00  1.26775035e-10  1.77414305e-10  1.20000000e+01 
 5.45600000e-02  5.45600000e-02  8.85236329e-11  1.19998951e+01  1.25849669e+00  1.06138653e-10  1.52976076e-10  1.20000000e+01 
 5.65600000e-02  5.65600000e-02  2.01611616e-10  1.19998951e+01  1.25849669e+00  2.19412932e-10  2.62048605e-10  1.20000000e+01 
 5.85600000e-02  5.85600000e-02  1.82949877e-10  1.19998951e+01  1.25849669e+00  2.00843786e-10  2.38883358e-10  1.20000000e+01 
 6.05600000e-02  6.05600000e-02  2.95200309e-10  1.19998951e+01  1.25849669e+00  3.13089554e-10  3.46164652e-10  1.20000000e+01 
 6.25600000e-02  6.25600000e-02  2.77917467e-10  1.19998951e+01  1.25849669e+00  2.95701241e-10  3.23452820e-10  1.20000000e+01 
 6.45600000e-02  6.45600000e-02  3.88246990e-10  1.19998951e+01  1.25849669e+00  4.05822043e-10  4.27921032e-10  1.20000000e+01 
 6.65600000e-02  6.65600000e-02  3.71074727e-10  1.19998951e+01  1.25849669e+00  3.88335586e-10  4.04469125e-10  1.20000000e+01 
 6.85600000e-02  6.85600000e-02  4.78474593e-10  1.19998951e+01  1.25849669e+00  4.95313346e-10  5.05203213e-10  1.20000000e+01 
 7.05600000e-02  7.05600000e-02  4.60371963e-10  1.19998951e+01  1.25849669e+00  4.76680029e-10  4.80067985e-10  1.20000000e+01 
 7.25600000e-02  7.25600000e-02  5.63743940e-10  1.19998951e+01  1.25849669e+00  5.79412518e-10  5.76078962e-10  1.20000000e+01 
