time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006)
0.0,0.0,11.9998951,1.25849669,0.0,0.0,12.0
2e-05,-5.95036687e-10,11.9998951,1.25849669,-5.95037131e-10,-5.94917893e-10,12.0
4e-05,-7.14712067e-10,11.9998951,1.25849669,-7.14712511e-10,-7.14450277e-10,12.0
8e-05,-7.63068275e-10,11.9998951,1.25849669,-7.63068497e-10,-7.62510721e-10,12.0
0.00016,-7.02228053e-10,11.9998951,1.25849669,-7.02227387e-10,-7.01085634e-10,12.0
0.00032,-9.99459404e-10,11.9998951,1.25849669,-9.99455407e-10,-9.96960958e-10,12.0
0.00064,-1.35955691e-10,11.9998951,1.25849669,-1.35939926e-10,-1.31662015e-10,12.0
0.00128,-7.5371176e-10,11.9998951,1.25849669,-7.53660023e-10,-7.46643414e-10,12.0
0.00256,-8.20270962e-10,11.9998951,1.25849669,-8.200709e-10,-8.0343443e-10,12.0
0.00456,-4.5214521e-10,11.9998951,1.25849669,-4.51512827e-10,-4.23491464e-10,12.0
0.00656,-5.35913758e-10,11.9998951,1.25849669,-5.34673417e-10,-4.98691533e-10,12.0
0.00856,-4.48347137e-10,11.9998951,1.25849669,-4.46367165e-10,-4.02925027e-10,12.0
0.01056,-5.27906163e-10,11.9998951,1.25849669,-5.25068877e-10,-4.74678519e-10,12.0
0.01256,-4.38984626e-10,11.9998951,1.25849669,-4.35186553e-10,-3.78344023e-10,12.0
0.01456,-5.1348148e-10,11.9998951,1.25849669,-5.08631803e-10,-4.45853576e-10,12.0
0.01656,-4.22648583e-10,11.9998951,1.25849669,-4.1666981e-10,-3.48459928e-10,12.0
0.01856,-4.91523267e-10,11.9998951,1.25849669,-4.84350782e-10,-4.11238599e-10,12.0
0.02056,-3.98188593e-10,11.9998951,1.25849669,-3.89770216e-10,-3.12279091e-10,12.0
0.02256,-4.61054528e-10,11.9998951,1.25849669,-4.51350513e-10,-3.70030895e-10,12.0
0.02456,-3.64814623e-10,11.9998951,1.25849669,-3.53796992e-10,-2.69195999e-10,12.0
0.02656,-4.21484847e-10,11.9998951,1.25849669,-4.09138279e-10,-3.2183145e-10,12.0
0.02856,-3.22122107e-10,11.9998951,1.25849669,-3.08442605e-10,-2.19001706e-10,12.0
0.03056,-3.72496034e-10,11.9998951,1.25849669,-3.57491148e-10,-2.66516587e-10,12.0
0.03256,-2.69952505e-10,11.9998951,1.25849669,-2.53641108e-10,-1.6172863e-10,12.0
0.03456,-3.14281046e-10,11.9998951,1.25849669,-2.96693781e-10,-2.04463335e-10,12.0
0.03656,-2.0870039e-10,11.9998951,1.25849669,-1.89879223e-10,-9.79436532e-11,12.0
0.03856,-2.47248666e-10,11.9998951,1.25849669,-2.27245556e-10,-1.36238576e-10,12.0
0.04056,-1.39123379e-10,11.9998951,1.25849669,-1.18001386e-10,-2.85447221e-11,12.0
0.04256,-1.72216463e-10,11.9998951,1.25849669,-1.50049306e-10,-6.27808916e-11,12.0
0.04456,-6.18127771e-11,11.9998951,1.25849669,-3.86837229e-11,4.57733851e-11,12.0
0.04656,-9.01230202e-11,11.9998951,1.25849669,-6.61253274e-11,1.48874246e-11,12.0
0.04856,2.19204654e-11,11.9998951,1.25849669,4.66844341e-11,1.23639987e-10,12.0
0.05056,-2.36788367e-12,11.9998951,1.25849669,2.30511166e-11,9.5334407e-11,12.0
0.05256,1.10647269e-10,11.9998951,1.25849669,1.36601841e-10,2.03624451e-10,12.0
0.05456,8.96414054e-11,11.9998951,1.25849669,1.16004761e-10,1.7717916e-10,12.0
0.05656,2.02723838e-10,11.9998951,1.25849669,2.29362973e-10,2.8413516e-10,12.0
