 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 0.00000000e+00  0.00000000e+00  3.78929566e-01  9.13174464e-02  9.00000000e+00  4.68946105e+00  8.52025903e+00  7.08287304e-01  7.81197172e-03 
 5.00000000e-08  5.00000000e-08  3.79145086e-01  9.15011322e-02  9.00000000e+00  4.68956888e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 1.00000000e-07  1.00000000e-07  3.79360602e-01  9.16848102e-02  9.00000000e+00  4.68967664e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 2.00000000e-07  2.00000000e-07  3.79791622e-01  9.20521512e-02  9.00000000e+00  4.68989215e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 4.00000000e-07  4.00000000e-07  3.80653597e-01  9.27867417e-02  9.00000000e+00  4.69032313e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 8.00000000e-07  8.00000000e-07  3.82377289e-01  9.42555573e-02  9.00000000e+00  4.69118498e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 1.60000000e-06  1.60000000e-06  3.85823639e-01  9.71917278e-02  9.00000000e+00  4.69290816e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 3.20000000e-06  3.20000000e-06  3.92712204e-01  1.03058233e-01  9.00000000e+00  4.69635244e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 6.40000000e-06  6.40000000e-06  4.06472816e-01  1.14767957e-01  9.00000000e+00  4.70323276e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 1.14000000e-05  1.14000000e-05  4.27929750e-01  1.33002494e-01  9.00000000e+00  4.71396124e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 1.64000000e-05  1.64000000e-05  4.49333108e-01  1.51161911e-01  9.00000000e+00  4.72466293e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 2.14000000e-05  2.14000000e-05  4.70683023e-01  1.69246660e-01  9.00000000e+00  4.73533790e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 2.64000000e-05  2.64000000e-05  4.91979631e-01  1.87257191e-01  9.00000000e+00  4.74598621e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 3.14000000e-05  3.14000000e-05  5.13223063e-01  2.05193955e-01  9.00000000e+00  4.75660794e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 3.64000000e-05  3.64000000e-05  5.34413453e-01  2.23057398e-01  9.00000000e+00  4.76720314e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 3.86318487e-05  3.86318487e-05  5.43855110e-01  2.31007533e-01  9.00000000e+00  4.77192398e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 3.94071635e-05  3.94071635e-05  5.45309496e-01  2.33765912e-01  9.00000000e+00  6.89803277e-02  4.19912706e-03  4.19912705e-03  5.96182649e-15 
 3.96583219e-05  3.96583219e-05  5.45189389e-01  2.34659097e-01  9.00000000e+00  6.50896839e-02 -4.14511509e-03 -4.14511508e-03 -5.62589362e-15 
 3.97397854e-05  3.97397854e-05  5.45150433e-01  2.34948763e-01  9.00000000e+00  6.88288370e-02  4.02522029e-03  4.02522028e-03  5.70909668e-15 
 3.97455865e-05  3.97455865e-05  5.45147662e-01  2.34969390e-01  9.00000000e+00  6.63539154e-02 -2.63530223e-03 -2.63530222e-03 -3.60398742e-15 
 3.97485609e-05  3.97485609e-05  5.45146239e-01  2.34979966e-01  9.00000000e+00  6.67830110e-02  1.37955314e-03  1.37955313e-03  1.92740200e-15 
