 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 0.00000000e+00  0.00000000e+00 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.39999957e-03  4.16591031e-03 -3.18340853e-02  0.00000000e+00  4.16591026e-03 -3.18340853e-02  0.00000000e+00 
 1.00000000e-07  1.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.41188432e-03  4.16742546e-03 -3.18044367e-02  1.18848157e-05  4.16591027e-03 -3.18248201e-02  1.25663698e-05 
 2.00000000e-07  2.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.42389284e-03  4.17043642e-03 -3.17442891e-02  2.38934603e-05  4.16591027e-03 -3.17996542e-02  2.51327346e-05 
 4.00000000e-07  4.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.44791220e-03  4.17931028e-03 -3.15700393e-02  4.79131727e-05  4.16591028e-03 -3.17105980e-02  5.02654295e-05 
 8.00000000e-07  8.00000000e-07 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.49594809e-03  4.20991841e-03 -3.09814003e-02  9.59504172e-05  4.16591033e-03 -3.12964283e-02  1.00530542e-04 
 1.60000000e-06  1.60000000e-06 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.59201055e-03  4.29485517e-03 -2.93629510e-02  1.92018211e-04  4.16591064e-03 -2.98457797e-02  2.01058543e-04 
 3.20000000e-06  3.20000000e-06 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.78410432e-03  4.48580144e-03 -2.57344413e-02  3.84133124e-04  4.16591227e-03 -2.62425114e-02  4.02096767e-04 
 6.27023161e-06  6.27023161e-06 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.15254853e-03  4.85444456e-03 -1.87306177e-02  7.52657019e-04  4.16591931e-03 -1.92278329e-02  7.87736728e-04 
 1.09967935e-05  1.09967935e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.71906985e-03  5.42048782e-03 -7.97602020e-03  1.31940144e-03  4.16594018e-03 -8.47938768e-03  1.38079853e-03 
 2.04499172e-05  2.04499172e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  6.84777426e-03  6.54905432e-03  1.34650557e-02  2.44891627e-03  4.16601833e-03  1.29700493e-02  2.56274702e-03 
 3.04499172e-05  3.04499172e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  8.03178951e-03  7.73286109e-03  3.59548711e-02  3.63431442e-03  4.16615356e-03  3.54603062e-02  3.80314806e-03 
 4.04499172e-05  4.04499172e-05 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  9.20095038e-03  8.90233221e-03  5.81709925e-02  4.80539300e-03  4.16634225e-03  5.76875583e-02  5.02853981e-03 
