 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)        
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.19998951e+01  1.25849669e+00  0.00000000e+00  0.00000000e+00  1.20000000e+01 
 2.00000000e-05  2.00000000e-05 -5.95010485e-10  1.19998951e+01  1.25849669e+00 -5.95010929e-10 -5.94891691e-10  1.20000000e+01 
 4.00000000e-05  4.00000000e-05 -7.14707404e-10  1.19998951e+01  1.25849669e+00 -7.14707848e-10 -7.14445614e-10  1.20000000e+01 
 8.00000000e-05  8.00000000e-05 -7.63042962e-10  1.19998951e+01  1.25849669e+00 -7.63043184e-10 -7.62485408e-10  1.20000000e+01 
 1.60000000e-04  1.60000000e-04 -7.02170544e-10  1.19998951e+01  1.25849669e+00 -7.02170100e-10 -7.01028124e-10  1.20000000e+01 
 3.20000000e-04  3.20000000e-04 -9.99447192e-10  1.19998951e+01  1.25849669e+00 -9.99443861e-10 -9.96948746e-10  1.20000000e+01 
 6.40000000e-04  6.40000000e-04 -1.35914169e-10  1.19998951e+01  1.25849669e+00 -1.35899514e-10 -1.31620714e-10  1.20000000e+01 
 1.28000000e-03  1.28000000e-03 -7.53566098e-10  1.19998951e+01  1.25849669e+00 -7.53515472e-10 -7.46499085e-10  1.20000000e+01 
 2.56000000e-03  2.56000000e-03 -8.19991852e-10  1.19998951e+01  1.25849669e+00 -8.19793122e-10 -8.03160649e-10  1.20000000e+01 
 4.56000000e-03  4.56000000e-03 -4.51578330e-10  1.19998951e+01  1.25849669e+00 -4.50949500e-10 -4.22941016e-10  1.20000000e+01 
 6.56000000e-03  6.56000000e-03 -5.34640110e-10  1.19998951e+01  1.25849669e+00 -5.33408651e-10 -4.97457409e-10  1.20000000e+01 
 8.56000000e-03  8.56000000e-03 -4.45826487e-10  1.19998951e+01  1.25849669e+00 -4.43865389e-10 -4.00489419e-10  1.20000000e+01 
 1.05600000e-02  1.05600000e-02 -5.23375343e-10  1.19998951e+01  1.25849669e+00 -5.20572918e-10 -4.70314010e-10  1.20000000e+01 
 1.25600000e-02  1.25600000e-02 -4.31914060e-10  1.19998951e+01  1.25849669e+00 -4.28173941e-10 -3.71568110e-10  1.20000000e+01 
 1.45600000e-02  1.45600000e-02 -5.02794029e-10  1.19998951e+01  1.25849669e+00 -4.98033836e-10 -4.35650627e-10  1.20000000e+01 
 1.65600000e-02  1.65600000e-02 -4.07598177e-10  1.19998951e+01  1.25849669e+00 -4.01750411e-10 -3.34162475e-10  1.20000000e+01 
 1.85600000e-02  1.85600000e-02 -4.71111816e-10  1.19998951e+01  1.25849669e+00 -4.64123406e-10 -3.91940924e-10  1.20000000e+01 
 2.05600000e-02  2.05600000e-02 -3.71554343e-10  1.19998951e+01  1.25849669e+00 -3.63385544e-10 -2.87226021e-10  1.20000000e+01 
 2.25600000e-02  2.25600000e-02 -4.27206936e-10  1.19998951e+01  1.25849669e+00 -4.17832879e-10 -3.38354900e-10  1.20000000e+01 
 2.45600000e-02  2.45600000e-02 -3.22883942e-10  1.19998951e+01  1.25849669e+00 -3.12293746e-10 -2.30163000e-10  1.20000000e+01 
 2.65600000e-02  2.65600000e-02 -3.70651732e-10  1.19998951e+01  1.25849669e+00 -3.58847840e-10 -2.74767320e-10  1.20000000e+01 
 2.85600000e-02  2.85600000e-02 -2.61412003e-10  1.19998951e+01  1.25849669e+00 -2.48410847e-10 -1.63090874e-10  1.20000000e+01 
 3.05600000e-02  3.05600000e-02 -3.01344949e-10  1.19998951e+01  1.25849669e+00 -2.87176061e-10 -2.01362260e-10  1.20000000e+01 
 3.25600000e-02  3.25600000e-02 -1.87551086e-10  1.19998951e+01  1.25849669e+00 -1.72257986e-10 -8.66959837e-11  1.20000000e+01 
