Note: gnd in a subcircuit is not set to 0 automatically

Note: Compatibility modes selected: ps


Circuit: * pipeline2.0 netlist

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
n006                                        12
xintegrated_circuit11_1.vxx            1.25854
n002                                   11.9999
xintegrated_circuit11_1.n242982         1.25854
xintegrated_circuit11_1.vyy            1.25854
xintegrated_circuit11_1.vzz             1.2585
xintegrated_circuit11_1.e_abm1_int1         1.25854
xintegrated_circuit11_1.n222524         1.25001
xintegrated_circuit11_1.u1_n26728            1.25
xintegrated_circuit11_1.u1_n31197            1.25
xintegrated_circuit11_1.e_u1_abm5_int1            1.25
xintegrated_circuit11_1.u1_n08257            1.25
xintegrated_circuit11_1.u1_n28933            1.25
xintegrated_circuit11_1.x_u1_u2.inp1               0
xintegrated_circuit11_1.x_u1_u2.inm1        -11.9999
xintegrated_circuit11_1.u1_n12783               0
xintegrated_circuit11_1.x_u1_u2.inp2               0
xintegrated_circuit11_1.x_u1_u2.ehys_int1               0
xintegrated_circuit11_1.x_u1_u2.1               1
xintegrated_circuit11_1.u1_n12664               0
xintegrated_circuit11_1.u1_uvlo_ok               1
xintegrated_circuit11_1.x_u1_u2.eout_int1               1
xintegrated_circuit11_1.u1_en_out            1.25
xintegrated_circuit11_1.e_u1_abm6_int1            1.25
xintegrated_circuit11_1.e_u1_abm4_int1            1.25
n003                                    1.2585
n001                                         0
n004                                         0
n005                                         0
b.xintegrated_circuit11_1.be_u1_abm4#branch               0
b.xintegrated_circuit11_1.be_u1_abm6#branch               0
b.xintegrated_circuit11_1.x_u1_u2.beout#branch               0
b.xintegrated_circuit11_1.x_u1_u2.behys#branch               0
b.xintegrated_circuit11_1.be_u1_abm5#branch               0
b.xintegrated_circuit11_1.be_abm1#branch               0
v.xintegrated_circuit11_1.x_f1.vf_f1#branch        0.104875
e.xintegrated_circuit11_1.e_u1_abm4#branch       -1.25e-09
e.xintegrated_circuit11_1.e_u1_abm6#branch       -1.25e-09
e.xintegrated_circuit11_1.x_u1_u2.eout#branch               0
e.xintegrated_circuit11_1.x_u1_u2.ehys#branch               0
e.xintegrated_circuit11_1.x_u1_u2.ein#branch               0
e.xintegrated_circuit11_1.e_u1_abm5#branch     1.07414e-06
e.xintegrated_circuit11_1.e_abm1#branch     5.76622e-13
v.xintegrated_circuit11_1.v_u1_v3#branch               0
v.xintegrated_circuit11_1.v_u1_v4#branch               0
vvcc_12#branch                       -0.104876


No. of Data Rows : 10097
Note: Simulation executed from .control section 
