 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)        
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.19998951e+01  1.25849669e+00  0.00000000e+00  0.00000000e+00  1.20000000e+01 
 2.00000000e-05  2.00000000e-05 -5.95065108e-10  1.19998951e+01  1.25849669e+00 -5.95065330e-10 -5.94946314e-10  1.20000000e+01 
 4.00000000e-05  4.00000000e-05 -7.14742487e-10  1.19998951e+01  1.25849669e+00 -7.14742932e-10 -7.14480919e-10  1.20000000e+01 
 8.00000000e-05  8.00000000e-05 -7.63081820e-10  1.19998951e+01  1.25849669e+00 -7.63082042e-10 -7.62525154e-10  1.20000000e+01 
 1.60000000e-04  1.60000000e-04 -7.02208736e-10  1.19998951e+01  1.25849669e+00 -7.02208514e-10 -7.01067648e-10  1.20000000e+01 
 3.20000000e-04  3.20000000e-04 -9.99357930e-10  1.19998951e+01  1.25849669e+00 -9.99356153e-10 -9.96862148e-10  1.20000000e+01 
 6.40000000e-04  6.40000000e-04 -1.35742972e-10  1.19998951e+01  1.25849669e+00 -1.35731648e-10 -1.31452849e-10  1.20000000e+01 
 1.28000000e-03  1.28000000e-03 -7.53417106e-10  1.19998951e+01  1.25849669e+00 -7.53370255e-10 -7.46354090e-10  1.20000000e+01 
 2.56000000e-03  2.56000000e-03 -8.20138624e-10  1.19998951e+01  1.25849669e+00 -8.19941892e-10 -8.03309863e-10  1.20000000e+01 
 4.56000000e-03  4.56000000e-03 -4.52208715e-10  1.19998951e+01  1.25849669e+00 -4.51573667e-10 -4.23561630e-10  1.20000000e+01 
 6.56000000e-03  6.56000000e-03 -5.36556799e-10  1.19998951e+01  1.25849669e+00 -5.35299360e-10 -4.99329023e-10  1.20000000e+01 
 8.56000000e-03  8.56000000e-03 -4.49992044e-10  1.19998951e+01  1.25849669e+00 -4.47970772e-10 -4.04534850e-10  1.20000000e+01 
 1.05600000e-02  1.05600000e-02 -5.30819833e-10  1.19998951e+01  1.25849669e+00 -5.27905275e-10 -4.77503592e-10  1.20000000e+01 
