time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006)
0.0,0.0,11.9998951,1.25849669,0.0,0.0,12.0
2e-05,-5.95010485e-10,11.9998951,1.25849669,-5.95010929e-10,-5.94891691e-10,12.0
4e-05,-7.14707404e-10,11.9998951,1.25849669,-7.14707848e-10,-7.14445614e-10,12.0
8e-05,-7.63042962e-10,11.9998951,1.25849669,-7.63043184e-10,-7.62485408e-10,12.0
0.00016,-7.02170544e-10,11.9998951,1.25849669,-7.021701e-10,-7.01028124e-10,12.0
0.00032,-9.99447192e-10,11.9998951,1.25849669,-9.99443861e-10,-9.96948746e-10,12.0
0.00064,-1.35914169e-10,11.9998951,1.25849669,-1.35899514e-10,-1.31620714e-10,12.0
0.00128,-7.53566098e-10,11.9998951,1.25849669,-7.53515472e-10,-7.46499085e-10,12.0
0.00256,-8.19991852e-10,11.9998951,1.25849669,-8.19793122e-10,-8.03160649e-10,12.0
0.00456,-4.5157833e-10,11.9998951,1.25849669,-4.509495e-10,-4.22941016e-10,12.0
0.00656,-5.3464011e-10,11.9998951,1.25849669,-5.33408651e-10,-4.97457409e-10,12.0
0.00856,-4.45826487e-10,11.9998951,1.25849669,-4.43865389e-10,-4.00489419e-10,12.0
0.01056,-5.23375343e-10,11.9998951,1.25849669,-5.20572918e-10,-4.7031401e-10,12.0
0.01256,-4.3191406e-10,11.9998951,1.25849669,-4.28173941e-10,-3.7156811e-10,12.0
0.01456,-5.02794029e-10,11.9998951,1.25849669,-4.98033836e-10,-4.35650627e-10,12.0
0.01656,-4.07598177e-10,11.9998951,1.25849669,-4.01750411e-10,-3.34162475e-10,12.0
0.01856,-4.71111816e-10,11.9998951,1.25849669,-4.64123406e-10,-3.91940924e-10,12.0
0.02056,-3.71554343e-10,11.9998951,1.25849669,-3.63385544e-10,-2.87226021e-10,12.0
0.02256,-4.27206936e-10,11.9998951,1.25849669,-4.17832879e-10,-3.383549e-10,12.0
0.02456,-3.22883942e-10,11.9998951,1.25849669,-3.12293746e-10,-2.30163e-10,12.0
0.02656,-3.70651732e-10,11.9998951,1.25849669,-3.5884784e-10,-2.7476732e-10,12.0
0.02856,-2.61412003e-10,11.9998951,1.25849669,-2.48410847e-10,-1.63090874e-10,12.0
0.03056,-3.01344949e-10,11.9998951,1.25849669,-2.87176061e-10,-2.0136226e-10,12.0
0.03256,-1.87551086e-10,11.9998951,1.25849669,-1.72257986e-10,-8.66959837e-11,12.0
0.03456,-2.19916751e-10,11.9998951,1.25849669,-2.03556061e-10,-1.19021681e-10,12.0
0.03656,-1.02020614e-10,11.9998951,1.25849669,-8.46616111e-11,-1.92579286e-12,12.0
0.03856,-1.27800215e-10,11.9998951,1.25849669,-1.09524834e-10,-2.93776115e-11,12.0
0.04056,-6.52589094e-12,11.9998951,1.25849669,1.25712774e-11,8.93536356e-11,12.0
0.04256,-2.64230859e-11,11.9998951,1.25849669,-6.61004584e-12,6.60194122e-11,12.0
0.04456,9.70901137e-11,11.9998951,1.25849669,1.17502008e-10,1.85214732e-10,12.0
0.04656,8.17605983e-11,11.9998951,1.25849669,1.02643449e-10,1.64675829e-10,12.0
0.04856,2.06355821e-10,11.9998951,1.25849669,2.27572849e-10,2.83194801e-10,12.0
0.05056,1.94265937e-10,11.9998951,1.25849669,2.15671259e-10,2.64164024e-10,12.0
0.05256,3.18408411e-10,11.9998951,1.25849669,3.39849038e-10,3.80539156e-10,12.0
0.05456,3.07730952e-10,11.9998951,1.25849669,3.29046346e-10,3.61286334e-10,12.0
0.05656,4.29896119e-10,11.9998951,1.25849669,4.50919302e-10,4.74119188e-10,12.0
0.05856,4.19112745e-10,11.9998951,1.25849669,4.39672521e-10,4.5327786e-10,12.0
0.06056,5.37492273e-10,11.9998951,1.25849669,5.57413893e-10,5.60939073e-10,12.0
0.06256,5.24623678e-10,11.9998951,1.25849669,5.43729506e-10,5.36737543e-10,12.0
0.06456,6.37492947e-10,11.9998951,1.25849669,6.55605348e-10,6.37737863e-10,12.0
0.06656,6.20650864e-10,11.9998951,1.25849669,6.37592645e-10,6.08550987e-10,12.0
0.06856,7.26013027e-10,11.9998951,1.25849669,7.41609663e-10,7.0118511e-10,12.0
0.07056,7.03380687e-10,11.9998951,1.25849669,7.17459647e-10,6.65512978e-10,12.0
0.07256,7.99467825e-10,11.9998951,1.25849669,8.11862577e-10,7.48351603e-10,12.0
0.07456,7.69120989e-10,11.9998951,1.25849669,7.79670994e-10,7.0463102e-10,12.0
0.07656,8.54386561e-10,11.9998951,1.25849669,8.62939498e-10,7.76509079e-10,12.0
0.07856,8.14682544e-10,11.9998951,1.25849669,8.2109608e-10,7.2349593e-10,12.0
0.08056,8.87330431e-10,11.9998951,1.25849669,8.91472451e-10,7.83033416e-10,12.0
0.08256,8.36917202e-10,11.9998951,1.25849669,8.38668468e-10,7.19806215e-10,12.0
0.08456,8.95810315e-10,11.9998951,1.25849669,8.95065133e-10,7.66304353e-10,12.0
0.08656,8.33318081e-10,11.9998951,1.25849669,8.29986746e-10,6.91938951e-10,12.0
0.08856,8.77504958e-10,11.9998951,1.25849669,8.71513306e-10,7.24897475e-10,12.0
0.09056,8.02185873e-10,11.9998951,1.25849669,7.93477728e-10,6.39095665e-10,12.0
0.09256,8.30832958e-10,11.9998951,1.25849669,8.19371904e-10,6.58128663e-10,12.0
0.09456,7.4211326e-10,11.9998951,1.25849669,7.27882421e-10,5.60760771e-10,12.0
0.09656,7.55221219e-10,11.9998951,1.25849669,7.38224148e-10,5.66300784e-10,12.0
0.09856,6.5307848e-10,11.9998951,1.25849669,6.33340713e-10,4.5775983e-10,12.0
0.10056,6.50511645e-10,11.9998951,1.25849669,6.28081365e-10,4.50072202e-10,12.0
0.10256,5.35262057e-10,11.9998951,1.25849669,5.10209652e-10,3.31057626e-10,12.0
0.10456,5.1788307e-10,11.9998951,1.25849669,4.90302021e-10,3.11361603e-10,12.0
0.10656,3.90345312e-10,11.9998951,1.25849669,3.60352859e-10,1.83018711e-10,12.0
0.10856,3.59221097e-10,11.9998951,1.25849669,3.2695735e-10,1.52676316e-10,12.0
0.11056,2.20703678e-10,11.9998951,1.25849669,1.86332061e-10,1.65731873e-11,12.0
0.11256,1.77390103e-10,11.9998951,1.25849669,1.4109669e-10,-2.26376695e-11,12.0
0.11456,2.98441272e-11,11.9998951,1.25849669,-8.16302581e-12,-1.64370961e-10,12.0
0.11656,-2.33240094e-11,11.9998951,1.25849669,-6.28155306e-11,-2.09986917e-10,12.0
0.11856,-1.77690751e-10,11.9998951,1.25849669,-2.1841684e-10,-3.55063534e-10,12.0
0.12056,-2.38394637e-10,11.9998951,1.25849669,-2.80085954e-10,-4.04733136e-10,12.0
0.12256,-3.96910282e-10,11.9998951,1.25849669,-4.3927928e-10,-5.50497203e-10,12.0
0.12456,-4.62203165e-10,11.9998951,1.25849669,-5.04946529e-10,-6.01344308e-10,12.0
0.12656,-6.21679375e-10,11.9998951,1.25849669,-6.64478472e-10,-7.44738049e-10,12.0
0.12856,-6.88203494e-10,11.9998951,1.25849669,-7.30727701e-10,-7.93594523e-10,12.0
0.13056,-8.45348014e-10,11.9998951,1.25849669,-8.87255158e-10,-9.3157082e-10,12.0
0.13256,-9.09544662e-10,11.9998951,1.25849669,-9.50484802e-10,-9.75181491e-10,12.0
0.13456,-1.06063713e-09,11.9998951,1.25849669,-1.10025455e-09,-1.10438436e-09,12.0
0.13656,-1.11872422e-09,11.9998951,1.25849669,-1.15665966e-09,-1.13938925e-09,12.0
0.13856,-1.25999811e-09,11.9998951,1.25849669,-1.29589139e-09,-1.25653177e-09,12.0
0.14056,-1.30818711e-09,11.9998951,1.25849669,-1.34167943e-09,-1.27967836e-09,12.0
0.14256,-1.43594781e-09,11.9998951,1.25849669,-1.46668544e-09,-1.38165346e-09,12.0
0.14456,-1.47056256e-09,11.9998951,1.25849669,-1.49819956e-09,-1.38990197e-09,12.0
0.14656,-1.58111657e-09,11.9998951,1.25849669,-1.60531788e-09,-1.47370094e-09,12.0
0.14856,-1.59840452e-09,11.9998951,1.25849669,-1.61884883e-09,-1.46402979e-09,12.0
0.15056,-1.68830638e-09,11.9998951,1.25849669,-1.70468928e-09,-1.52697854e-09,12.0
0.15256,-1.68503811e-09,11.9998951,1.25849669,-1.6970747e-09,-1.49696477e-09,12.0
0.15456,-1.75126691e-09,11.9998951,1.25849669,-1.75869519e-09,-1.53687973e-09,12.0
0.15656,-1.72454762e-09,11.9998951,1.25849669,-1.72713088e-09,-1.48449075e-09,12.0
0.15856,-1.76444215e-09,11.9998951,1.25849669,-1.76197301e-09,-1.49959312e-09,12.0
0.16056,-1.71186154e-09,11.9998951,1.25849669,-1.7041637e-09,-1.42331746e-09,12.0
0.16256,-1.72334769e-09,11.9998951,1.25849669,-1.71027814e-09,-1.41244083e-09,12.0
0.16456,-1.64329483e-09,11.9998951,1.25849669,-1.62474745e-09,-1.31157418e-09,12.0
0.16656,-1.62507452e-09,11.9998951,1.25849669,-1.60098179e-09,-1.27431998e-09,12.0
0.16856,-1.51652468e-09,11.9998951,1.25849669,-1.4868593e-09,-1.14872534e-09,12.0
0.17056,-1.46825974e-09,11.9998951,1.25849669,-1.43303636e-09,-1.08562137e-09,12.0
