time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006)
0.0,0.0,11.9998951,1.25849669,0.0,0.0,12.0
2e-05,-5.95046457e-10,11.9998951,1.25849669,-5.95046679e-10,-5.94927663e-10,12.0
4e-05,-7.14728721e-10,11.9998951,1.25849669,-7.14729165e-10,-7.14467152e-10,12.0
8e-05,-7.6303408e-10,11.9998951,1.25849669,-7.63034302e-10,-7.62477415e-10,12.0
0.00016,-7.02191416e-10,11.9998951,1.25849669,-7.02190972e-10,-7.01050107e-10,12.0
0.00032,-9.9950781e-10,11.9998951,1.25849669,-9.99504701e-10,-9.97010696e-10,12.0
0.00064,-1.35917722e-10,11.9998951,1.25849669,-1.35903733e-10,-1.31624489e-10,12.0
0.00128,-7.53626717e-10,11.9998951,1.25849669,-7.53577201e-10,-7.46559037e-10,12.0
0.00256,-8.20177481e-10,11.9998951,1.25849669,-8.19978974e-10,-8.03342948e-10,12.0
0.00456,-4.52403448e-10,11.9998951,1.25849669,-4.5176396e-10,-4.2374726e-10,12.0
0.00656,-5.37145439e-10,11.9998951,1.25849669,-5.35877565e-10,-4.99898789e-10,12.0
0.00856,-4.51239046e-10,11.9998951,1.25849669,-4.49197124e-10,-4.05740774e-10,12.0
0.01056,-5.3303495e-10,11.9998951,1.25849669,-5.30084643e-10,-4.79637219e-10,12.0
0.01256,-4.47358817e-10,11.9998951,1.25849669,-4.43376669e-10,-3.86396026e-10,12.0
0.01456,-5.25800736e-10,11.9998951,1.25849669,-5.20673948e-10,-4.57625493e-10,12.0
0.01656,-4.40014913e-10,11.9998951,1.25849669,-4.33640457e-10,-3.64965835e-10,12.0
0.01856,-5.14837506e-10,11.9998951,1.25849669,-5.07123232e-10,-4.33273861e-10,12.0
0.02056,-4.28517888e-10,11.9998951,1.25849669,-4.19381418e-10,-3.40788509e-10,12.0
0.02256,-4.99513986e-10,11.9998951,1.25849669,-4.8888249e-10,-4.05991241e-10,12.0
0.02456,-4.12393009e-10,11.9998951,1.25849669,-4.00203204e-10,-3.13441717e-10,12.0
0.02656,-4.79248197e-10,11.9998951,1.25849669,-4.65446348e-10,-3.75258269e-10,12.0
0.02856,-3.91094934e-10,11.9998951,1.25849669,-3.75636855e-10,-2.82450063e-10,12.0
0.03056,-4.53729276e-10,11.9998951,1.25849669,-4.36579661e-10,-3.40839357e-10,12.0
0.03256,-3.64456465e-10,11.9998951,1.25849669,-3.45589335e-10,-2.47726284e-10,12.0
0.03456,-4.22806234e-10,11.9998951,1.25849669,-4.02204936e-10,-3.02666114e-10,12.0
