time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),@dled12_1[id]
0.0,4.43168639,0.501346911,0.0417543938,11.9920954,12.0,11.3025848,8.69219768,5.38444248,9.18720959,2.92064414,0.000206570922
5e-07,4.44383614,0.501417683,0.0417628496,11.9920951,12.0,11.3025888,8.69320581,5.38645871,9.18733048,2.92053687,0.000162336367
1e-06,4.45593725,0.501478747,0.0417713054,11.9920951,12.0,11.3025888,8.69421362,5.38847433,9.18745129,2.92042952,0.000162335268
2e-06,4.48004267,0.501579695,0.0417882169,11.9920951,12.0,11.3025888,8.69622864,5.39250433,9.18769291,2.92021484,0.000162333506
4e-06,4.52767827,0.5016972,0.0418220395,11.9920951,12.0,11.3025888,8.70025499,5.40055697,9.18817608,2.91978551,0.000162330308
8e-06,4.62070217,0.501806067,0.0418896839,11.9920951,12.0,11.3025888,8.70829298,5.41663282,9.18914218,2.91892701,0.000162327629
1.6e-05,4.79817008,0.501940536,0.0420249707,11.9920951,12.0,11.3025888,8.72431029,5.4486672,9.19107341,2.91721065,0.000162325548
3.16229132e-05,5.11457861,0.502203621,0.0422891604,11.9920951,12.0,11.3025888,8.75536571,5.51077757,9.19484109,2.91386128,0.000162321696
3.95420908e-05,5.26099304,0.502336913,0.0424230734,11.9920951,12.0,11.3025888,8.77099486,5.54203559,9.19674841,2.91216412,0.000162319744
4.43634122e-05,5.34602298,0.502418088,0.0425046007,11.9920951,12.0,11.3025888,8.78047321,5.56099215,9.19790921,2.91113148,0.000162318556
4.74767794e-05,5.39932808,0.502470501,0.0425572464,11.9920951,12.0,11.3025889,8.78657905,5.57320373,9.19865854,2.91046481,0.000162317788
4.95968421e-05,5.43492824,0.502506192,0.0425930956,11.9920951,12.0,11.3025885,8.79073022,5.58150602,9.19916869,2.91001092,0.000162317266
5.23138073e-05,5.47974559,0.502551931,0.0426390379,11.9920951,12.0,11.3025892,8.79604231,5.59213012,9.19982233,2.90942931,0.000162316596
5.32950831e-05,5.49571307,0.502568451,0.0426556306,11.9920951,12.0,11.3025887,8.79795869,5.59596282,9.20005835,2.90921926,0.000162316355
5.3848267e-05,5.50466421,0.502577764,0.0426649846,11.9920951,12.0,11.3025891,8.79903851,5.59812246,9.2001914,2.90910086,0.000162316218
5.41332249e-05,5.50926099,0.502582561,0.0426698031,11.9920952,12.0,11.3025957,8.79959463,5.59923468,9.20025994,2.90903987,0.000162316148
5.43577933e-05,5.51287686,0.502586341,0.0426736003,11.9920952,12.0,11.3025922,8.80003282,5.60011106,9.20031394,2.9089918,0.000162316092
5.46124307e-05,5.5169697,0.502590628,0.0426779061,11.9920952,12.0,11.3025936,8.80052961,5.60110463,9.20037519,2.9089373,0.00016231603
5.51217054e-05,5.52513254,0.502599202,0.0426865176,11.9920952,12.0,11.302593,8.80152296,5.60309132,9.20049766,2.90882831,0.000162315904
