 time            time            v(N001)         v(N002)         v(N003)        
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-06  1.00000000e-06  0.00000000e+00  5.33147114e-03  0.00000000e+00 
 2.00000000e-06  2.00000000e-06  0.00000000e+00  1.06629418e-02  0.00000000e+00 
 4.00000000e-06  4.00000000e-06  0.00000000e+00  2.13258793e-02  0.00000000e+00 
 8.00000000e-06  8.00000000e-06  0.00000000e+00  4.26517249e-02  0.00000000e+00 
 1.60000000e-05  1.60000000e-05  0.00000000e+00  8.53031804e-02  0.00000000e+00 
 3.20000000e-05  3.20000000e-05  0.00000000e+00  1.70604206e-01  0.00000000e+00 
 6.40000000e-05  6.40000000e-05  0.00000000e+00  3.41191169e-01  0.00000000e+00 
 1.28000000e-04  1.28000000e-04  0.00000000e+00  6.82244414e-01  0.00000000e+00 
 2.28000000e-04  2.28000000e-04  0.00000000e+00  1.21453627e+00  0.00000000e+00 
 3.28000000e-04  3.28000000e-04  0.00000000e+00  1.74562952e+00  0.00000000e+00 
 4.28000000e-04  4.28000000e-04  0.00000000e+00  2.27500004e+00  0.00000000e+00 
 5.28000000e-04  5.28000000e-04  0.00000000e+00  2.80212542e+00  0.00000000e+00 
 6.28000000e-04  6.28000000e-04  0.00000000e+00  3.32648543e+00  0.00000000e+00 
 7.28000000e-04  7.28000000e-04  0.00000000e+00  3.84756261e+00  0.00000000e+00 
 8.28000000e-04  8.28000000e-04  0.00000000e+00  4.36484270e+00  0.00000000e+00 
 9.28000000e-04  9.28000000e-04  0.00000000e+00  4.87781523e+00  0.00000000e+00 
 1.02800000e-03  1.02800000e-03  0.00000000e+00  5.38597394e+00  0.00000000e+00 
 1.12800000e-03  1.12800000e-03  0.00000000e+00  5.88881734e+00  0.00000000e+00 
 1.22800000e-03  1.22800000e-03  0.00000000e+00  6.38584919e+00  0.00000000e+00 
 1.32800000e-03  1.32800000e-03  0.00000000e+00  6.87657898e+00  0.00000000e+00 
 1.42800000e-03  1.42800000e-03  0.00000000e+00  7.36052241e+00  0.00000000e+00 
 1.52800000e-03  1.52800000e-03  0.00000000e+00  7.83720190e+00  0.00000000e+00 
 1.62800000e-03  1.62800000e-03  0.00000000e+00  8.30614702e+00  0.00000000e+00 
 1.72800000e-03  1.72800000e-03  0.00000000e+00  8.76689497e+00  0.00000000e+00 
 1.82800000e-03  1.82800000e-03  0.00000000e+00  9.21899106e+00  0.00000000e+00 
 1.92800000e-03  1.92800000e-03  0.00000000e+00  9.66198911e+00  0.00000000e+00 
 2.02800000e-03  2.02800000e-03  0.00000000e+00  1.00954519e+01  0.00000000e+00 
 2.12800000e-03  2.12800000e-03  0.00000000e+00  1.05189518e+01  0.00000000e+00 
 2.22800000e-03  2.22800000e-03  0.00000000e+00  1.09320707e+01  0.00000000e+00 
 2.32800000e-03  2.32800000e-03  0.00000000e+00  1.13344010e+01  0.00000000e+00 
 2.42800000e-03  2.42800000e-03  0.00000000e+00  1.17255456e+01  0.00000000e+00 
 2.52800000e-03  2.52800000e-03  0.00000000e+00  1.21051185e+01  0.00000000e+00 
 2.62800000e-03  2.62800000e-03  0.00000000e+00  1.24727451e+01  0.00000000e+00 
 2.72800000e-03  2.72800000e-03  0.00000000e+00  1.28280626e+01  0.00000000e+00 
 2.82800000e-03  2.82800000e-03  0.00000000e+00  1.31707203e+01  0.00000000e+00 
 2.92800000e-03  2.92800000e-03  0.00000000e+00  1.35003802e+01  0.00000000e+00 
 3.02800000e-03  3.02800000e-03  0.00000000e+00  1.38167168e+01  0.00000000e+00 
 3.12800000e-03  3.12800000e-03  0.00000000e+00  1.41194180e+01  0.00000000e+00 
 3.22800000e-03  3.22800000e-03  0.00000000e+00  1.44081850e+01  0.00000000e+00 
 3.32800000e-03  3.32800000e-03  0.00000000e+00  1.46827328e+01  0.00000000e+00 
 3.42800000e-03  3.42800000e-03  0.00000000e+00  1.49427906e+01  0.00000000e+00 
 3.52800000e-03  3.52800000e-03  0.00000000e+00  1.51881017e+01  0.00000000e+00 
 3.62800000e-03  3.62800000e-03  0.00000000e+00  1.54184239e+01  0.00000000e+00 
 3.72800000e-03  3.72800000e-03  0.00000000e+00  1.56335300e+01  0.00000000e+00 
 3.82800000e-03  3.82800000e-03  0.00000000e+00  1.58332077e+01  0.00000000e+00 
 3.92800000e-03  3.92800000e-03  0.00000000e+00  1.60172600e+01  0.00000000e+00 
 4.02800000e-03  4.02800000e-03  0.00000000e+00  1.61855051e+01  0.00000000e+00 
 4.12800000e-03  4.12800000e-03  0.00000000e+00  1.63377771e+01  0.00000000e+00 
 4.22800000e-03  4.22800000e-03  0.00000000e+00  1.64739257e+01  0.00000000e+00 
 4.32800000e-03  4.32800000e-03  0.00000000e+00  1.65938165e+01  0.00000000e+00 
 4.42800000e-03  4.42800000e-03  0.00000000e+00  1.66973312e+01  0.00000000e+00 
 4.52800000e-03  4.52800000e-03  0.00000000e+00  1.67843677e+01  0.00000000e+00 
 4.62800000e-03  4.62800000e-03  0.00000000e+00  1.68548400e+01  0.00000000e+00 
 4.72800000e-03  4.72800000e-03  0.00000000e+00  1.69086786e+01  0.00000000e+00 
 4.82800000e-03  4.82800000e-03  0.00000000e+00  1.69458304e+01  0.00000000e+00 
 4.92800000e-03  4.92800000e-03  0.00000000e+00  1.69662588e+01  0.00000000e+00 
 5.02800000e-03  5.02800000e-03  0.00000000e+00  1.69699434e+01  0.00000000e+00 
 5.12800000e-03  5.12800000e-03  0.00000000e+00  1.69568808e+01  0.00000000e+00 
 5.22800000e-03  5.22800000e-03  0.00000000e+00  1.69270838e+01  0.00000000e+00 
 5.32800000e-03  5.32800000e-03  0.00000000e+00  1.68805818e+01  0.00000000e+00 
 5.42800000e-03  5.42800000e-03  0.00000000e+00  1.68174207e+01  0.00000000e+00 
 5.52800000e-03  5.52800000e-03  0.00000000e+00  1.67376628e+01  0.00000000e+00 
 5.62800000e-03  5.62800000e-03  0.00000000e+00  1.66413869e+01  0.00000000e+00 
 5.72800000e-03  5.72800000e-03  0.00000000e+00  1.65286880e+01  0.00000000e+00 
 5.82800000e-03  5.82800000e-03  0.00000000e+00  1.63996772e+01  0.00000000e+00 
 5.92800000e-03  5.92800000e-03  0.00000000e+00  1.62544819e+01  0.00000000e+00 
 6.02800000e-03  6.02800000e-03  0.00000000e+00  1.60932455e+01  0.00000000e+00 
 6.12800000e-03  6.12800000e-03  0.00000000e+00  1.59161269e+01  0.00000000e+00 
 6.22800000e-03  6.22800000e-03  0.00000000e+00  1.57233010e+01  0.00000000e+00 
 6.32800000e-03  6.32800000e-03  0.00000000e+00  1.55149581e+01  0.00000000e+00 
 6.42800000e-03  6.42800000e-03  0.00000000e+00  1.52913039e+01  0.00000000e+00 
 6.52800000e-03  6.52800000e-03  0.00000000e+00  1.50525589e+01  0.00000000e+00 
 6.62800000e-03  6.62800000e-03  0.00000000e+00  1.47989590e+01  0.00000000e+00 
 6.72800000e-03  6.72800000e-03  0.00000000e+00  1.45307542e+01  0.00000000e+00 
 6.82800000e-03  6.82800000e-03  0.00000000e+00  1.42482093e+01  0.00000000e+00 
 6.92800000e-03  6.92800000e-03  0.00000000e+00  1.39516032e+01  0.00000000e+00 
 7.02800000e-03  7.02800000e-03  0.00000000e+00  1.36412285e+01  0.00000000e+00 
 7.12800000e-03  7.12800000e-03  0.00000000e+00  1.33173915e+01  0.00000000e+00 
 7.22800000e-03  7.22800000e-03  0.00000000e+00  1.29804120e+01  0.00000000e+00 
 7.32800000e-03  7.32800000e-03  0.00000000e+00  1.26306223e+01  0.00000000e+00 
 7.42800000e-03  7.42800000e-03  0.00000000e+00  1.22683677e+01  0.00000000e+00 
 7.52800000e-03  7.52800000e-03  0.00000000e+00  1.18940057e+01  0.00000000e+00 
 7.62800000e-03  7.62800000e-03  0.00000000e+00  1.15079058e+01  0.00000000e+00 
 7.72800000e-03  7.72800000e-03  0.00000000e+00  1.11104489e+01  0.00000000e+00 
 7.82800000e-03  7.82800000e-03  0.00000000e+00  1.07020274e+01  0.00000000e+00 
 7.92800000e-03  7.92800000e-03  0.00000000e+00  1.02830443e+01  0.00000000e+00 
 8.02800000e-03  8.02800000e-03  0.00000000e+00  9.85391302e+00  0.00000000e+00 
 8.12800000e-03  8.12800000e-03  0.00000000e+00  9.41505714e+00  0.00000000e+00 
 8.22800000e-03  8.22800000e-03  0.00000000e+00  8.96690974e+00  0.00000000e+00 
 8.32800000e-03  8.32800000e-03  0.00000000e+00  8.50991309e+00  0.00000000e+00 
 8.42800000e-03  8.42800000e-03  0.00000000e+00  8.04451818e+00  0.00000000e+00 
 8.52800000e-03  8.52800000e-03  0.00000000e+00  7.57118430e+00  0.00000000e+00 
 8.62800000e-03  8.62800000e-03  0.00000000e+00  7.09037857e+00  0.00000000e+00 
 8.72800000e-03  8.72800000e-03  0.00000000e+00  6.60257550e+00  0.00000000e+00 
 8.82800000e-03  8.82800000e-03  0.00000000e+00  6.10825648e+00  0.00000000e+00 
 8.92800000e-03  8.92800000e-03  0.00000000e+00  5.60790935e+00  0.00000000e+00 
 9.02800000e-03  9.02800000e-03  0.00000000e+00  5.10202789e+00  0.00000000e+00 
 9.12800000e-03  9.12800000e-03  0.00000000e+00  4.59111135e+00  0.00000000e+00 
 9.22800000e-03  9.22800000e-03  0.00000000e+00  4.07566393e+00  0.00000000e+00 
 9.32800000e-03  9.32800000e-03  0.00000000e+00  3.55619433e+00  0.00000000e+00 
 9.42800000e-03  9.42800000e-03  0.00000000e+00  3.03321519e+00  0.00000000e+00 
 9.52800000e-03  9.52800000e-03  0.00000000e+00  2.50724263e+00  0.00000000e+00 
