time,v(N001),v(N002),v(N004)
0.0,0.0,1.2303479e-16,1.2303479e-16
1e-06,0.0015707963,6.77073793e-19,6.77073793e-19
2e-06,0.00314159245,1.88784428e-19,1.88784428e-19
4e-06,0.00628318365,5.26376309e-20,5.26376309e-20
8e-06,0.0125663574,1.46766352e-20,1.46766352e-20
1.6e-05,0.0251326354,4.09219824e-21,4.09219824e-21
3.2e-05,0.0502646358,1.14100311e-21,1.14100311e-21
6.4e-05,0.100524192,3.1813906e-22,3.1813906e-22
0.000128,0.201007747,8.87048078e-23,8.87048078e-23
0.000228,0.357835393,2.473303e-23,2.473303e-23
0.000328,0.514309899,6.89616254e-24,6.89616254e-24
0.000428,0.670276844,1.92281567e-24,1.92281567e-24
0.000528,0.825582306,5.36127172e-25,5.36127172e-25
0.000628,0.980073018,1.49485127e-25,1.49485127e-25
0.000728,1.13359652,4.16800421e-26,4.16800421e-26
0.000828,1.28600129,1.16213964e-26,1.16213964e-26
0.000928,1.43713694,3.24032431e-27,3.24032431e-27
0.001028,1.58685431,9.03480209e-28,9.03480209e-28
0.001128,1.73500564,2.51911972e-28,2.51911972e-28
0.001228,1.88144473,7.02391057e-29,7.02391057e-29
0.001328,2.02602706,1.95843489e-29,1.95843489e-29
0.001428,2.16860995,5.46058665e-30,5.46058665e-30
0.001528,2.30905269,1.52254265e-30,1.52254265e-30
0.001628,2.44721666,4.24521444e-31,4.24521444e-31
0.001728,2.58296553,1.1836677e-31,1.1836677e-31
0.001828,2.71616533,3.30034973e-32,3.30034973e-32
0.001928,2.84668459,9.20216737e-33,9.20216737e-33
0.002028,2.97439453,2.56578518e-33,2.56578518e-33
0.002128,3.09916909,7.15402507e-34,7.15402507e-34
0.002228,3.22088515,1.99471394e-34,1.99471394e-34
0.002328,3.33942258,5.56174135e-35,5.56174135e-35
0.002428,3.45466441,1.55074701e-35,1.55074701e-35
0.002528,3.5664969,4.32385496e-36,4.32385496e-36
0.002628,3.67480969,1.20559457e-36,1.20559457e-36
0.002728,3.77949588,3.36148709e-37,3.36148709e-37
0.002828,3.88045217,9.37263302e-38,9.37263302e-38
0.002928,3.97757892,2.6133151e-38,2.6133151e-38
0.003028,4.07078029,7.28654988e-39,7.28654988e-39
0.003128,4.15996428,2.03166504e-39,2.03166504e-39
0.003228,4.24504289,5.66476988e-40,5.66476988e-40
0.003328,4.32593215,1.57947384e-40,1.57947384e-40
0.003428,4.40255224,4.40395226e-41,4.40395226e-41
0.003528,4.47482755,1.22792762e-41,1.22792762e-41
0.003628,4.54268674,3.42375699e-42,3.42375699e-42
0.003728,4.60606285,9.54625645e-43,9.54625645e-43
0.003828,4.66489333,2.66172548e-43,2.66172548e-43
0.003928,4.71912012,7.42152965e-44,7.42152965e-44
0.004028,4.76868971,2.06930064e-44,2.06930064e-44
0.004128,4.81355318,5.76970697e-45,5.76970697e-45
0.004228,4.85366625,1.60873282e-45,1.60873282e-45
0.004328,4.88898934,4.48553332e-46,4.48553332e-46
0.004428,4.91948759,1.25067438e-46,1.25067438e-46
0.004528,4.9451309,3.48718041e-47,3.48718041e-47
0.004628,4.96589396,9.72309618e-48,9.72309618e-48
0.004728,4.98175628,2.71103264e-48,2.71103264e-48
0.004828,4.99270222,7.55900986e-49,7.55900986e-49
0.004928,4.99872095,2.10763342e-49,2.10763342e-49
0.005028,4.99980656,5.87658797e-50,5.87658797e-50
0.005128,4.99595795,1.63853381e-50,1.63853381e-50
0.005228,4.98717895,4.56862562e-51,4.56862562e-51
0.005328,4.97347819,1.27384251e-51,1.27384251e-51
0.005428,4.95486922,3.55177872e-52,3.55177872e-52
0.005528,4.93137038,9.90321177e-53,9.90321177e-53
0.005628,4.90300488,2.76125319e-53,2.76125319e-53
0.005728,4.86980071,7.69903681e-54,7.69903681e-54
0.005828,4.83179063,2.1466763e-54,2.1466763e-54
0.005928,4.78901215,5.98544888e-55,5.98544888e-55
0.006028,4.7415075,1.66888684e-55,1.66888684e-55
0.006128,4.68932356,4.65325718e-56,4.65325718e-56
0.006228,4.63251182,1.29743981e-56,1.29743981e-56
0.006328,4.57112834,3.61757368e-57,3.61757368e-57
0.006428,4.50523372,1.00866639e-57,1.00866639e-57
0.006528,4.43489297,2.81240406e-58,2.81240406e-58
0.006628,4.36017552,7.8416577e-59,7.8416577e-59
0.006728,4.28115511,2.18644242e-59,2.18644242e-59
0.006828,4.19790971,6.09632639e-60,6.09632639e-60
0.006928,4.11052148,1.69980215e-60,1.69980215e-60
0.007028,4.01907666,4.73945649e-61,4.73945649e-61
0.007128,3.9236655,1.32147425e-61,1.32147425e-61
0.007228,3.82438215,3.68458747e-62,3.68458747e-62
0.007328,3.7213246,1.02735144e-62,1.02735144e-62
0.007428,3.61459456,2.86450246e-63,2.86450246e-63
0.007528,3.50429734,7.98692057e-64,7.98692057e-64
0.007628,3.39054181,2.2269452e-64,2.2269452e-64
0.007728,3.27344022,6.20925785e-65,6.20925785e-65
0.007828,3.15310814,1.73129016e-65,1.73129016e-65
0.007928,3.02966432,4.8272526e-66,4.8272526e-66
0.008028,2.90323059,1.34595391e-66,1.34595391e-66
0.008128,2.77393172,3.75284264e-67,3.75284264e-67
0.008228,2.64189532,1.04638263e-67,1.04638263e-67
0.008328,2.50725168,2.91756597e-68,2.91756597e-68
0.008428,2.37013369,8.13487436e-69,8.13487436e-69
0.008528,2.23067667,2.26819827e-69,2.26819827e-69
0.008628,2.08901823,6.32428131e-70,6.32428131e-70
0.008728,1.94529819,1.76336146e-70,1.76336146e-70
0.008828,1.79965837,4.91667509e-71,4.91667509e-71
0.008928,1.65224251,1.37088705e-71,1.37088705e-71
0.009028,1.50319608,3.82236222e-72,3.82236222e-72
0.009128,1.35266618,1.06576635e-72,1.06576635e-72
0.009228,1.20080137,2.97161245e-73,2.97161245e-73
0.009328,1.0477515,8.28556892e-74,8.28556892e-74
0.009428,0.893667633,2.31021553e-74,2.31021553e-74
0.009528,0.738701822,6.44143552e-75,6.44143552e-75
0.009628,0.583007002,1.79602687e-75,1.79602687e-75
0.009728,0.426736825,5.00775409e-76,5.00775409e-76
0.009828,0.270045509,1.39628206e-76,1.39628206e-76
0.009928,0.113087692,3.8931696e-77,3.8931696e-77
0.010028,-0.0439817299,1.08550915e-77,1.08550915e-77
0.010128,-0.201007747,3.02666012e-78,3.02666012e-78
0.010228,-0.357835393,8.43905503e-79,8.43905503e-79
0.010328,-0.514309899,2.35301114e-79,2.35301114e-79
0.010428,-0.670276844,6.56075996e-80,6.56075996e-80
0.010528,-0.825582306,1.82929739e-80,1.82929739e-80
0.010628,-0.980073018,5.10052028e-81,5.10052028e-81
0.010728,-1.13359652,1.4221475e-81,1.4221475e-81
0.010828,-1.28600129,3.96528866e-82,3.96528866e-82
0.010928,-1.43713694,1.10561768e-82,1.10561768e-82
0.011028,-1.58685431,3.08272751e-83,3.08272751e-83
0.011128,-1.73500564,8.59538439e-84,8.59538439e-84
0.011228,-1.88144473,2.39659952e-84,2.39659952e-84
0.011328,-2.02602706,6.68229483e-85,6.68229483e-85
0.011428,-2.16860995,1.86318422e-85,1.86318422e-85
0.011528,-2.30905269,5.19500492e-86,5.19500492e-86
0.011628,-2.44721666,1.44849209e-86,1.44849209e-86
0.011728,-2.58296553,4.03874369e-87,4.03874369e-87
0.011828,-2.71616533,1.1260987e-87,1.1260987e-87
0.011928,-2.84668459,3.13983353e-88,3.13983353e-88
0.012028,-2.97439453,8.75460967e-89,8.75460967e-89
0.012128,-3.09916909,2.44099535e-89,2.44099535e-89
0.012228,-3.22088515,6.80608107e-90,6.80608107e-90
0.012328,-3.33942258,1.8976988e-90,1.8976988e-90
0.012428,-3.45466441,5.29123984e-91,5.29123984e-91
0.012528,-3.5664969,1.4753247e-91,1.4753247e-91
0.012628,-3.67480969,4.11355944e-92,4.11355944e-92
0.012728,-3.77949588,1.14695913e-92,1.14695913e-92
0.012828,-3.88045217,3.19799741e-93,3.19799741e-93
0.012928,-3.97757892,8.91678453e-94,8.91678453e-94
0.013028,-4.07078029,2.4862136e-94,2.4862136e-94
0.013128,-4.15996428,6.93216039e-95,6.93216039e-95
0.013228,-4.24504289,1.93285274e-95,1.93285274e-95
0.013328,-4.32593215,5.38925747e-96,5.38925747e-96
0.013428,-4.40255224,1.50265436e-96,1.50265436e-96
0.013528,-4.47482755,4.18976112e-97,4.18976112e-97
0.013628,-4.54268674,1.16820599e-97,1.16820599e-97
0.013728,-4.60606285,3.25723874e-98,3.25723874e-98
0.013828,-4.66489333,9.0819636e-99,9.0819636e-99
0.013928,-4.71912012,2.53226949e-99,2.53226949e-99
0.014028,-4.76868971,7.06057526e-100,7.06057526e-100
0.014128,-4.81355318,1.96865789e-100,1.96865789e-100
0.014228,-4.85366625,5.48909082e-101,5.48909082e-101
0.014328,-4.88898934,1.5304903e-101,1.5304903e-101
0.014428,-4.91948759,4.26737439e-102,4.26737439e-102
0.014528,-4.9451309,1.18984643e-102,1.18984643e-102
0.014628,-4.96589396,3.3175775e-103,3.3175775e-103
0.014728,-4.98175628,9.25020253e-104,9.25020253e-104
0.014828,-4.99270222,2.57917854e-104,2.57917854e-104
0.014928,-4.99872095,7.19136896e-105,7.19136896e-105
0.015028,-4.99980656,2.00512631e-105,2.00512631e-105
0.015128,-4.99595795,5.59077354e-106,5.59077354e-106
0.015228,-4.98717895,1.55884188e-106,1.55884188e-106
0.015328,-4.97347819,4.34642541e-107,4.34642541e-107
0.015428,-4.95486922,1.21188775e-107,1.21188775e-107
0.015528,-4.93137038,3.37903399e-108,3.37903399e-108
0.015628,-4.90300488,9.421558e-109,9.421558e-109
0.015728,-4.86980071,2.62695656e-109,2.62695656e-109
0.015828,-4.83179063,7.32458555e-110,7.32458555e-110
0.015928,-4.78901215,2.0422703e-110,2.0422703e-110
0.016028,-4.7415075,5.69433988e-111,5.69433988e-111
0.016128,-4.68932356,1.58771867e-111,1.58771867e-111
0.016228,-4.63251182,4.42694081e-112,4.42694081e-112
0.016328,-4.57112834,1.23433738e-112,1.23433738e-112
0.016428,-4.50523372,3.44162894e-113,3.44162894e-113
0.016528,-4.43489297,9.59608774e-114,9.59608774e-114
0.016628,-4.36017552,2.67561964e-114,2.67561964e-114
