time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.0,4.49946297e-28,0.0,-5.24852323e-19,3.50958111e-27,1.1220356e-28
5e-06,1.25465892e-05,0.025,0.000731631079,0.000731475901,0.0124970397
5.42126246e-06,1.36925e-05,0.0271063123,0.000756461541,0.000756297563,0.0135500984
6.26378737e-06,1.61618016e-05,0.0313189369,0.000778625027,0.00077844648,0.0156563296
7.9488372e-06,2.21646495e-05,0.039744186,0.000780009245,0.000779801313,0.0198689733
1.13189369e-05,3.84255358e-05,0.0565946843,0.000795060186,0.000794754793,0.0282942279
1.80591362e-05,8.79610706e-05,0.0902956808,0.000837905028,0.000837102491,0.0451447558
3.15395348e-05,0.000255030064,0.157697674,0.0010058688,0.000996119597,0.0788457866
5.8500332e-05,0.000860711509,0.29250166,0.00422204431,0.00162718608,0.146247868
8.66696417e-05,0.00187969298,0.433348208,0.0661952537,0.00355979503,0.216671278
0.000113615117,0.00322272718,0.568075584,0.195223936,0.00515925218,0.284034912
0.000154390962,0.0059371826,0.771954811,0.403869214,0.00762601396,0.385974692
0.000195728953,0.00952456931,0.978644764,0.610061922,0.0112282001,0.489319689
0.000278404934,0.0192076184,1.39202467,1.0272854,0.0207134108,0.696009851
0.000443756897,0.0485040456,2.21878448,1.85614127,0.049894235,1.10938993
0.000721878448,0.127114152,3.60939224,3.25211571,0.128261581,1.80469416
0.001,0.24171264,5.0,4.64313623,0.242787712,2.49999819
0.00105,0.265385699,5.0,4.694677,0.265368831,2.5000004
0.00115,0.312496199,5.0,4.77006892,0.312390072,2.50000043
0.00135,0.405317764,5.0,4.86126189,0.405222731,2.50000039
0.00175,0.585500816,5.0,5.03851255,0.585399943,2.50000041
0.00225,0.800841561,5.0,5.24986426,0.800753303,2.50000036
0.00275,1.0056779,5.0,5.45215206,1.00558348,2.50000039
0.00325,1.20052225,5.0,5.64436981,1.20043888,2.50000034
0.00375,1.385862,5.0,5.8269729,1.38577223,2.50000037
0.00425,1.56216081,5.0,6.0004644,1.56208177,2.50000032
0.00475,1.72985969,5.0,6.16525527,1.72977399,2.50000035
0.00525,1.88937816,5.0,6.32180387,1.88930285,2.50000031
0.00575,2.04111524,5.0,6.47047897,2.04103298,2.50000034
0.00625,2.18545053,5.0,6.61169814,2.18537829,2.5000003
0.00675,2.32274508,5.0,6.74579197,2.32266555,2.50000033
0.00725,2.45334235,5.0,6.87314166,2.45327236,2.50000029
0.00775,2.57756902,5.0,6.99404209,2.57749128,2.50000032
0.00825,2.69573586,5.0,7.1087437,2.69566693,2.50000028
0.00875,2.80813817,5.0,7.08916715,2.80798052,2.50000065
0.00925,2.91505149,5.0,4.60882221,2.9133206,2.50001718
0.00961784801,2.99035686,5.0,4.51738015,2.99060946,2.50009188
0.00995735376,3.05742011,5.0,4.46779357,3.04640372,2.50246281
0.0104021161,3.14178414,5.0,4.41818949,3.10432946,2.51261684
0.0109021161,3.23199482,5.0,4.39524074,3.14845189,2.53139628
0.0114021161,3.31746076,5.0,4.38426925,3.18403788,2.55745549
0.0119021161,3.39840424,5.0,4.37615431,3.21633541,2.58097734
0.0124021161,3.47506476,5.0,4.36938985,3.24838522,2.60636435
0.0129021161,3.54766559,5.0,4.36467085,3.27633542,2.62947842
0.0134021161,3.61642049,5.0,4.3603,3.30486937,2.6535821
0.0139021161,3.68153265,5.0,4.35705476,3.32967167,2.67507359
0.0144021161,3.74319465,5.0,4.35394725,3.35526685,2.6975009
0.0149021161,3.80158919,5.0,4.35156166,3.37736268,2.71715461
0.0154021161,3.85688931,5.0,4.34921307,3.4004019,2.73779079
0.0159021161,3.90925898,5.0,4.34738192,3.42010359,2.75561131
