time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006)
0.0,5.0,0.0,1.5201957,0.876891599,3.08437585,0.0
1e-06,5.0,6.28318489e-05,1.52025807,0.876891802,3.08026409,-0.00411164003
2e-06,5.0,0.000125663673,1.52032021,0.876892208,3.07611518,-0.00826030241
4e-06,5.0,0.000251327148,1.52044406,0.876893422,3.06784092,-0.0165338057
8e-06,5.0,0.000502652708,1.52068914,0.87689825,3.05153318,-0.0328385555
1.6e-05,5.0,0.00100529272,1.52116902,0.876917262,3.01985358,-0.0645063534
3.2e-05,5.0,0.00201048383,1.52208942,0.876990844,2.96025706,-0.124057158
6.4e-05,5.0,0.00402015494,1.52378625,0.877265379,2.85599572,-0.228147738
0.000128,5.0,0.00803381001,1.5267015,0.878212636,2.70270795,-0.380844965
0.000228,5.0,0.0142767131,1.53032253,0.880350658,2.57988993,-0.502324852
0.000328,5.0,0.0204632726,1.53317824,0.882840635,2.54878104,-0.531866788
0.000428,5.0,0.0265690728,1.53554595,0.885351482,2.56088188,-0.518174973
0.000528,5.0,0.0325700171,1.53756002,0.887731508,2.59217519,-0.485361155
0.000628,5.0,0.0384424223,1.53928495,0.889917349,2.63092304,-0.445203359
0.000728,5.0,0.0441631129,1.54075293,0.891886552,2.67227673,-0.402565172
0.000828,5.0,0.0497095119,1.54198234,0.893633629,2.71418883,-0.359498432
0.000928,5.0,0.0550597301,1.54298544,0.895160253,2.75577964,-0.316882799
0.001028,5.0,0.0601926528,1.54377132,0.896471839,2.79638126,-0.2753838
0.001128,5.0,0.0650880225,1.54434852,0.897574006,2.8365541,-0.234438502
0.001228,5.0,0.0697265196,1.54472523,0.898472329,2.87573339,-0.194609148
0.001328,5.0,0.0740898379,1.54490867,0.899173698,2.91391828,-0.155893188
0.001428,5.0,0.0781607575,1.54490611,0.899684938,2.95110871,-0.118287333
0.001528,5.0,0.0819232123,1.54472486,0.900012833,2.98729164,-0.0818012362
0.001628,5.0,0.0853623536,1.54437236,0.900164165,3.02245498,-0.0464435915
0.001728,5.0,0.0884646086,1.54385616,0.900145729,3.05657484,-0.0122348246
0.001828,5.0,0.0912177343,1.54318397,0.899964366,3.08962964,0.0208069854
0.001928,5.0,0.0936108653,1.54236365,0.899626976,3.12158756,0.0526536088
0.002028,5.0,0.0956345569,1.54140322,0.899140535,3.15242049,0.0832805795
0.002128,5.0,0.0972808227,1.54031089,0.898512106,3.18209152,0.112654733
