time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008)
0.0,0.0,3.66400021,3.02445816,6.76332305,0.0,0.0,12.0,0.0
1e-06,0.00036081169,3.66436076,3.02445826,6.72267119,-0.040651451,0.000628318489,12.0,0.0
2e-06,0.00082480557,3.66482432,3.0244585,6.66883839,-0.0944833077,0.00125663673,12.0,0.0
4e-06,0.00180985222,3.66580823,3.02445927,6.5513011,-0.212017535,0.00251327148,12.0,0.0
8e-06,0.00383800229,3.6678326,3.02446265,6.29629448,-0.467010575,0.00502652708,12.0,0.0
1.6e-05,0.00778510105,3.67176587,3.02447742,5.74893213,-1.01431367,0.0100529272,12.0,0.0
3.2e-05,0.0153806208,3.67930545,3.02454302,4.48385839,-2.27912393,0.0201048383,12.0,0.0
5.54392356e-05,0.0226787218,3.68640582,3.02471601,3.13071395,-3.63157567,0.0348264552,12.0,0.0
7.22382873e-05,0.0242267318,3.68767418,3.02486997,3.10383406,-3.65784328,0.0453730717,12.0,0.0
8.86174268e-05,0.0257151811,3.68874429,3.02502233,3.09082567,-3.67025153,0.0556512055,12.0,0.0
0.000109827468,0.0278691171,3.69014507,3.02522226,3.08259928,-3.67769867,0.0689518791,12.0,0.0
0.000152247551,0.0325117139,3.69258001,3.02562992,3.07367616,-3.68506014,0.0955141294,12.0,0.0
0.000224257162,0.0421851204,3.69644741,3.02634384,3.06413569,-3.69194453,0.140439134,12.0,0.0
0.000324257162,0.0588574664,3.70103342,3.02737676,3.05812111,-3.69426601,0.202330232,12.0,0.0
0.000424257162,0.0792817747,3.70507704,3.02845297,3.05493645,-3.69375666,0.263422825,12.0,0.0
0.000524257162,0.103094839,3.708664,3.02956751,3.05296401,-3.6920362,0.323475808,12.0,0.0
0.000624257162,0.129890834,3.71182288,3.03071572,3.05234014,-3.68896957,0.38225218,12.0,0.0
0.000724257162,0.159312307,3.7146159,3.03189317,3.05221344,-3.68540908,0.439519977,12.0,0.0
0.000824257162,0.191103022,3.71719872,3.03309565,3.05236769,-3.68157134,0.49505319,12.0,0.0
0.000924257162,0.224784684,3.71949048,3.03431912,3.05287091,-3.67738864,0.548632654,12.0,0.0
0.00102425716,0.260104856,3.72162115,3.03555969,3.05351334,-3.67307098,0.600046916,12.0,0.0
0.00112425716,0.296613858,3.72350909,3.03681364,3.05438269,-3.66853083,0.649093066,12.0,0.0
0.00122425716,0.334067361,3.72526312,3.0380774,3.05533362,-3.66391368,0.695577543,12.0,0.0
0.00132425716,0.372045916,3.72680262,3.03934755,3.05645069,-3.65913509,0.739316893,12.0,0.0
0.00142425716,0.410321133,3.72822342,3.04062085,3.05762055,-3.6543085,0.780138497,12.0,0.0
0.00152425716,0.448503196,3.72944571,3.04189415,3.05892596,-3.64935126,0.817881251,12.0,0.0
0.00162425716,0.486384138,3.73055715,3.0431645,3.06027085,-3.64435951,0.852396201,12.0,0.0
0.00172425716,0.523602871,3.73147806,3.04442906,3.06173896,-3.6392496,0.883547133,12.0,0.0
0.00182425716,0.55997484,3.73229101,3.04568516,3.0632442,-3.63410768,0.911211108,12.0,0.0
0.00192425716,0.595166769,3.73291551,3.04693024,3.064875,-3.62884541,0.935278948,12.0,0.0
0.00202425716,0.629019815,3.73343116,3.04816191,3.0665515,-3.62354271,0.955655671,12.0,0.0
0.00212425716,0.66122762,3.73375551,3.04937793,3.06837212,-3.61810126,0.972260856,12.0,0.0
0.00222425716,0.691659015,3.73396674,3.05057617,3.07026199,-3.61259605,0.985028973,12.0,0.0
0.00232425716,0.720033561,3.73397899,3.05175468,3.07233811,-3.60691018,0.99390963,12.0,0.0
0.00242425716,0.746249529,3.73387024,3.05291162,3.07453295,-3.60111133,0.99886778,12.0,0.0
0.00252425716,0.770051073,3.73354923,3.05404532,3.07699864,-3.59504756,0.999883855,12.0,0.0
0.00262425716,0.791367478,3.73309468,3.05515424,3.0796862,-3.58876809,0.996953845,12.0,0.0
0.00272425716,0.809965488,3.73240718,3.05623695,3.08282122,-3.58204766,0.990089314,12.0,0.0
0.00282425716,0.825806634,3.7315666,3.05729219,3.08641492,-3.5748755,0.979317353,12.0,0.0
0.00292425716,0.838676848,3.73046109,3.05831878,3.09088098,-3.56683858,0.964680473,12.0,0.0
0.00302425716,0.848570177,3.72917093,3.05931563,3.09647397,-3.55768333,0.946236441,12.0,0.0
0.00312425716,0.85518605,3.72745989,3.06028146,3.1062031,-3.54440316,0.924058045,12.0,0.0
0.00322425716,0.858720424,3.72557504,3.06121463,3.12104725,-3.5260238,0.898232815,12.0,0.0
0.00332425716,0.858718676,3.72309048,3.06210798,3.18666262,-3.45691696,0.86886267,12.0,0.0
0.00342425716,0.835951459,3.69981046,3.06250727,6.96099803,0.318987416,0.836063521,12.0,0.0
0.00352425716,0.803189301,3.66720392,3.06218494,8.98116504,2.33782602,0.799964811,12.0,0.0
0.00362425716,0.767108628,3.63160445,3.06153385,9.60728884,2.96130026,0.760709006,12.0,0.0
0.00372425716,0.725556375,3.59072745,3.06078277,9.78826666,3.13922782,0.718451029,12.0,0.0
0.00382425716,0.682811106,3.54881012,3.06000523,9.82377543,3.17158119,0.673357655,12.0,0.0
0.00392425716,0.635597685,3.50256891,3.05922214,9.83685495,3.18148417,0.625606846,12.0,0.0
0.00402425716,0.587786065,3.45587679,3.05843786,9.83742583,3.17887487,0.575387052,12.0,0.0
0.00412425716,0.535941358,3.40530427,3.05765353,9.84138435,3.17965412,0.522896468,12.0,0.0
0.00422425716,0.483900674,3.35469376,3.05686957,9.8387359,3.17382894,0.468342251,12.0,0.0
0.00432425716,0.428258215,3.30064514,3.05608584,9.84369345,3.17561176,0.411939701,12.0,0.0
0.00442425716,0.372836438,3.24698554,3.05530231,9.84126922,3.17001472,0.353911414,12.0,0.0
0.00452425716,0.314255915,3.19033975,3.05451898,9.84625196,3.17182654,0.294486399,12.0,0.0
0.00462425716,0.256339354,3.13453367,3.05373586,9.84383685,3.1662424,0.233899182,12.0,0.0
0.00472425716,0.195728819,3.07621214,3.05295294,9.84881385,3.16805225,0.172388871,12.0,0.0
0.00482425716,0.136243751,3.01919635,3.05217022,9.84640235,3.16247548,0.11019822,12.0,0.0
0.00492425716,0.0745434914,2.96014691,3.0513877,9.85137295,3.16428271,0.0475726666,12.0,0.0
0.00502425716,0.0144409126,2.90287695,3.05060538,9.84896492,3.15871317,-0.0152406341,12.0,0.0
0.00512425716,-0.0473915206,2.8440587,3.04982326,9.85392915,3.1605178,-0.0779937869,12.0,0.0
0.00522425716,-0.10715092,2.78749383,3.04904134,9.85152455,3.15495545,-0.140439134,12.0,0.0
0.00532425716,-0.168155828,2.72986205,3.04825963,9.85648245,3.1567575,-0.202330232,12.0,0.0
0.00542425716,-0.226616816,2.67495008,3.04747811,9.85408124,3.15120231,-0.263422825,12.0,0.0
0.00552425716,-0.285847491,2.61944112,3.0466968,9.85903285,3.15300181,-0.323475808,12.0,0.0
0.00562425716,-0.342075355,2.56710352,3.04591568,9.856635,3.14745374,-0.38225218,12.0,0.0
0.00572425716,-0.398613012,2.51462005,3.04513477,9.86158033,3.14925072,-0.439519977,12.0,0.0
