time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008)
0.0,0.0,3.64287831,3.0,6.10204367,0.0,0.0,12.0,0.0
1e-06,0.000338810867,3.64321683,3.0,6.05945085,-0.0425923907,0.000628318489,12.0,0.0
2e-06,0.000783839291,3.64366139,3.0,6.00178543,-0.100256812,0.00125663673,12.0,0.0
4e-06,0.00173876233,3.64461506,3.0,5.87459354,-0.227445419,0.00251327148,12.0,0.0
8e-06,0.00372355882,3.64659571,3.0,5.59622626,-0.505798035,0.00502652708,12.0,0.0
1.6e-05,0.00757392306,3.65043094,3.0,5.00174264,-1.10021742,0.0100529272,12.0,0.0
3.2e-05,0.0149217297,3.65771745,3.0,3.64446542,-2.45721004,0.0201048383,12.0,0.0
4.74929542e-05,0.0181990496,3.66086447,3.0,3.10061663,-3.00063604,0.0298362747,12.0,0.0
6.25928466e-05,0.0194432344,3.66187074,3.0,3.07631702,-3.02448076,0.0393181079,12.0,0.0
8.30710326e-05,0.0211847053,3.66309144,3.0,3.06498689,-3.03519044,0.052171373,12.0,0.0
0.00010460403,0.0231689252,3.66428437,3.0,3.05643352,-3.04308938,0.0656773416,12.0,0.0
0.000146113044,0.0275177652,3.66641939,3.0,3.04612534,-3.05213253,0.0916766274,12.0,0.0
0.000229131073,0.0382086148,3.67007775,3.0,3.03542116,-3.0602995,0.143470489,12.0,0.0
0.000329131073,0.0546325223,3.67370377,3.0,3.02903343,-3.06362527,0.205328309,12.0,0.0
0.000429131073,0.0747070127,3.67666004,3.0,3.02517576,-3.06441892,0.266375792,12.0,0.0
0.000529131073,0.0982321822,3.67919477,3.0,3.02223658,-3.06429374,0.326372011,12.0,0.0
0.000629131073,0.124654831,3.68118916,3.0,3.02064268,-3.06282408,0.38508019,12.0,0.0
0.000729131073,0.153768779,3.68285685,3.0,3.01936251,-3.06104232,0.442268632,12.0,0.0
0.000829131073,0.185186705,3.68422354,3.0,3.01842048,-3.05892436,0.497711642,12.0,0.0
0.000929131073,0.218557419,3.68533635,3.0,3.01770333,-3.05658376,0.551190412,12.0,0.0
