time,v(N001),v(N002),v(N004)
0.0,0.0,1.2303479e-16,1.2303479e-16
1e-06,0.0,6.77073793e-19,6.77073793e-19
2e-06,0.0,1.88784428e-19,1.88784428e-19
4e-06,0.0,5.26376309e-20,5.26376309e-20
8e-06,0.0,1.46766352e-20,1.46766352e-20
1.6e-05,0.0,4.09219824e-21,4.09219824e-21
3.2e-05,0.0,1.14100311e-21,1.14100311e-21
6.4e-05,0.0,3.1813906e-22,3.1813906e-22
0.000128,0.0,8.87048078e-23,8.87048078e-23
0.000228,0.0,2.473303e-23,2.473303e-23
0.000328,0.0,6.89616254e-24,6.89616254e-24
0.000428,0.0,1.92281567e-24,1.92281567e-24
0.000528,0.0,5.36127172e-25,5.36127172e-25
0.000628,0.0,1.49485127e-25,1.49485127e-25
0.000728,0.0,4.16800421e-26,4.16800421e-26
0.000828,0.0,1.16213964e-26,1.16213964e-26
0.000928,0.0,3.24032431e-27,3.24032431e-27
0.001028,0.0,9.03480209e-28,9.03480209e-28
0.001128,0.0,2.51911972e-28,2.51911972e-28
0.001228,0.0,7.02391057e-29,7.02391057e-29
0.001328,0.0,1.95843489e-29,1.95843489e-29
0.001428,0.0,5.46058665e-30,5.46058665e-30
0.001528,0.0,1.52254265e-30,1.52254265e-30
0.001628,0.0,4.24521444e-31,4.24521444e-31
0.001728,0.0,1.1836677e-31,1.1836677e-31
0.001828,0.0,3.30034973e-32,3.30034973e-32
0.001928,0.0,9.20216737e-33,9.20216737e-33
0.002028,0.0,2.56578518e-33,2.56578518e-33
0.002128,0.0,7.15402507e-34,7.15402507e-34
0.002228,0.0,1.99471394e-34,1.99471394e-34
0.002328,0.0,5.56174135e-35,5.56174135e-35
0.002428,0.0,1.55074701e-35,1.55074701e-35
0.002528,0.0,4.32385496e-36,4.32385496e-36
0.002628,0.0,1.20559457e-36,1.20559457e-36
0.002728,0.0,3.36148709e-37,3.36148709e-37
0.002828,0.0,9.37263302e-38,9.37263302e-38
0.002928,0.0,2.6133151e-38,2.6133151e-38
0.003028,0.0,7.28654988e-39,7.28654988e-39
0.003128,0.0,2.03166504e-39,2.03166504e-39
0.003228,0.0,5.66476988e-40,5.66476988e-40
0.003328,0.0,1.57947384e-40,1.57947384e-40
0.003428,0.0,4.40395226e-41,4.40395226e-41
0.003528,0.0,1.22792762e-41,1.22792762e-41
0.003628,0.0,3.42375699e-42,3.42375699e-42
0.003728,0.0,9.54625645e-43,9.54625645e-43
0.003828,0.0,2.66172548e-43,2.66172548e-43
0.003928,0.0,7.42152965e-44,7.42152965e-44
0.004028,0.0,2.06930064e-44,2.06930064e-44
0.004128,0.0,5.76970697e-45,5.76970697e-45
0.004228,0.0,1.60873282e-45,1.60873282e-45
0.004328,0.0,4.48553332e-46,4.48553332e-46
0.004428,0.0,1.25067438e-46,1.25067438e-46
0.004528,0.0,3.48718041e-47,3.48718041e-47
0.004628,0.0,9.72309618e-48,9.72309618e-48
0.004728,0.0,2.71103264e-48,2.71103264e-48
0.004828,0.0,7.55900986e-49,7.55900986e-49
0.004928,0.0,2.10763342e-49,2.10763342e-49
0.005028,0.0,5.87658797e-50,5.87658797e-50
0.005128,0.0,1.63853381e-50,1.63853381e-50
0.005228,0.0,4.56862562e-51,4.56862562e-51
0.005328,0.0,1.27384251e-51,1.27384251e-51
0.005428,0.0,3.55177872e-52,3.55177872e-52
0.005528,0.0,9.90321177e-53,9.90321177e-53
0.005628,0.0,2.76125319e-53,2.76125319e-53
0.005728,0.0,7.69903681e-54,7.69903681e-54
0.005828,0.0,2.1466763e-54,2.1466763e-54
0.005928,0.0,5.98544888e-55,5.98544888e-55
0.006028,0.0,1.66888684e-55,1.66888684e-55
0.006128,0.0,4.65325718e-56,4.65325718e-56
0.006228,0.0,1.29743981e-56,1.29743981e-56
0.006328,0.0,3.61757368e-57,3.61757368e-57
0.006428,0.0,1.00866639e-57,1.00866639e-57
0.006528,0.0,2.81240406e-58,2.81240406e-58
0.006628,0.0,7.8416577e-59,7.8416577e-59
0.006728,0.0,2.18644242e-59,2.18644242e-59
0.006828,0.0,6.09632639e-60,6.09632639e-60
0.006928,0.0,1.69980215e-60,1.69980215e-60
0.007028,0.0,4.73945649e-61,4.73945649e-61
0.007128,0.0,1.32147425e-61,1.32147425e-61
0.007228,0.0,3.68458747e-62,3.68458747e-62
0.007328,0.0,1.02735144e-62,1.02735144e-62
0.007428,0.0,2.86450246e-63,2.86450246e-63
0.007528,0.0,7.98692057e-64,7.98692057e-64
0.007628,0.0,2.2269452e-64,2.2269452e-64
0.007728,0.0,6.20925785e-65,6.20925785e-65
0.007828,0.0,1.73129016e-65,1.73129016e-65
0.007928,0.0,4.8272526e-66,4.8272526e-66
0.008028,0.0,1.34595391e-66,1.34595391e-66
0.008128,0.0,3.75284264e-67,3.75284264e-67
0.008228,0.0,1.04638263e-67,1.04638263e-67
0.008328,0.0,2.91756597e-68,2.91756597e-68
0.008428,0.0,8.13487436e-69,8.13487436e-69
0.008528,0.0,2.26819827e-69,2.26819827e-69
0.008628,0.0,6.32428131e-70,6.32428131e-70
0.008728,0.0,1.76336146e-70,1.76336146e-70
0.008828,0.0,4.91667509e-71,4.91667509e-71
0.008928,0.0,1.37088705e-71,1.37088705e-71
0.009028,0.0,3.82236222e-72,3.82236222e-72
0.009128,0.0,1.06576635e-72,1.06576635e-72
0.009228,0.0,2.97161245e-73,2.97161245e-73
0.009328,0.0,8.28556892e-74,8.28556892e-74
0.009428,0.0,2.31021553e-74,2.31021553e-74
0.009528,0.0,6.44143552e-75,6.44143552e-75
