 time            time            v(N001)         v(N002)         v(N004)        
 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.23034790e-16  1.23034790e-16 
 1.00000000e-06  1.00000000e-06  1.57079630e-03  6.77073793e-19  6.77073793e-19 
 2.00000000e-06  2.00000000e-06  3.14159245e-03  1.88784428e-19  1.88784428e-19 
 4.00000000e-06  4.00000000e-06  6.28318365e-03  5.26376309e-20  5.26376309e-20 
 8.00000000e-06  8.00000000e-06  1.25663574e-02  1.46766352e-20  1.46766352e-20 
 1.60000000e-05  1.60000000e-05  2.51326354e-02  4.09219824e-21  4.09219824e-21 
 3.20000000e-05  3.20000000e-05  5.02646358e-02  1.14100311e-21  1.14100311e-21 
 6.40000000e-05  6.40000000e-05  1.00524192e-01  3.18139060e-22  3.18139060e-22 
 1.28000000e-04  1.28000000e-04  2.01007747e-01  8.87048078e-23  8.87048078e-23 
 2.28000000e-04  2.28000000e-04  3.57835393e-01  2.47330300e-23  2.47330300e-23 
 3.28000000e-04  3.28000000e-04  5.14309899e-01  6.89616254e-24  6.89616254e-24 
 4.28000000e-04  4.28000000e-04  6.70276844e-01  1.92281567e-24  1.92281567e-24 
 5.28000000e-04  5.28000000e-04  8.25582306e-01  5.36127172e-25  5.36127172e-25 
 6.28000000e-04  6.28000000e-04  9.80073018e-01  1.49485127e-25  1.49485127e-25 
 7.28000000e-04  7.28000000e-04  1.13359652e+00  4.16800421e-26  4.16800421e-26 
 8.28000000e-04  8.28000000e-04  1.28600129e+00  1.16213964e-26  1.16213964e-26 
 9.28000000e-04  9.28000000e-04  1.43713694e+00  3.24032431e-27  3.24032431e-27 
 1.02800000e-03  1.02800000e-03  1.58685431e+00  9.03480209e-28  9.03480209e-28 
 1.12800000e-03  1.12800000e-03  1.73500564e+00  2.51911972e-28  2.51911972e-28 
 1.22800000e-03  1.22800000e-03  1.88144473e+00  7.02391057e-29  7.02391057e-29 
 1.32800000e-03  1.32800000e-03  2.02602706e+00  1.95843489e-29  1.95843489e-29 
 1.42800000e-03  1.42800000e-03  2.16860995e+00  5.46058665e-30  5.46058665e-30 
 1.52800000e-03  1.52800000e-03  2.30905269e+00  1.52254265e-30  1.52254265e-30 
 1.62800000e-03  1.62800000e-03  2.44721666e+00  4.24521444e-31  4.24521444e-31 
 1.72800000e-03  1.72800000e-03  2.58296553e+00  1.18366770e-31  1.18366770e-31 
 1.82800000e-03  1.82800000e-03  2.71616533e+00  3.30034973e-32  3.30034973e-32 
 1.92800000e-03  1.92800000e-03  2.84668459e+00  9.20216737e-33  9.20216737e-33 
 2.02800000e-03  2.02800000e-03  2.97439453e+00  2.56578518e-33  2.56578518e-33 
 2.12800000e-03  2.12800000e-03  3.09916909e+00  7.15402507e-34  7.15402507e-34 
 2.22800000e-03  2.22800000e-03  3.22088515e+00  1.99471394e-34  1.99471394e-34 
 2.32800000e-03  2.32800000e-03  3.33942258e+00  5.56174135e-35  5.56174135e-35 
 2.42800000e-03  2.42800000e-03  3.45466441e+00  1.55074701e-35  1.55074701e-35 
 2.52800000e-03  2.52800000e-03  3.56649690e+00  4.32385496e-36  4.32385496e-36 
 2.62800000e-03  2.62800000e-03  3.67480969e+00  1.20559457e-36  1.20559457e-36 
 2.72800000e-03  2.72800000e-03  3.77949588e+00  3.36148709e-37  3.36148709e-37 
 2.82800000e-03  2.82800000e-03  3.88045217e+00  9.37263302e-38  9.37263302e-38 
 2.92800000e-03  2.92800000e-03  3.97757892e+00  2.61331510e-38  2.61331510e-38 
 3.02800000e-03  3.02800000e-03  4.07078029e+00  7.28654988e-39  7.28654988e-39 
 3.12800000e-03  3.12800000e-03  4.15996428e+00  2.03166504e-39  2.03166504e-39 
 3.22800000e-03  3.22800000e-03  4.24504289e+00  5.66476988e-40  5.66476988e-40 
 3.32800000e-03  3.32800000e-03  4.32593215e+00  1.57947384e-40  1.57947384e-40 
 3.42800000e-03  3.42800000e-03  4.40255224e+00  4.40395226e-41  4.40395226e-41 
 3.52800000e-03  3.52800000e-03  4.47482755e+00  1.22792762e-41  1.22792762e-41 
 3.62800000e-03  3.62800000e-03  4.54268674e+00  3.42375699e-42  3.42375699e-42 
 3.72800000e-03  3.72800000e-03  4.60606285e+00  9.54625645e-43  9.54625645e-43 
 3.82800000e-03  3.82800000e-03  4.66489333e+00  2.66172548e-43  2.66172548e-43 
 3.92800000e-03  3.92800000e-03  4.71912012e+00  7.42152965e-44  7.42152965e-44 
 4.02800000e-03  4.02800000e-03  4.76868971e+00  2.06930064e-44  2.06930064e-44 
 4.12800000e-03  4.12800000e-03  4.81355318e+00  5.76970697e-45  5.76970697e-45 
 4.22800000e-03  4.22800000e-03  4.85366625e+00  1.60873282e-45  1.60873282e-45 
 4.32800000e-03  4.32800000e-03  4.88898934e+00  4.48553332e-46  4.48553332e-46 
 4.42800000e-03  4.42800000e-03  4.91948759e+00  1.25067438e-46  1.25067438e-46 
 4.52800000e-03  4.52800000e-03  4.94513090e+00  3.48718041e-47  3.48718041e-47 
 4.62800000e-03  4.62800000e-03  4.96589396e+00  9.72309618e-48  9.72309618e-48 
 4.72800000e-03  4.72800000e-03  4.98175628e+00  2.71103264e-48  2.71103264e-48 
 4.82800000e-03  4.82800000e-03  4.99270222e+00  7.55900986e-49  7.55900986e-49 
