time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.0,4.49946297e-28,0.0,-5.24852323e-19,3.50958111e-27,1.1220356e-28
5e-06,2.51041646e-06,0.05,0.00143657698,0.00143621972,0.0249940965
5.42113619e-06,2.73962564e-06,0.0542113619,0.00148387075,0.00148349242,0.0270995838
6.26340857e-06,3.23353713e-06,0.0626340857,0.00152325395,0.0015228377,0.0313107857
7.94795333e-06,4.43420511e-06,0.0794795333,0.00151190703,0.00151139277,0.0397335616
1.13170428e-05,7.68672823e-06,0.113170428,0.00151009963,0.00150906238,0.0565790323
1.80552219e-05,1.75964451e-05,0.180552219,0.0015126879,0.00150130487,0.0902700029
2.9478273e-05,4.4766913e-05,0.29478273,0.00283667607,0.0015556932,0.147385367
4.17902647e-05,8.86706213e-05,0.417902647,0.0413524324,0.0028902147,0.208945667
5.33666992e-05,0.000143794431,0.533666992,0.141209019,0.00419694719,0.266827692
7.20879081e-05,0.000261293178,0.720879081,0.334660214,0.00373189981,0.360433784
9.04900075e-05,0.00041091479,0.904900075,0.517172863,0.00394018415,0.452444564
0.000127294206,0.000811640851,1.27294206,0.889158289,0.00402109221,0.636465577
0.000200902604,0.0020188359,2.00902604,1.62663913,0.00499368157,1.0045081
0.000348119398,0.00605475517,3.48119398,3.10432898,0.00861486347,1.74059233
0.000642552988,0.0206009162,6.42552988,6.04934746,0.0228504922,3.21276103
0.001,0.0498324244,10.0,9.63056375,0.0517918547,4.99999625
0.00105,0.0548050288,10.0,9.68161747,0.0549003667,5.00000004
0.00115,0.0647452593,10.0,9.74151186,0.0647264929,5.0000001
0.00135,0.0845959138,10.0,9.76535049,0.0845851714,5.00000005
0.00175,0.124178354,10.0,9.79901685,0.124152078,5.0000001
0.00225,0.173434308,10.0,9.83657986,0.173421743,5.00000005
0.00275,0.222444598,10.0,9.87742019,0.222419995,5.0000001
0.00325,0.271210447,10.0,9.91956673,0.271198622,5.00000005
0.00375,0.319733074,10.0,9.96189706,0.319708777,5.0000001
0.00425,0.368013694,10.0,10.0040947,0.368001975,5.00000005
0.00475,0.416053513,10.0,10.0460246,0.41602932,5.0000001
0.00525,0.463853732,10.0,10.0877209,0.463842072,5.00000005
0.00575,0.511415545,10.0,10.1291319,0.511391447,5.0000001
0.00625,0.558740143,10.0,10.1703082,0.558728541,5.00000004
0.00675,0.605828708,10.0,10.2112016,0.605804703,5.0000001
0.00725,0.652682417,10.0,10.2518629,0.65267087,5.00000004
0.00775,0.699302442,10.0,10.292244,0.69927853,5.0000001
