 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)        
 0.00000000e+00  0.00000000e+00 -8.75040601e-29  0.00000000e+00  5.07072184e-19 -2.81919021e-28 -1.14669738e-28 
 5.00000000e-06  5.00000000e-06  2.51083814e-06  5.00000000e-02  4.90061074e-04  4.89689293e-04  2.49938604e-02 
 5.42122797e-06  5.42122797e-06  2.74011914e-06  5.42122797e-02  4.96428353e-04  4.96039073e-04  2.70999231e-02 
 6.26368392e-06  6.26368392e-06  3.23416956e-06  6.26368392e-02  4.99023861e-04  4.98600133e-04  3.13121768e-02 
 7.94859582e-06  7.94859582e-06  4.43517581e-06  7.94859582e-02  4.98274550e-04  4.97754836e-04  3.97367621e-02 
 1.13184196e-05  1.13184196e-05  7.68875473e-06  1.13184196e-01  4.99229766e-04  4.98181263e-04  5.65859169e-02 
 1.80580672e-05  1.80580672e-05  1.76020443e-05  1.80580672e-01  5.13611758e-04  5.01802776e-04  9.02842369e-02 
 2.94027289e-05  2.94027289e-05  4.45448390e-05  2.94027289e-01  1.82471831e-03  5.39020851e-04  1.47007639e-01 
 4.16374827e-05  4.16374827e-05  8.80339750e-05  4.16374827e-01  3.95932970e-02  1.01985538e-03  2.08181604e-01 
 5.31439233e-05  5.31439233e-05  1.42609151e-04  5.31439233e-01  1.38791613e-01  1.47439121e-03  2.65713798e-01 
 7.17821100e-05  7.17821100e-05  2.59094422e-04  7.17821100e-01  3.31819802e-01  1.38221429e-03  3.58904857e-01 
 8.99158506e-05  8.99158506e-05  4.05736843e-04  8.99158506e-01  5.11295491e-01  1.56781494e-03  4.49573715e-01 
 1.26183332e-04  1.26183332e-04  7.97567109e-04  1.26183332e+00  8.78122428e-01  1.83866945e-03  6.30911277e-01 
 1.98718294e-04  1.98718294e-04  1.97522808e-03  1.98718294e+00  1.60463106e+00  2.95719623e-03  9.93586471e-01 
 3.43788218e-04  3.43788218e-04  5.90517279e-03  3.43788218e+00  3.06104525e+00  6.73597048e-03  1.71893649e+00 
 6.33928067e-04  6.33928067e-04  2.00522678e-02  6.33928067e+00  5.96296896e+00  2.07969414e-02  3.16963634e+00 
 1.00000000e-03  1.00000000e-03  4.98322779e-02  1.00000000e+01  9.62470592e+00  5.05001602e-02  4.99999633e+00 
 1.05000000e-03  1.05000000e-03  5.48048828e-02  1.00000000e+01  9.68102879e+00  5.48374914e-02  5.00000006e+00 
 1.15000000e-03  1.15000000e-03  6.47451139e-02  1.00000000e+01  9.74362225e+00  6.47393185e-02  5.00000008e+00 
 1.35000000e-03  1.35000000e-03  8.45957683e-02  1.00000000e+01  9.76547281e+00  8.45912164e-02  5.00000006e+00 
 1.75000000e-03  1.75000000e-03  1.24178210e-01  1.00000000e+01  9.80039829e+00  1.24170886e-01  5.00000008e+00 
 2.25000000e-03  2.25000000e-03  1.73434164e-01  1.00000000e+01  9.83746682e+00  1.73428731e-01  5.00000006e+00 
 2.75000000e-03  2.75000000e-03  2.22444454e-01  1.00000000e+01  9.87848066e+00  2.22437765e-01  5.00000008e+00 
 3.25000000e-03  3.25000000e-03  2.71210304e-01  1.00000000e+01  9.92063063e+00  2.71205096e-01  5.00000006e+00 
 3.75000000e-03  3.75000000e-03  3.19732933e-01  1.00000000e+01  9.96297601e+00  3.19726336e-01  5.00000008e+00 
 4.25000000e-03  4.25000000e-03  3.68013553e-01  1.00000000e+01  1.00051619e+01  3.68008385e-01  5.00000006e+00 
 4.75000000e-03  4.75000000e-03  4.16053373e-01  1.00000000e+01  1.00471015e+01  4.16046805e-01  5.00000008e+00 
 5.25000000e-03  5.25000000e-03  4.63853592e-01  1.00000000e+01  1.00887855e+01  4.63848448e-01  5.00000006e+00 
 5.75000000e-03  5.75000000e-03  5.11415406e-01  1.00000000e+01  1.01302064e+01  5.11408864e-01  5.00000008e+00 
 6.25000000e-03  6.25000000e-03  5.58740005e-01  1.00000000e+01  1.01713702e+01  5.58734885e-01  5.00000006e+00 
 6.75000000e-03  6.75000000e-03  6.05828570e-01  1.00000000e+01  1.02122729e+01  6.05822053e-01  5.00000008e+00 
 7.25000000e-03  7.25000000e-03  6.52682280e-01  1.00000000e+01  1.02529217e+01  6.52677184e-01  5.00000006e+00 
 7.75000000e-03  7.75000000e-03  6.99302305e-01  1.00000000e+01  1.02933121e+01  6.99295813e-01  5.00000008e+00 
 8.25000000e-03  8.25000000e-03  7.45689812e-01  1.00000000e+01  1.03334510e+01  7.45684739e-01  5.00000006e+00 
 8.75000000e-03  8.75000000e-03  7.91845960e-01  1.00000000e+01  1.03733344e+01  7.91839492e-01  5.00000008e+00 
 9.25000000e-03  9.25000000e-03  8.37771902e-01  1.00000000e+01  1.04129688e+01  8.37766852e-01  5.00000006e+00 
 9.75000000e-03  9.75000000e-03  8.83468787e-01  1.00000000e+01  1.04523498e+01  8.83462344e-01  5.00000008e+00 
 1.02500000e-02  1.02500000e-02  9.28937758e-01  1.00000000e+01  1.04914843e+01  9.28932731e-01  5.00000006e+00 
 1.07500000e-02  1.07500000e-02  9.74179951e-01  1.00000000e+01  1.05303686e+01  9.74173531e-01  5.00000008e+00 
 1.12500000e-02  1.12500000e-02  1.01919650e+00  1.00000000e+01  1.05690094e+01  1.01919149e+00  5.00000006e+00 
 1.17500000e-02  1.17500000e-02  1.06398852e+00  1.00000000e+01  1.06074021e+01  1.06398213e+00  5.00000008e+00 
 1.22500000e-02  1.22500000e-02  1.10855714e+00  1.00000000e+01  1.06455536e+01  1.10855216e+00  5.00000006e+00 
 1.27500000e-02  1.27500000e-02  1.15290348e+00  1.00000000e+01  1.06834598e+01  1.15289711e+00  5.00000008e+00 
 1.32500000e-02  1.32500000e-02  1.19702864e+00  1.00000000e+01  1.07211274e+01  1.19702368e+00  5.00000006e+00 
 1.37500000e-02  1.37500000e-02  1.24093372e+00  1.00000000e+01  1.07585525e+01  1.24092737e+00  5.00000008e+00 
 1.42500000e-02  1.42500000e-02  1.28461982e+00  1.00000000e+01  1.07957416e+01  1.28461488e+00  5.00000006e+00 
 1.47500000e-02  1.47500000e-02  1.32808804e+00  1.00000000e+01  1.08326904e+01  1.32808171e+00  5.00000008e+00 
 1.52500000e-02  1.52500000e-02  1.37133946e+00  1.00000000e+01  1.08694057e+01  1.37133454e+00  5.00000006e+00 
 1.57500000e-02  1.57500000e-02  1.41437516e+00  1.00000000e+01  1.09058833e+01  1.41436885e+00  5.00000008e+00 
 1.62500000e-02  1.62500000e-02  1.45719622e+00  1.00000000e+01  1.09421301e+01  1.45719132e+00  5.00000006e+00 
 1.67500000e-02  1.67500000e-02  1.49980371e+00  1.00000000e+01  1.09781416e+01  1.49979742e+00  5.00000008e+00 
 1.72500000e-02  1.72500000e-02  1.54219869e+00  1.00000000e+01  1.10139246e+01  1.54219381e+00  5.00000006e+00 
 1.77500000e-02  1.77500000e-02  1.58438222e+00  1.00000000e+01  1.10494748e+01  1.58437596e+00  5.00000008e+00 
 1.82500000e-02  1.82500000e-02  1.62635537e+00  1.00000000e+01  1.10847989e+01  1.62635051e+00  5.00000006e+00 
 1.87500000e-02  1.87500000e-02  1.66811917e+00  1.00000000e+01  1.11198929e+01  1.66811293e+00  5.00000008e+00 
 1.92500000e-02  1.92500000e-02  1.70967467e+00  1.00000000e+01  1.11547632e+01  1.70966983e+00  5.00000006e+00 
 1.97500000e-02  1.97500000e-02  1.75102291e+00  1.00000000e+01  1.11894051e+01  1.75101669e+00  5.00000007e+00 
 2.02500000e-02  2.02500000e-02  1.79216493e+00  1.00000000e+01  1.12238260e+01  1.79216011e+00  5.00000006e+00 
