 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)        
 0.00000000e+00  0.00000000e+00  5.00000000e+00  0.00000000e+00  1.52019570e+00  8.76891599e-01  3.08437585e+00  0.00000000e+00 
 1.00000000e-06  1.00000000e-06  5.00000000e+00  6.28318489e-05  1.52025807e+00  8.76891802e-01  3.08026409e+00 -4.11164003e-03 
 2.00000000e-06  2.00000000e-06  5.00000000e+00  1.25663673e-04  1.52032021e+00  8.76892208e-01  3.07611518e+00 -8.26030241e-03 
 4.00000000e-06  4.00000000e-06  5.00000000e+00  2.51327148e-04  1.52044406e+00  8.76893422e-01  3.06784092e+00 -1.65338057e-02 
 8.00000000e-06  8.00000000e-06  5.00000000e+00  5.02652708e-04  1.52068914e+00  8.76898250e-01  3.05153318e+00 -3.28385555e-02 
 1.60000000e-05  1.60000000e-05  5.00000000e+00  1.00529272e-03  1.52116902e+00  8.76917262e-01  3.01985358e+00 -6.45063534e-02 
 3.20000000e-05  3.20000000e-05  5.00000000e+00  2.01048383e-03  1.52208942e+00  8.76990844e-01  2.96025706e+00 -1.24057158e-01 
 6.40000000e-05  6.40000000e-05  5.00000000e+00  4.02015494e-03  1.52378625e+00  8.77265379e-01  2.85599572e+00 -2.28147738e-01 
 1.28000000e-04  1.28000000e-04  5.00000000e+00  8.03381001e-03  1.52670150e+00  8.78212636e-01  2.70270795e+00 -3.80844965e-01 
 2.28000000e-04  2.28000000e-04  5.00000000e+00  1.42767131e-02  1.53032253e+00  8.80350658e-01  2.57988993e+00 -5.02324852e-01 
 3.28000000e-04  3.28000000e-04  5.00000000e+00  2.04632726e-02  1.53317824e+00  8.82840635e-01  2.54878104e+00 -5.31866788e-01 
 4.28000000e-04  4.28000000e-04  5.00000000e+00  2.65690728e-02  1.53554595e+00  8.85351482e-01  2.56088188e+00 -5.18174973e-01 
 5.28000000e-04  5.28000000e-04  5.00000000e+00  3.25700171e-02  1.53756002e+00  8.87731508e-01  2.59217519e+00 -4.85361155e-01 
 6.28000000e-04  6.28000000e-04  5.00000000e+00  3.84424223e-02  1.53928495e+00  8.89917349e-01  2.63092304e+00 -4.45203359e-01 
 7.28000000e-04  7.28000000e-04  5.00000000e+00  4.41631129e-02  1.54075293e+00  8.91886552e-01  2.67227673e+00 -4.02565172e-01 
 8.28000000e-04  8.28000000e-04  5.00000000e+00  4.97095119e-02  1.54198234e+00  8.93633629e-01  2.71418883e+00 -3.59498432e-01 
 9.28000000e-04  9.28000000e-04  5.00000000e+00  5.50597301e-02  1.54298544e+00  8.95160253e-01  2.75577964e+00 -3.16882799e-01 
 1.02800000e-03  1.02800000e-03  5.00000000e+00  6.01926528e-02  1.54377132e+00  8.96471839e-01  2.79638126e+00 -2.75383800e-01 
 1.12800000e-03  1.12800000e-03  5.00000000e+00  6.50880225e-02  1.54434852e+00  8.97574006e-01  2.83655410e+00 -2.34438502e-01 
 1.22800000e-03  1.22800000e-03  5.00000000e+00  6.97265196e-02  1.54472523e+00  8.98472329e-01  2.87573339e+00 -1.94609148e-01 
 1.32800000e-03  1.32800000e-03  5.00000000e+00  7.40898379e-02  1.54490867e+00  8.99173698e-01  2.91391828e+00 -1.55893188e-01 
 1.42800000e-03  1.42800000e-03  5.00000000e+00  7.81607575e-02  1.54490611e+00  8.99684938e-01  2.95110871e+00 -1.18287333e-01 
 1.52800000e-03  1.52800000e-03  5.00000000e+00  8.19232123e-02  1.54472486e+00  9.00012833e-01  2.98729164e+00 -8.18012362e-02 
 1.62800000e-03  1.62800000e-03  5.00000000e+00  8.53623536e-02  1.54437236e+00  9.00164165e-01  3.02245498e+00 -4.64435915e-02 
 1.72800000e-03  1.72800000e-03  5.00000000e+00  8.84646086e-02  1.54385616e+00  9.00145729e-01  3.05657484e+00 -1.22348246e-02 
 1.82800000e-03  1.82800000e-03  5.00000000e+00  9.12177343e-02  1.54318397e+00  8.99964366e-01  3.08962964e+00  2.08069854e-02 
 1.92800000e-03  1.92800000e-03  5.00000000e+00  9.36108653e-02  1.54236365e+00  8.99626976e-01  3.12158756e+00  5.26536088e-02 
 2.02800000e-03  2.02800000e-03  5.00000000e+00  9.56345569e-02  1.54140322e+00  8.99140535e-01  3.15242049e+00  8.32805795e-02 
 2.12800000e-03  2.12800000e-03  5.00000000e+00  9.72808227e-02  1.54031089e+00  8.98512106e-01  3.18209152e+00  1.12654733e-01 
 2.22800000e-03  2.22800000e-03  5.00000000e+00  9.85431655e-02  1.53909503e+00  8.97748848e-01  3.21056863e+00  1.40747899e-01 
 2.32800000e-03  2.32800000e-03  5.00000000e+00  9.94166034e-02  1.53776417e+00  8.96858022e-01  3.23781225e+00  1.67524438e-01 
 2.42800000e-03  2.42800000e-03  5.00000000e+00  9.98976894e-02  1.53632725e+00  8.95846599e-01  3.26395056e+00  1.93116328e-01 
 2.52800000e-03  2.52800000e-03  5.00000000e+00  9.99845249e-02  1.53479297e+00  8.94722230e-01  3.28854785e+00  2.17092090e-01 
 2.62800000e-03  2.62800000e-03  5.00000000e+00  9.96767671e-02  1.53317001e+00  8.93492981e-01  3.31183481e+00  2.39686954e-01 
