time,v(N001),v(N002),v(N004)
0.0,5.0,5.0,0.702803197
1e-06,5.0,5.0,0.702803114
2e-06,5.0,5.0,0.702803114
4e-06,5.0,5.0,0.702803114
8e-06,5.0,5.0,0.702803114
1.6e-05,5.0,5.0,0.702803114
3.2e-05,5.0,5.0,0.702803114
6.4e-05,5.0,5.0,0.702803114
0.000128,5.0,5.0,0.702803114
0.000228,5.0,5.0,0.702803114
0.000328,5.0,5.0,0.702803114
0.000428,5.0,5.0,0.702803114
0.000528,5.0,5.0,0.702803114
0.000628,5.0,5.0,0.702803114
0.000728,5.0,5.0,0.702803114
0.000828,5.0,5.0,0.702803114
0.000928,5.0,5.0,0.702803114
0.001028,5.0,5.0,0.702803114
0.001128,5.0,5.0,0.702803114
0.001228,5.0,5.0,0.702803114
0.001328,5.0,5.0,0.702803114
0.001428,5.0,5.0,0.702803114
0.001528,5.0,5.0,0.702803114
0.001628,5.0,5.0,0.702803114
0.001728,5.0,5.0,0.702803114
0.001828,5.0,5.0,0.702803114
0.001928,5.0,5.0,0.702803114
0.002028,5.0,5.0,0.702803114
0.002128,5.0,5.0,0.702803114
0.002228,5.0,5.0,0.702803114
0.002328,5.0,5.0,0.702803114
0.002428,5.0,5.0,0.702803114
0.002528,5.0,5.0,0.702803114
0.002628,5.0,5.0,0.702803114
0.002728,5.0,5.0,0.702803114
0.002828,5.0,5.0,0.702803114
0.002928,5.0,5.0,0.702803114
0.003028,5.0,5.0,0.702803114
0.003128,5.0,5.0,0.702803114
0.003228,5.0,5.0,0.702803114
0.003328,5.0,5.0,0.702803114
0.003428,5.0,5.0,0.702803114
0.003528,5.0,5.0,0.702803114
0.003628,5.0,5.0,0.702803114
0.003728,5.0,5.0,0.702803114
0.003828,5.0,5.0,0.702803114
0.003928,5.0,5.0,0.702803114
0.004028,5.0,5.0,0.702803114
0.004128,5.0,5.0,0.702803114
0.004228,5.0,5.0,0.702803114
0.004328,5.0,5.0,0.702803114
0.004428,5.0,5.0,0.702803114
0.004528,5.0,5.0,0.702803114
0.004628,5.0,5.0,0.702803114
0.004728,5.0,5.0,0.702803114
0.004828,5.0,5.0,0.702803114
0.004928,5.0,5.0,0.702803114
0.005028,5.0,5.0,0.702803114
0.005128,5.0,5.0,0.702803114
0.005228,5.0,5.0,0.702803114
0.005328,5.0,5.0,0.702803114
0.005428,5.0,5.0,0.702803114
0.005528,5.0,5.0,0.702803114
0.005628,5.0,5.0,0.702803114
0.005728,5.0,5.0,0.702803114
0.005828,5.0,5.0,0.702803114
0.005928,5.0,5.0,0.702803114
0.006028,5.0,5.0,0.702803114
0.006128,5.0,5.0,0.702803114
0.006228,5.0,5.0,0.702803114
0.006328,5.0,5.0,0.702803114
0.006428,5.0,5.0,0.702803114
0.006528,5.0,5.0,0.702803114
0.006628,5.0,5.0,0.702803114
0.006728,5.0,5.0,0.702803114
0.006828,5.0,5.0,0.702803114
0.006928,5.0,5.0,0.702803114
0.007028,5.0,5.0,0.702803114
0.007128,5.0,5.0,0.702803114
0.007228,5.0,5.0,0.702803114
0.007328,5.0,5.0,0.702803114
0.007428,5.0,5.0,0.702803114
0.007528,5.0,5.0,0.702803114
0.007628,5.0,5.0,0.702803114
0.007728,5.0,5.0,0.702803114
0.007828,5.0,5.0,0.702803114
0.007928,5.0,5.0,0.702803114
0.008028,5.0,5.0,0.702803114
0.008128,5.0,5.0,0.702803114
0.008228,5.0,5.0,0.702803114
0.008328,5.0,5.0,0.702803114
0.008428,5.0,5.0,0.702803114
