time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.0,-8.75040601e-29,0.0,5.07072184e-19,-2.81919021e-28,-1.14669738e-28
5e-06,1.25544161e-06,0.025,0.000246007525,0.000245846217,0.0124969176
5.42122786e-06,1.37008407e-06,0.0271061393,0.000249240071,0.000249071856,0.013549948
6.26368358e-06,1.61711337e-06,0.0313184179,0.000250625336,0.000250444542,0.0156560731
7.94859502e-06,2.2176253e-06,0.0397429751,0.000250322251,0.000250110929,0.0198683635
1.13184179e-05,3.84444545e-06,0.0565920895,0.00025229791,0.000251992146,0.0282929175
1.80580636e-05,8.80118384e-06,0.0902903182,0.000255122106,0.000254320119,0.0451420651
3.15373551e-05,2.55264786e-05,0.157686776,0.000278900602,0.000268911933,0.0788403219
5.84959381e-05,8.62208263e-05,0.292479691,0.00305191227,0.000339964124,0.14623685
8.62967924e-05,0.000186867953,0.431483962,0.0638679145,0.000749043897,0.215739062
0.00011308199,0.000320382354,0.565409949,0.192358363,0.000958187041,0.282702071
0.000153564037,0.000590166958,0.767820186,0.399405984,0.00115410836,0.383907281
0.000194569087,0.000946836687,0.972845435,0.603832031,0.00151478448,0.486419954
0.000276579187,0.00191183638,1.38289593,1.01757427,0.00242196867,0.691445338
0.000440599386,0.00484745189,2.20299693,1.83939714,0.00532477786,1.10149599
0.000720299693,0.0129407294,3.60149847,3.24273637,0.0133507531,1.80074699
0.001,0.0249174988,5.0,4.64091552,0.0253104129,2.49999788
0.00105,0.0274038047,5.0,4.68591096,0.0274387762,2.50000004
0.00115,0.0323739236,5.0,4.7375043,0.0323734789,2.50000005
0.00135,0.0422992495,5.0,4.75734888,0.0422975784,2.50000004
0.00175,0.0620904652,5.0,4.78189802,0.0620867257,2.50000005
0.00225,0.0867184355,5.0,4.80544735,0.0867155523,2.50000004
0.00275,0.111223573,5.0,4.82836304,0.111219765,2.50000005
0.00325,0.13560649,5.0,4.85075562,0.135603555,2.50000004
0.00375,0.159867797,5.0,4.87280702,0.15986397,2.50000005
0.00425,0.1840081,5.0,4.89462615,0.184005162,2.50000004
0.00475,0.208028002,5.0,4.9162653,0.208024184,2.50000005
0.00525,0.231928104,5.0,4.93775481,0.231925179,2.50000004
0.00575,0.255709003,5.0,4.9591037,0.255705201,2.50000005
0.00625,0.279371295,5.0,4.98032163,0.279368386,2.50000004
0.00675,0.30291557,5.0,5.001408,0.302911785,2.50000005
0.00725,0.326342418,5.0,5.02236811,0.326339524,2.50000004
0.00775,0.349652423,5.0,5.04319957,0.349648654,2.50000005
0.00825,0.372846169,5.0,5.06390696,0.372843292,2.50000003
0.00875,0.395924236,5.0,5.08448728,0.395920483,2.50000005
0.00925,0.4188872,5.0,5.10494474,0.418884338,2.50000003
0.00975,0.441735635,5.0,5.12527653,0.441731899,2.50000005
0.01025,0.464470114,5.0,5.14548691,0.464467267,2.50000003
0.01075,0.487091203,5.0,5.16557295,0.487087483,2.50000005
0.01125,0.509599469,5.0,5.18553863,0.509596637,2.50000003
0.01175,0.531995474,5.0,5.20538132,0.531991771,2.50000005
0.01225,0.554279779,5.0,5.2251052,0.554276962,2.50000003
0.01275,0.57645294,5.0,5.24470716,0.576449252,2.50000004
0.01325,0.598515511,5.0,5.2641915,0.598512709,2.50000003
0.01375,0.620468045,5.0,5.28355531,0.620464373,2.50000004
0.01425,0.64231109,5.0,5.30280261,0.642308303,2.50000003
0.01475,0.664045192,5.0,5.32193053,0.664041536,2.50000004
0.01525,0.685670895,5.0,5.34094306,0.685668122,2.50000003
0.01575,0.707188738,5.0,5.35983747,0.707185098,2.50000004
0.01625,0.728599261,5.0,5.37861784,0.728596503,2.50000003
0.01675,0.749902998,5.0,5.39728117,0.749899373,2.50000004
0.01725,0.771100482,5.0,5.41583162,0.771097739,2.50000003
0.01775,0.792192243,5.0,5.43426633,0.792188633,2.50000004
0.01825,0.813178809,5.0,5.45258951,0.813176079,2.50000003
0.01875,0.834060703,5.0,5.47079816,0.834057108,2.50000004
0.01925,0.854838448,5.0,5.48889622,0.854835732,2.50000003
0.01975,0.875512563,5.0,5.50688083,0.875508983,2.50000004
0.02025,0.896083566,5.0,5.52475612,0.896080864,2.50000003
0.02075,0.91655197,5.0,5.54251918,0.916548405,2.50000004
0.02125,0.936918287,5.0,5.560174,0.936915599,2.50000003
0.02175,0.957183027,5.0,5.57771778,0.957179476,2.50000004
0.02225,0.977346696,5.0,5.5951546,0.977344021,2.50000003
0.02275,0.997409797,5.0,5.61248139,0.997406261,2.50000004
0.02325,1.01737283,5.0,5.62970216,1.01737017,2.50000003
0.02375,1.0372363,5.0,5.64681419,1.03723278,2.50000004
0.02425,1.0570007,5.0,5.66382144,1.05699806,2.50000003
0.02475,1.07666653,5.0,5.68072087,1.07666302,2.50000004
0.02525,1.09623427,5.0,5.69751656,1.09623163,2.50000003
0.02575,1.11570442,5.0,5.71420565,1.11570092,2.50000004
0.02625,1.13507746,5.0,5.73079215,1.13507483,2.50000003
0.02675,1.15435387,5.0,5.74727307,1.15435039,2.50000004
0.02725,1.17353414,5.0,5.76365252,1.17353153,2.50000003
0.02775,1.19261875,5.0,5.77992764,1.19261529,2.50000004
0.02825,1.21160818,5.0,5.79610223,1.21160558,2.50000003
0.02875,1.2305029,5.0,5.81217337,1.23049944,2.50000004
0.02925,1.24930337,5.0,5.82814506,1.24930079,2.50000003
0.02975,1.26801008,5.0,5.84401438,1.26800664,2.50000004
0.03025,1.28662349,5.0,5.85978542,1.28662092,2.50000003
0.03075,1.30514407,5.0,5.87545531,1.30514064,2.50000004
0.03125,1.32357227,5.0,5.89102782,1.32356971,2.50000003
0.03175,1.34190856,5.0,5.90650001,1.34190515,2.50000004
0.03225,1.3601534,5.0,5.92187604,1.36015085,2.50000003
0.03275,1.37830724,5.0,5.93715292,1.37830384,2.50000004
0.03325,1.39637054,5.0,5.95233446,1.396368,2.50000003
0.03375,1.41434375,5.0,5.96741765,1.41434036,2.50000004
0.03425,1.43222731,5.0,5.98240652,1.43222479,2.50000003
0.03475,1.45002168,5.0,5.99729826,1.45001831,2.50000004
0.03525,1.4677273,5.0,6.01209677,1.46772479,2.50000003
0.03575,1.48534462,5.0,6.02679906,1.48534125,2.50000004
0.03625,1.50287406,5.0,6.04140897,1.50287156,2.50000003
0.03675,1.52031608,5.0,6.05592371,1.52031273,2.50000004
0.03725,1.53767111,5.0,6.07034726,1.53766861,2.50000003
0.03775,1.55493957,5.0,6.08467649,1.55493623,2.50000004
0.03825,1.57212191,5.0,6.0989153,1.57211943,2.50000003
0.03875,1.58921856,5.0,6.1130608,1.58921523,2.50000004
0.03925,1.60622993,5.0,6.12711688,1.60622746,2.50000003
0.03975,1.62315646,5.0,6.14108073,1.62315314,2.50000004
0.04025,1.63999856,5.0,6.15495612,1.6399961,2.50000003
0.04075,1.65675667,5.0,6.16874015,1.65675336,2.50000004
0.04125,1.67343119,5.0,6.18243673,1.67342874,2.50000003
0.04175,1.69002255,5.0,6.1960429,1.69001926,2.50000004
0.04225,1.70653116,5.0,6.20956247,1.70652872,2.50000003
0.04275,1.72295743,5.0,6.22299248,1.72295415,2.50000004
0.04325,1.73930178,5.0,6.23633689,1.73929934,2.50000003
0.04375,1.75556461,5.0,6.24959269,1.75556133,2.50000004
0.04425,1.77174632,5.0,6.26276359,1.7717439,2.50000003
0.04475,1.78784733,5.0,6.27584674,1.78784407,2.50000004
0.04525,1.80386804,5.0,6.28884608,1.80386562,2.50000003
0.04575,1.81980884,5.0,6.30175866,1.81980558,2.50000004
0.04625,1.83567013,5.0,6.31458825,1.83566773,2.50000003
0.04675,1.85145232,5.0,6.32733203,1.85144908,2.50000004
0.04725,1.86715579,5.0,6.33999388,1.8671534,2.50000003
0.04775,1.88278095,5.0,6.35257068,1.88277771,2.50000004
0.04825,1.89832817,5.0,6.36506623,1.89832578,2.50000003
0.04875,1.91379785,5.0,6.37747765,1.91379462,2.50000004
0.04925,1.92919037,5.0,6.38980874,1.92918799,2.50000003
0.04975,1.94450612,5.0,6.40205655,1.94450291,2.50000004
0.05025,1.95974549,5.0,6.41422479,1.95974311,2.50000003
0.050625,1.9711251,5.0,6.42329649,1.97112189,2.50000004
0.051,1.98246212,5.0,6.43232472,1.98245975,2.50000003
0.0510259527,1.98321135,4.87023651,6.43269478,1.98299151,2.43512103
0.0510778581,1.9846421,4.61070954,6.43379319,1.98441651,2.30535761
0.0511816689,1.98709744,4.0916556,6.43557308,1.9868699,2.04583066
0.0513203449,1.98953333,3.39827573,6.41901822,1.98923709,1.6991416
0.0514770584,1.99111392,2.61470795,2.0122691,1.95770308,1.34361494
0.0515912642,1.99145774,2.04367905,1.39977555,1.86110081,1.20493796
0.0516981797,1.991067,1.50910143,0.893894786,1.45228465,0.820846659
0.05184177,1.98936942,0.791150216,0.431006882,1.00779083,0.407948567
0.051920885,1.98788238,0.395575108,0.235649146,0.817328163,0.212518421
0.052,1.98601631,0.0,0.0402049675,0.625869331,0.0171412371
0.052015823,1.98560527,0.0,0.0402428376,0.625587634,0.0171396162
0.052047469,1.98478338,0.0,0.0402374159,0.625557691,0.0171296357
0.052110761,1.98314071,0.0,0.0402132043,0.625509244,0.0171095445
0.0522174882,1.98037412,0.0,0.0401833226,0.625420131,0.0170758016
0.0524309426,1.97485364,0.0,0.0401116259,0.625250363,0.0170083692
0.0528578513,1.96386328,0.0,0.0399809051,0.624903286,0.0168742373
0.0533578513,1.95107661,0.0,0.0398201679,0.624503028,0.0167181376
0.0538578513,1.93838141,0.0,0.0396686351,0.624097678,0.0165632549
0.0543578513,1.92577702,0.0,0.0395101251,0.623698578,0.0164094378
0.0548578513,1.91326279,0.0,0.0393609224,0.623294573,0.0162568187
0.0553578513,1.90083807,0.0,0.0392045969,0.622896881,0.0161052481
0.0558578513,1.88850221,0.0,0.0390576935,0.62249417,0.0159548607
0.0563578513,1.87625457,0.0,0.0389035194,0.622097832,0.0158055047
0.0568578513,1.86409452,0.0,0.0387588849,0.621696359,0.0156573173
0.0573578513,1.85202142,0.0,0.0386068293,0.621301324,0.0155101445
0.0578578513,1.84003465,0.0,0.0384644339,0.620901035,0.0153641259
0.0583578513,1.82813358,0.0,0.0383144642,0.620507248,0.0152191055
0.0588578513,1.8163176,0.0,0.0381742787,0.620108088,0.0150752251
0.0593578513,1.8045861,0.0,0.038026363,0.619715498,0.0149323264
0.0598578513,1.79293846,0.0,0.0378883583,0.619317412,0.014790554
0.0603578513,1.78137408,0.0,0.0377424651,0.618925965,0.0146497472
0.0608578513,1.76989236,0.0,0.037606613,0.618528898,0.0145100529
0.0613578513,1.7584927,0.0,0.0374627109,0.61813854,0.0143713082
0.0618578513,1.74717452,0.0,0.0373289835,0.617742436,0.0142336628
0.0623578513,1.73593722,0.0,0.0371870417,0.617353115,0.0140969512
0.0628578513,1.72478023,0.0,0.0370554117,0.616957919,0.0139613257
0.0633578513,1.71370295,0.0,0.0369153998,0.61656958,0.0138266184
0.0638578513,1.70270482,0.0,0.0367858401,0.616175235,0.0136929843
0.0643578513,1.69178527,0.0,0.036647728,0.615787825,0.013560253
0.0648578513,1.68094373,0.0,0.0365202123,0.615394276,0.0134285823
0.0653578513,1.67017964,0.0,0.0363839702,0.615007739,0.0132977992
0.0658578513,1.65949244,0.0,0.0362584725,0.614614929,0.0131680641
0.0663578513,1.64888157,0.0,0.0361240712,0.614229212,0.0130392017
0.0668578513,1.63834648,0.0,0.0360005659,0.613837084,0.0129113751
0.0673578513,1.62788663,0.0,0.0358679764,0.613452132,0.0127844063
0.0678578513,1.61750148,0.0,0.0357464385,0.613060627,0.0126584613
0.0683578513,1.60719048,0.0,0.035615632,0.612676384,0.0125333594
0.0688578513,1.5969531,0.0,0.0354960369,0.612285446,0.0124092697
0.0693578513,1.58678881,0.0,0.0353669852,0.611901857,0.0122860085
0.0698578513,1.57669708,0.0,0.0352493088,0.611511426,0.0121637479
0.0703578513,1.56667739,0.0,0.0351219839,0.611128434,0.0120423014
0.0708578513,1.55672922,0.0,0.0350062024,0.610738452,0.0119218444
0.0713578513,1.54685205,0.0,0.0348805765,0.610356,0.0118021872
0.0718578513,1.53704537,0.0,0.0347666668,0.609966407,0.0116835084
0.0723578513,1.52730867,0.0,0.0346427127,0.609584439,0.0115656155
0.0728578513,1.51764144,0.0,0.0345306519,0.609195174,0.01144869
0.0733578513,1.50804319,0.0,0.0344083424,0.608813632,0.0113325365
0.0738578513,1.49851342,0.0,0.0342981082,0.608424635,0.0112173399
0.0743578513,1.48905163,0.0,0.0341774167,0.608043459,0.0111029015
0.0748578513,1.47965733,0.0,0.0340689872,0.607654668,0.0109894096
0.0753578513,1.47033003,0.0,0.033949887,0.6072738,0.0108766623
0.0758578513,1.46106926,0.0,0.0338432408,0.606885152,0.0107648513
0.0763578513,1.45187452,0.0,0.0337257059,0.606504533,0.0106537715
0.0768578513,1.44274535,0.0,0.0336208219,0.606115964,0.010543618
0.0773578513,1.43368126,0.0,0.0335048262,0.605735532,0.0104341823
