time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008)
0.0,0.0,3.66400021,3.02445816,6.76332305,0.0,0.0,12.0,0.0
1e-06,3.6103002e-05,3.66403629,3.02445817,6.7592554,-0.00406760478,6.28318489e-05,12.0,0.0
2e-06,8.29012727e-05,3.66408305,3.02445819,6.75392555,-0.00939736619,0.000125663673,12.0,0.0
4e-06,0.000182951054,3.66418298,3.02445827,6.74245769,-0.0208649183,0.000251327148,12.0,0.0
8e-06,0.000390312131,3.66438998,3.02445859,6.71856221,-0.0447590894,0.000502652708,12.0,0.0
1.6e-05,0.000800948889,3.66479935,3.02445996,6.67090078,-0.0924150272,0.00100529272,12.0,0.0
3.2e-05,0.001622878,3.66561655,3.02446557,6.57404241,-0.189250864,0.00201048383,12.0,0.0
6.4e-05,0.00325653548,3.66723179,3.02448852,6.37591752,-0.387283516,0.00402015494,12.0,0.0
0.000128,0.00649316867,3.67039468,3.0245831,5.96211182,-0.800709053,0.00803381001,12.0,0.0
0.000228,0.0114591958,3.6751428,3.02486731,5.27776759,-1.48391097,0.0142767131,12.0,0.0
0.000328,0.0163169143,3.67965233,3.02532534,4.5623947,-2.19744319,0.0204632726,12.0,0.0
0.000428,0.0210673367,3.68392034,3.02596227,3.83642286,-2.92085588,0.0265690728,12.0,0.0
0.000528,0.0254474086,3.6876692,3.02676906,3.19444799,-3.55959052,0.0325700171,12.0,0.0
0.000608619392,0.0273733927,3.68890731,3.02748979,3.14382809,-3.60732147,0.0373154542,12.0,0.0
0.000689405388,0.0293481623,3.68997047,3.02822023,3.13025875,-3.61797229,0.0419746658,12.0,0.0
0.000789405388,0.0320283048,3.69124115,3.02912973,3.11870089,-3.62590821,0.0475909653,12.0,0.0
0.000889405388,0.0348965486,3.69242512,3.03004317,3.11545574,-3.62552765,0.053019445,12.0,0.0
0.000989405388,0.0379685636,3.69357748,3.03095916,3.11194367,-3.62541424,0.0582386812,12.0,0.0
0.00108940539,0.0411825099,3.69467565,3.03187714,3.11015,-3.62358341,0.0632280759,12.0,0.0
0.00118940539,0.0445231661,3.69574178,3.03279646,3.10890482,-3.6212062,0.0679679383,12.0,0.0
0.00128940539,0.0479395114,3.69676089,3.03371657,3.10847565,-3.61801576,0.0724395623,12.0,0.0
0.00138940539,0.0514154929,3.69775138,3.034637,3.10840312,-3.61447205,0.0766253004,12.0,0.0
0.00148940539,0.054903597,3.69869874,3.0355573,3.10891178,-3.61035097,0.0805086335,12.0,0.0
0.00158940539,0.0583894645,3.69962012,3.03647705,3.10968636,-3.60596823,0.0840742358,12.0,0.0
0.00168940539,0.0618287651,3.70050121,3.03739587,3.11095912,-3.60109194,0.0873080354,12.0,0.0
0.00178940539,0.0652092838,3.70135837,3.03831337,3.11248165,-3.59597088,0.0901972702,12.0,0.0
0.00188940539,0.0684897715,3.70217742,3.03922918,3.11450552,-3.59035385,0.0927305375,12.0,0.0
0.00198940539,0.0716603875,3.70297413,3.04014297,3.11682527,-3.5844467,0.0948978398,12.0,0.0
0.00208940539,0.0746828419,3.70373432,3.04105438,3.11973676,-3.57795401,0.0966906236,12.0,0.0
0.00218940539,0.0775497877,3.70447327,3.04196306,3.12308221,-3.57103407,0.0981018138,12.0,0.0
0.00228940539,0.0802256656,3.70517654,3.04286864,3.12726144,-3.56328767,0.0991258409,12.0,0.0
0.00238940539,0.0827055269,3.70585874,3.04377074,3.13222746,-3.55476263,0.0997586636,12.0,0.0
0.00248940539,0.0849558411,3.7065043,3.04466889,3.13867652,-3.54476381,0.0999977844,12.0,0.0
0.00258940539,0.0869729485,3.70712584,3.04556251,3.14701508,-3.53288642,0.0998422596,12.0,0.0
0.00268940539,0.0887080536,3.70768825,3.04645035,3.16265123,-3.51372696,0.0992927031,12.0,0.0
0.00278940539,0.0901410772,3.70818153,3.04732971,3.19188562,-3.48099522,0.0983512836,12.0,0.0
0.00288940539,0.0903200051,3.70761486,3.04816699,3.48315766,-3.18638948,0.0970217165,12.0,0.0
0.00298940539,0.0894632634,3.70613074,3.04890803,3.95744968,-2.7091497,0.0953092491,12.0,0.0
0.00308940539,0.0882133644,3.70433817,3.04953007,4.43642363,-2.22770732,0.0932206396,12.0,0.0
0.00318940539,0.0866140891,3.70228103,3.05003387,4.90529539,-1.75684328,0.0907641308,12.0,0.0
