 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)        
 0.00000000e+00  0.00000000e+00  0.00000000e+00  3.66400000e+00  3.02445819e+00  6.76332296e+00  0.00000000e+00  0.00000000e+00  1.20000000e+01  0.00000000e+00 
 1.00000000e-06  1.00000000e-06  6.27690798e-07  3.66400000e+00  3.02445819e+00  6.76332296e+00  1.32995837e-11  6.28318489e-04  1.20000000e+01  0.00000000e+00 
 2.00000000e-06  2.00000000e-06  1.88244508e-06  3.66400000e+00  3.02445819e+00  6.76332296e+00  1.32995837e-11  1.25663673e-03  1.20000000e+01  0.00000000e+00 
 4.00000000e-06  4.00000000e-06  5.64482602e-06  3.66400000e+00  3.02445819e+00  6.76332296e+00  1.34132705e-11  2.51327148e-03  1.20000000e+01  0.00000000e+00 
 8.00000000e-06  8.00000000e-06  2.06717899e-05  3.66400000e+00  3.02445819e+00  6.76332296e+00  2.59197108e-11  5.02652708e-03  1.20000000e+01  0.00000000e+00 
 1.60000000e-05  1.60000000e-05  8.05845814e-05  3.66400000e+00  3.02445819e+00  6.76332296e+00 -1.48379087e-11  1.00529272e-02  1.20000000e+01  0.00000000e+00 
 3.20000000e-05  3.20000000e-05  3.18652806e-04  3.66400000e+00  3.02445819e+00  6.76332296e+00  4.60342875e-12  2.01048383e-02  1.20000000e+01  0.00000000e+00 
 6.40000000e-05  6.40000000e-05  1.25832339e-03  3.66400000e+00  3.02445819e+00  6.76332296e+00 -3.52429197e-12  4.02015494e-02  1.20000000e+01  0.00000000e+00 
 1.28000000e-04  1.28000000e-04  4.91795138e-03  3.66400000e+00  3.02445819e+00  6.76332296e+00  2.73026046e-12  8.03381001e-02  1.20000000e+01  0.00000000e+00 
 2.28000000e-04  2.28000000e-04  1.50736337e-02  3.66400000e+00  3.02445819e+00  6.76332296e+00  9.08606523e-13  1.42767131e-01  1.20000000e+01  0.00000000e+00 
 3.28000000e-04  3.28000000e-04  3.01808998e-02  3.66400000e+00  3.02445819e+00  6.76332296e+00 -2.66453526e-15  2.04632726e-01  1.20000000e+01  0.00000000e+00 
 4.28000000e-04  4.28000000e-04  4.97028834e-02  3.66400000e+00  3.02445819e+00  6.76332296e+00  6.20836715e-13  2.65690728e-01  1.20000000e+01  0.00000000e+00 
 5.28000000e-04  5.28000000e-04  7.31307468e-02  3.66400000e+00  3.02445819e+00  6.76332296e+00 -3.45501405e-13  3.25700171e-01  1.20000000e+01  0.00000000e+00 
 6.28000000e-04  6.28000000e-04  9.99813611e-02  3.66400000e+00  3.02445819e+00  6.76332296e+00  2.23820962e-13  3.84424223e-01  1.20000000e+01  0.00000000e+00 
 7.28000000e-04  7.28000000e-04  1.29795296e-01  3.66400000e+00  3.02445819e+00  6.76332296e+00 -8.56203997e-13  4.41631129e-01  1.20000000e+01  0.00000000e+00 
 8.28000000e-04  8.28000000e-04  1.62135089e-01  3.66400000e+00  3.02445819e+00  6.76332296e+00  5.41788836e-14  4.97095119e-01  1.20000000e+01  0.00000000e+00 
 9.28000000e-04  9.28000000e-04  1.96583767e-01  3.66400000e+00  3.02445819e+00  6.76332296e+00 -4.56523708e-13  5.50597301e-01  1.20000000e+01  0.00000000e+00 
 1.02800000e-03  1.02800000e-03  2.32743591e-01  3.66400000e+00  3.02445819e+00  6.76332296e+00  6.24389429e-13  6.01926528e-01  1.20000000e+01  0.00000000e+00 
 1.12800000e-03  1.12800000e-03  2.70234999e-01  3.66400000e+00  3.02445819e+00  6.76332296e+00 -5.14255305e-13  6.50880225e-01  1.20000000e+01  0.00000000e+00 
 1.22800000e-03  1.22800000e-03  3.08695733e-01  3.66400000e+00  3.02445819e+00  6.76332296e+00  2.22932783e-13  6.97265196e-01  1.20000000e+01  0.00000000e+00 
 1.32800000e-03  1.32800000e-03  3.47780119e-01  3.66400000e+00  3.02445819e+00  6.76332296e+00 -8.56203997e-13  7.40898379e-01  1.20000000e+01  0.00000000e+00 
 1.42800000e-03  1.42800000e-03  3.87158487e-01  3.66400000e+00  3.02445819e+00  6.76332296e+00  5.41788836e-14  7.81607575e-01  1.20000000e+01  0.00000000e+00 
 1.52800000e-03  1.52800000e-03  4.26516712e-01  3.66400000e+00  3.02445819e+00  6.76332296e+00 -3.99680289e-13  8.19232123e-01  1.20000000e+01  0.00000000e+00 
 1.62800000e-03  1.62800000e-03  4.65555866e-01  3.66400000e+00  3.02445819e+00  6.76332296e+00  5.67546010e-13  8.53623536e-01  1.20000000e+01  0.00000000e+00 
 1.72800000e-03  1.72800000e-03  5.03991956e-01  3.66400000e+00  3.02445819e+00  6.76332296e+00 -4.57411886e-13  8.84646086e-01  1.20000000e+01  0.00000000e+00 
 1.82800000e-03  1.82800000e-03  5.41555742e-01  3.66400000e+00  3.02445819e+00  6.76332296e+00  2.79776202e-13  9.12177343e-01  1.20000000e+01  0.00000000e+00 
