time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.0,-8.75040601e-29,0.0,5.07072184e-19,-2.81919021e-28,-1.14669738e-28
5e-06,2.51083814e-06,0.05,0.000490061074,0.000489689293,0.0249938604
5.42122797e-06,2.74011914e-06,0.0542122797,0.000496428353,0.000496039073,0.0270999231
6.26368392e-06,3.23416956e-06,0.0626368392,0.000499023861,0.000498600133,0.0313121768
7.94859582e-06,4.43517581e-06,0.0794859582,0.00049827455,0.000497754836,0.0397367621
1.13184196e-05,7.68875473e-06,0.113184196,0.000499229766,0.000498181263,0.0565859169
1.80580672e-05,1.76020443e-05,0.180580672,0.000513611758,0.000501802776,0.0902842369
2.94027289e-05,4.4544839e-05,0.294027289,0.00182471831,0.000539020851,0.147007639
4.16374827e-05,8.8033975e-05,0.416374827,0.039593297,0.00101985538,0.208181604
5.31439233e-05,0.000142609151,0.531439233,0.138791613,0.00147439121,0.265713798
7.178211e-05,0.000259094422,0.7178211,0.331819802,0.00138221429,0.358904857
8.99158506e-05,0.000405736843,0.899158506,0.511295491,0.00156781494,0.449573715
0.000126183332,0.000797567109,1.26183332,0.878122428,0.00183866945,0.630911277
0.000198718294,0.00197522808,1.98718294,1.60463106,0.00295719623,0.993586471
0.000343788218,0.00590517279,3.43788218,3.06104525,0.00673597048,1.71893649
0.000633928067,0.0200522678,6.33928067,5.96296896,0.0207969414,3.16963634
0.001,0.0498322779,10.0,9.62470592,0.0505001602,4.99999633
0.00105,0.0548048828,10.0,9.68102879,0.0548374914,5.00000006
0.00115,0.0647451139,10.0,9.74362225,0.0647393185,5.00000008
0.00135,0.0845957683,10.0,9.76547281,0.0845912164,5.00000006
0.00175,0.12417821,10.0,9.80039829,0.124170886,5.00000008
0.00225,0.173434164,10.0,9.83746682,0.173428731,5.00000006
0.00275,0.222444454,10.0,9.87848066,0.222437765,5.00000008
0.00325,0.271210304,10.0,9.92063063,0.271205096,5.00000006
0.00375,0.319732933,10.0,9.96297601,0.319726336,5.00000008
0.00425,0.368013553,10.0,10.0051619,0.368008385,5.00000006
0.00475,0.416053373,10.0,10.0471015,0.416046805,5.00000008
0.00525,0.463853592,10.0,10.0887855,0.463848448,5.00000006
0.00575,0.511415406,10.0,10.1302064,0.511408864,5.00000008
0.00625,0.558740005,10.0,10.1713702,0.558734885,5.00000006
0.00675,0.60582857,10.0,10.2122729,0.605822053,5.00000008
0.00725,0.65268228,10.0,10.2529217,0.652677184,5.00000006
0.00775,0.699302305,10.0,10.2933121,0.699295813,5.00000008
0.00825,0.745689812,10.0,10.333451,0.745684739,5.00000006
0.00875,0.79184596,10.0,10.3733344,0.791839492,5.00000008
0.00925,0.837771902,10.0,10.4129688,0.837766852,5.00000006
0.00975,0.883468787,10.0,10.4523498,0.883462344,5.00000008
0.01025,0.928937758,10.0,10.4914843,0.928932731,5.00000006
0.01075,0.974179951,10.0,10.5303686,0.974173531,5.00000008
0.01125,1.0191965,10.0,10.5690094,1.01919149,5.00000006
0.01175,1.06398852,10.0,10.6074021,1.06398213,5.00000008
0.01225,1.10855714,10.0,10.6455536,1.10855216,5.00000006
0.01275,1.15290348,10.0,10.6834598,1.15289711,5.00000008
0.01325,1.19702864,10.0,10.7211274,1.19702368,5.00000006
0.01375,1.24093372,10.0,10.7585525,1.24092737,5.00000008
0.01425,1.28461982,10.0,10.7957416,1.28461488,5.00000006
0.01475,1.32808804,10.0,10.8326904,1.32808171,5.00000008
0.01525,1.37133946,10.0,10.8694057,1.37133454,5.00000006
0.01575,1.41437516,10.0,10.9058833,1.41436885,5.00000008
0.01625,1.45719622,10.0,10.9421301,1.45719132,5.00000006
0.01675,1.49980371,10.0,10.9781416,1.49979742,5.00000008
0.01725,1.54219869,10.0,11.0139246,1.54219381,5.00000006
0.01775,1.58438222,10.0,11.0494748,1.58437596,5.00000008
0.01825,1.62635537,10.0,11.0847989,1.62635051,5.00000006
0.01875,1.66811917,10.0,11.1198929,1.66811293,5.00000008
0.01925,1.70967467,10.0,11.1547632,1.70966983,5.00000006
0.01975,1.75102291,10.0,11.1894051,1.75101669,5.00000007
0.02025,1.79216493,10.0,11.223826,1.79216011,5.00000006
0.02075,1.83310175,10.0,11.2580216,1.83309555,5.00000007
0.02125,1.8738344,10.0,11.2919978,1.8738296,5.00000006
0.02175,1.91436389,10.0,11.3257507,1.91435771,5.00000007
0.02225,1.95469124,10.0,11.3592872,1.95468646,5.00000006
0.02275,1.99481746,10.0,11.3926027,1.9948113,5.00000007
0.02325,2.03474354,10.0,11.4257039,2.03473878,5.00000006
0.02375,2.0744705,10.0,11.4585867,2.07446436,5.00000007
0.02425,2.11399931,10.0,11.4912577,2.11399456,5.00000006
0.02475,2.15333097,10.0,11.5237121,2.15332485,5.00000007
0.02525,2.19246646,10.0,11.5559569,2.19246174,5.00000006
0.02575,2.23140677,10.0,11.5879876,2.23140067,5.00000007
0.02625,2.27015286,10.0,11.6198111,2.27014815,5.00000006
0.02675,2.3087057,10.0,11.6514226,2.30869962,5.00000007
0.02725,2.34706626,10.0,11.6828288,2.34706156,5.00000006
0.02775,2.38523549,10.0,11.714025,2.38522943,5.00000007
