time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006)
0.0,5.0,0.0,1.5201957,0.876891599,3.08437585,0.0
1e-06,5.0,3.14159245e-05,1.52022688,0.876891701,3.08231733,-0.00205845658
2e-06,5.0,6.28318365e-05,1.52025795,0.876891904,3.08024624,-0.00412942368
4e-06,5.0,0.000125663574,1.52031988,0.87689251,3.07612817,-0.00824711857
8e-06,5.0,0.000251326354,1.52044243,0.876894915,3.06802231,-0.0163514911
1.6e-05,5.0,0.000502646358,1.52068242,0.876904356,3.05237713,-0.031990805
3.2e-05,5.0,0.00100524192,1.52114296,0.876940681,3.02324898,-0.0610963912
6.4e-05,5.0,0.00201007747,1.52199333,0.877074982,2.97306014,-0.111201698
0.000128,5.0,0.00401690501,1.52346,0.877533802,2.90019579,-0.183779997
0.000228,5.0,0.00713835656,1.52529078,0.878566335,2.84058299,-0.242746552
0.000328,5.0,0.0102316363,1.52673506,0.87977623,2.82281683,-0.259751346
0.000428,5.0,0.0132845364,1.5279255,0.881009291,2.82598209,-0.255804938
0.000528,5.0,0.0162850085,1.52893065,0.882189747,2.83933168,-0.241701552
0.000628,5.0,0.0192212112,1.52978607,0.883282329,2.85724553,-0.223083482
0.000728,5.0,0.0220815565,1.53051071,0.884272179,2.87708156,-0.202602475
0.000828,5.0,0.024854756,1.53111555,0.885154039,2.89759046,-0.181511581
0.000928,5.0,0.0275298651,1.53160772,0.885927174,2.9181793,-0.160404689
0.001028,5.0,0.0300963264,1.53199248,0.886592982,2.93856601,-0.139563488
0.001128,5.0,0.0325440113,1.53227416,0.88715386,2.95861558,-0.11912197
0.001228,5.0,0.0348632598,1.53245664,0.887612667,2.97826203,-0.0991448132
0.001328,5.0,0.0370449189,1.5325436,0.887972478,2.9974709,-0.0796650174
0.001428,5.0,0.0390803787,1.53253856,0.888236645,3.01614998,-0.0607731472
0.001528,5.0,0.0409616061,1.53244517,0.888408324,3.03445815,-0.0423087977
0.001628,5.0,0.0426811768,1.53226722,0.888490574,3.05226294,-0.0244029241
0.001728,5.0,0.0442323043,1.53200833,0.888486765,3.06955621,-0.00706198084
0.001828,5.0,0.0456088672,1.53167227,0.888400285,3.0863254,0.00970320766
0.001928,5.0,0.0468054326,1.53126285,0.888234554,3.10255431,0.0258782036
0.002028,5.0,0.0478172785,1.53078401,0.887993045,3.11822491,0.0414468017
0.002128,5.0,0.0486404113,1.53023983,0.887679162,3.13336712,0.056440688
0.002228,5.0,0.0492715827,1.52963436,0.887296555,3.14783763,0.0707185342
0.002328,5.0,0.0497083017,1.52897171,0.886849034,3.16169739,0.0843433569
0.002428,5.0,0.0499488447,1.52825617,0.886340286,3.17491996,0.0972907219
0.002528,5.0,0.0499922624,1.5274921,0.885774088,3.18748052,0.109537902
0.002628,5.0,0.0498383835,1.52668394,0.885154292,3.19935627,0.121064256
0.002728,5.0,0.0494878153,1.52583616,0.884484822,3.21052477,0.131849554
0.002828,5.0,0.0489419413,1.52495329,0.883769667,3.22096524,0.141875296
0.002928,5.0,0.0482029158,1.52403992,0.883012876,3.23065728,0.151123393
0.003028,5.0,0.0472736554,1.52310064,0.882218551,3.2395823,0.159577654
0.003128,5.0,0.0461578275,1.52214009,0.881390841,3.24772235,0.167222548
0.003228,5.0,0.0448598358,1.52116289,0.880533937,3.25506158,0.174044714
0.003328,5.0,0.0433848027,1.52017368,0.879652059,3.26158509,0.180031739
0.003428,5.0,0.0417385497,1.51917707,0.878749453,3.26728035,0.185173657
0.003528,5.0,0.0399275737,1.51817764,0.87783038,3.27213604,0.189461719
0.003628,5.0,0.0379590217,1.51717992,0.876899106,3.27614352,0.192889875
0.003728,5.0,0.0358406629,1.51618839,0.875959892,3.27929557,0.195453531
0.003828,5.0,0.0335808573,1.51520744,0.875016983,3.28158791,0.197151015
0.003928,5.0,0.0311885235,1.51424141,0.874074599,3.2830179,0.197982319
0.004028,5.0,0.0286731028,1.5132945,0.873136922,3.28358602,0.197950544
0.004128,5.0,0.0260445224,1.51237081,0.872208086,3.28329462,0.197060634
0.004228,5.0,0.0233131562,1.51147432,0.87129216,3.28214929,0.195320796
0.004328,5.0,0.0204897837,1.51060886,0.870393145,3.28015769,0.192741215
