 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)        
 0.00000000e+00  0.00000000e+00  5.00000000e+00  0.00000000e+00  1.52019570e+00  8.76891599e-01  3.08437585e+00  0.00000000e+00 
 1.00000000e-06  1.00000000e-06  5.00000000e+00  3.14159245e-05  1.52022688e+00  8.76891701e-01  3.08231733e+00 -2.05845658e-03 
 2.00000000e-06  2.00000000e-06  5.00000000e+00  6.28318365e-05  1.52025795e+00  8.76891904e-01  3.08024624e+00 -4.12942368e-03 
 4.00000000e-06  4.00000000e-06  5.00000000e+00  1.25663574e-04  1.52031988e+00  8.76892510e-01  3.07612817e+00 -8.24711857e-03 
 8.00000000e-06  8.00000000e-06  5.00000000e+00  2.51326354e-04  1.52044243e+00  8.76894915e-01  3.06802231e+00 -1.63514911e-02 
 1.60000000e-05  1.60000000e-05  5.00000000e+00  5.02646358e-04  1.52068242e+00  8.76904356e-01  3.05237713e+00 -3.19908050e-02 
 3.20000000e-05  3.20000000e-05  5.00000000e+00  1.00524192e-03  1.52114296e+00  8.76940681e-01  3.02324898e+00 -6.10963912e-02 
 6.40000000e-05  6.40000000e-05  5.00000000e+00  2.01007747e-03  1.52199333e+00  8.77074982e-01  2.97306014e+00 -1.11201698e-01 
 1.28000000e-04  1.28000000e-04  5.00000000e+00  4.01690501e-03  1.52346000e+00  8.77533802e-01  2.90019579e+00 -1.83779997e-01 
 2.28000000e-04  2.28000000e-04  5.00000000e+00  7.13835656e-03  1.52529078e+00  8.78566335e-01  2.84058299e+00 -2.42746552e-01 
 3.28000000e-04  3.28000000e-04  5.00000000e+00  1.02316363e-02  1.52673506e+00  8.79776230e-01  2.82281683e+00 -2.59751346e-01 
 4.28000000e-04  4.28000000e-04  5.00000000e+00  1.32845364e-02  1.52792550e+00  8.81009291e-01  2.82598209e+00 -2.55804938e-01 
 5.28000000e-04  5.28000000e-04  5.00000000e+00  1.62850085e-02  1.52893065e+00  8.82189747e-01  2.83933168e+00 -2.41701552e-01 
 6.28000000e-04  6.28000000e-04  5.00000000e+00  1.92212112e-02  1.52978607e+00  8.83282329e-01  2.85724553e+00 -2.23083482e-01 
 7.28000000e-04  7.28000000e-04  5.00000000e+00  2.20815565e-02  1.53051071e+00  8.84272179e-01  2.87708156e+00 -2.02602475e-01 
 8.28000000e-04  8.28000000e-04  5.00000000e+00  2.48547560e-02  1.53111555e+00  8.85154039e-01  2.89759046e+00 -1.81511581e-01 
 9.28000000e-04  9.28000000e-04  5.00000000e+00  2.75298651e-02  1.53160772e+00  8.85927174e-01  2.91817930e+00 -1.60404689e-01 
 1.02800000e-03  1.02800000e-03  5.00000000e+00  3.00963264e-02  1.53199248e+00  8.86592982e-01  2.93856601e+00 -1.39563488e-01 
 1.12800000e-03  1.12800000e-03  5.00000000e+00  3.25440113e-02  1.53227416e+00  8.87153860e-01  2.95861558e+00 -1.19121970e-01 
 1.22800000e-03  1.22800000e-03  5.00000000e+00  3.48632598e-02  1.53245664e+00  8.87612667e-01  2.97826203e+00 -9.91448132e-02 
 1.32800000e-03  1.32800000e-03  5.00000000e+00  3.70449189e-02  1.53254360e+00  8.87972478e-01  2.99747090e+00 -7.96650174e-02 
 1.42800000e-03  1.42800000e-03  5.00000000e+00  3.90803787e-02  1.53253856e+00  8.88236645e-01  3.01614998e+00 -6.07731472e-02 
 1.52800000e-03  1.52800000e-03  5.00000000e+00  4.09616061e-02  1.53244517e+00  8.88408324e-01  3.03445815e+00 -4.23087977e-02 
 1.62800000e-03  1.62800000e-03  5.00000000e+00  4.26811768e-02  1.53226722e+00  8.88490574e-01  3.05226294e+00 -2.44029241e-02 
 1.72800000e-03  1.72800000e-03  5.00000000e+00  4.42323043e-02  1.53200833e+00  8.88486765e-01  3.06955621e+00 -7.06198084e-03 
 1.82800000e-03  1.82800000e-03  5.00000000e+00  4.56088672e-02  1.53167227e+00  8.88400285e-01  3.08632540e+00  9.70320766e-03 
 1.92800000e-03  1.92800000e-03  5.00000000e+00  4.68054326e-02  1.53126285e+00  8.88234554e-01  3.10255431e+00  2.58782036e-02 
 2.02800000e-03  2.02800000e-03  5.00000000e+00  4.78172785e-02  1.53078401e+00  8.87993045e-01  3.11822491e+00  4.14468017e-02 
 2.12800000e-03  2.12800000e-03  5.00000000e+00  4.86404113e-02  1.53023983e+00  8.87679162e-01  3.13336712e+00  5.64406880e-02 
 2.22800000e-03  2.22800000e-03  5.00000000e+00  4.92715827e-02  1.52963436e+00  8.87296555e-01  3.14783763e+00  7.07185342e-02 
 2.32800000e-03  2.32800000e-03  5.00000000e+00  4.97083017e-02  1.52897171e+00  8.86849034e-01  3.16169739e+00  8.43433569e-02 
 2.42800000e-03  2.42800000e-03  5.00000000e+00  4.99488447e-02  1.52825617e+00  8.86340286e-01  3.17491996e+00  9.72907219e-02 
 2.52800000e-03  2.52800000e-03  5.00000000e+00  4.99922624e-02  1.52749210e+00  8.85774088e-01  3.18748052e+00  1.09537902e-01 
 2.62800000e-03  2.62800000e-03  5.00000000e+00  4.98383835e-02  1.52668394e+00  8.85154292e-01  3.19935627e+00  1.21064256e-01 
 2.72800000e-03  2.72800000e-03  5.00000000e+00  4.94878153e-02  1.52583616e+00  8.84484822e-01  3.21052477e+00  1.31849554e-01 
 2.82800000e-03  2.82800000e-03  5.00000000e+00  4.89419413e-02  1.52495329e+00  8.83769667e-01  3.22096524e+00  1.41875296e-01 
 2.92800000e-03  2.92800000e-03  5.00000000e+00  4.82029158e-02  1.52403992e+00  8.83012876e-01  3.23065728e+00  1.51123393e-01 
 3.02800000e-03  3.02800000e-03  5.00000000e+00  4.72736554e-02  1.52310064e+00  8.82218551e-01  3.23958230e+00  1.59577654e-01 
 3.12800000e-03  3.12800000e-03  5.00000000e+00  4.61578275e-02  1.52214009e+00  8.81390841e-01  3.24772235e+00  1.67222548e-01 
