 time            time            v(N001)         v(N002)         v(N004)        
 0.00000000e+00  0.00000000e+00  0.00000000e+00  5.00000000e+00  7.02803197e-01 
 1.00000000e-06  1.00000000e-06  1.57079630e-03  5.00000000e+00  7.02803114e-01 
 2.00000000e-06  2.00000000e-06  3.14159245e-03  5.00000000e+00  7.02803114e-01 
 4.00000000e-06  4.00000000e-06  6.28318365e-03  5.00000000e+00  7.02803114e-01 
 8.00000000e-06  8.00000000e-06  1.25663574e-02  5.00000000e+00  7.02803114e-01 
 1.60000000e-05  1.60000000e-05  2.51326354e-02  5.00000000e+00  7.02803114e-01 
 3.20000000e-05  3.20000000e-05  5.02646358e-02  5.00000000e+00  7.02803114e-01 
 6.40000000e-05  6.40000000e-05  1.00524192e-01  5.00000000e+00  7.02803114e-01 
 1.28000000e-04  1.28000000e-04  2.01007747e-01  5.00000000e+00  7.02803114e-01 
 2.28000000e-04  2.28000000e-04  3.57835393e-01  5.00000000e+00  7.02803114e-01 
 3.28000000e-04  3.28000000e-04  5.14309899e-01  5.00000000e+00  7.02803114e-01 
 4.28000000e-04  4.28000000e-04  6.70276844e-01  5.00000000e+00  7.02803114e-01 
 5.28000000e-04  5.28000000e-04  8.25582306e-01  5.00000000e+00  7.02803114e-01 
 6.28000000e-04  6.28000000e-04  9.80073018e-01  5.00000000e+00  7.02803114e-01 
 7.28000000e-04  7.28000000e-04  1.13359652e+00  5.00000000e+00  7.02803114e-01 
 8.28000000e-04  8.28000000e-04  1.28600129e+00  5.00000000e+00  7.02803114e-01 
 9.28000000e-04  9.28000000e-04  1.43713694e+00  5.00000000e+00  7.02803114e-01 
 1.02800000e-03  1.02800000e-03  1.58685431e+00  5.00000000e+00  7.02803114e-01 
 1.12800000e-03  1.12800000e-03  1.73500564e+00  5.00000000e+00  7.02803114e-01 
 1.22800000e-03  1.22800000e-03  1.88144473e+00  5.00000000e+00  7.02803114e-01 
 1.32800000e-03  1.32800000e-03  2.02602706e+00  5.00000000e+00  7.02803114e-01 
