time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.0,1.35144224e-26,0.0,-2.30283185e-17,1.05412494e-25,9.48511479e-27
5e-06,1.25049807e-06,0.025,7.75500711e-05,7.74910235e-05,0.00132516303
5.42013246e-06,1.36439984e-06,0.0271006623,8.04582339e-05,8.03958658e-05,0.00143654002
6.26039739e-06,1.60985488e-06,0.0313019869,8.29596654e-05,8.28877544e-05,0.00165932003
7.94092724e-06,2.20666668e-06,0.0397046362,8.2982034e-05,8.28804364e-05,0.00210491979
1.13019869e-05,3.82387928e-06,0.0565099347,8.4937579e-05,8.47446065e-05,0.00299610796
1.80241063e-05,8.75259231e-06,0.0901205317,8.98967893e-05,8.93267699e-05,0.00477849089
3.14683451e-05,2.53866001e-05,0.157341726,0.000115525813,0.000106089288,0.00834325242
5.83568227e-05,8.57573116e-05,0.291784114,0.00286470455,0.000212614694,0.0154727873
8.62443185e-05,0.000186557804,0.431221592,0.0638625053,0.0012482022,0.0228673446
0.000113032108,0.000319991641,0.565160542,0.192069141,0.00166004855,0.0299699217
0.000153605409,0.000590339078,0.768027045,0.399724801,0.00169754248,0.0407281751
0.000194746826,0.000948383445,0.973734131,0.604788211,0.00209821091,0.0516367487
0.000277029661,0.00191781153,1.3851483,1.01976621,0.00291023237,0.073454309
0.000441595329,0.00486898571,2.20797665,1.84445556,0.00580624729,0.117089051
0.000720797665,0.0129580207,3.60398832,3.24515137,0.0137290069,0.191120135
0.001,0.0249167283,5.0,4.64099647,0.0256705493,0.265150979
0.00105,0.0274030345,5.0,4.68585928,0.0275087904,0.265151597
0.00115,0.0323731537,5.0,4.73751321,0.0323661497,0.265151649
0.00135,0.04229848,5.0,4.75733073,0.0422911804,0.265151601
0.00175,0.0620896964,5.0,4.78189198,0.0620726661,0.265151649
0.00225,0.0867176677,5.0,4.80544015,0.0867065701,0.265151601
0.00275,0.111222806,5.0,4.8283515,0.111205487,0.265151649
0.00325,0.135605724,5.0,4.85074955,0.13559434,0.265151602
0.00375,0.159867032,5.0,4.87279562,0.159849549,0.265151649
0.00425,0.184007335,5.0,4.8946198,0.18399581,0.265151603
0.00475,0.208027238,5.0,4.91625368,0.208009668,0.26515165
0.00525,0.231927341,5.0,4.93774802,0.231915709,0.265151603
0.00575,0.255708241,5.0,4.9590911,0.255690594,0.26515165
0.00625,0.279370533,5.0,4.98031224,0.279358792,0.265151604
0.00675,0.302914809,5.0,5.00138917,0.302897075,0.265151651
