 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)        
 0.00000000e+00  0.00000000e+00  1.35144224e-26  0.00000000e+00 -2.30283185e-17  1.05412494e-25  9.48511479e-27 
 5.00000000e-06  5.00000000e-06  1.25049807e-06  2.50000000e-02  7.75500711e-05  7.74910235e-05  1.32516303e-03 
 5.42013246e-06  5.42013246e-06  1.36439984e-06  2.71006623e-02  8.04582339e-05  8.03958658e-05  1.43654002e-03 
 6.26039739e-06  6.26039739e-06  1.60985488e-06  3.13019869e-02  8.29596654e-05  8.28877544e-05  1.65932003e-03 
 7.94092724e-06  7.94092724e-06  2.20666668e-06  3.97046362e-02  8.29820340e-05  8.28804364e-05  2.10491979e-03 
 1.13019869e-05  1.13019869e-05  3.82387928e-06  5.65099347e-02  8.49375790e-05  8.47446065e-05  2.99610796e-03 
 1.80241063e-05  1.80241063e-05  8.75259231e-06  9.01205317e-02  8.98967893e-05  8.93267699e-05  4.77849089e-03 
 3.14683451e-05  3.14683451e-05  2.53866001e-05  1.57341726e-01  1.15525813e-04  1.06089288e-04  8.34325242e-03 
 5.83568227e-05  5.83568227e-05  8.57573116e-05  2.91784114e-01  2.86470455e-03  2.12614694e-04  1.54727873e-02 
 8.62443185e-05  8.62443185e-05  1.86557804e-04  4.31221592e-01  6.38625053e-02  1.24820220e-03  2.28673446e-02 
 1.13032108e-04  1.13032108e-04  3.19991641e-04  5.65160542e-01  1.92069141e-01  1.66004855e-03  2.99699217e-02 
 1.53605409e-04  1.53605409e-04  5.90339078e-04  7.68027045e-01  3.99724801e-01  1.69754248e-03  4.07281751e-02 
 1.94746826e-04  1.94746826e-04  9.48383445e-04  9.73734131e-01  6.04788211e-01  2.09821091e-03  5.16367487e-02 
 2.77029661e-04  2.77029661e-04  1.91781153e-03  1.38514830e+00  1.01976621e+00  2.91023237e-03  7.34543090e-02 
 4.41595329e-04  4.41595329e-04  4.86898571e-03  2.20797665e+00  1.84445556e+00  5.80624729e-03  1.17089051e-01 
 7.20797665e-04  7.20797665e-04  1.29580207e-02  3.60398832e+00  3.24515137e+00  1.37290069e-02  1.91120135e-01 
 1.00000000e-03  1.00000000e-03  2.49167283e-02  5.00000000e+00  4.64099647e+00  2.56705493e-02  2.65150979e-01 
 1.05000000e-03  1.05000000e-03  2.74030345e-02  5.00000000e+00  4.68585928e+00  2.75087904e-02  2.65151597e-01 
 1.15000000e-03  1.15000000e-03  3.23731537e-02  5.00000000e+00  4.73751321e+00  3.23661497e-02  2.65151649e-01 
 1.35000000e-03  1.35000000e-03  4.22984800e-02  5.00000000e+00  4.75733073e+00  4.22911804e-02  2.65151601e-01 
 1.75000000e-03  1.75000000e-03  6.20896964e-02  5.00000000e+00  4.78189198e+00  6.20726661e-02  2.65151649e-01 
 2.25000000e-03  2.25000000e-03  8.67176677e-02  5.00000000e+00  4.80544015e+00  8.67065701e-02  2.65151601e-01 
 2.75000000e-03  2.75000000e-03  1.11222806e-01  5.00000000e+00  4.82835150e+00  1.11205487e-01  2.65151649e-01 
 3.25000000e-03  3.25000000e-03  1.35605724e-01  5.00000000e+00  4.85074955e+00  1.35594340e-01  2.65151602e-01 
 3.75000000e-03  3.75000000e-03  1.59867032e-01  5.00000000e+00  4.87279562e+00  1.59849549e-01  2.65151649e-01 
