time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008)
0.0,0.0,3.76240684,3.14736212,9.87560181,0.0,0.0,12.0,0.0
1e-06,0.00046717742,3.76287385,3.14736218,9.85084895,-0.0247526071,0.000628318489,12.0,0.0
2e-06,0.00102065163,3.76342709,3.14736231,9.82364254,-0.0519585011,0.00125663673,12.0,0.0
4e-06,0.00213928831,3.76454512,3.14736271,9.76689169,-0.108707744,0.00251327148,12.0,0.0
8e-06,0.0043786247,3.76678241,3.1473644,9.64603556,-0.229557108,0.00502652708,12.0,0.0
1.6e-05,0.00880393399,3.77120013,3.14737166,9.37645537,-0.499108152,0.0100529272,12.0,0.0
3.2e-05,0.0174626911,3.77982776,3.14740483,8.70901317,-1.1664171,0.0201048383,12.0,0.0
6.4e-05,0.0337988432,3.79601919,3.14757483,6.77107669,-3.10367038,0.0402015494,12.0,0.0
0.000128,0.0538011378,3.81496742,3.14835508,3.23086636,-6.64076249,0.0803381001,12.0,0.0
0.000167828852,0.0579003686,3.81759515,3.14902368,3.21105257,-6.65792792,0.105254658,12.0,0.0
0.000205048193,0.0622623264,3.81984358,3.14965713,3.20006929,-6.66643158,0.12847946,12.0,0.0
0.000255531134,0.0691359108,3.82275558,3.15052811,3.19386736,-6.66926738,0.15986604,12.0,0.0
0.000339702165,0.0826404542,3.82700494,3.15200742,3.18872979,-6.66879156,0.211824225,12.0,0.0
0.000439702165,0.102298192,3.8316798,3.15380497,3.18497661,-6.66587741,0.272771901,12.0,0.0
0.000539702165,0.125410058,3.83590633,3.15564128,3.18295371,-6.66123675,0.332643072,12.0,0.0
0.000639702165,0.15158011,3.83973366,3.15751146,3.18268465,-6.65484776,0.391201452,12.0,0.0
0.000739702165,0.180416546,3.84319906,3.15941095,3.18301354,-6.64786752,0.448215939,12.0,0.0
0.000839702165,0.211665927,3.8464687,3.16133545,3.18367368,-6.64056317,0.503461522,12.0,0.0
0.000939702165,0.244829916,3.84944839,3.16328082,3.18476351,-6.63283663,0.556720173,12.0,0.0
0.00103970216,0.279660074,3.85227796,3.16524311,3.18600838,-6.62496286,0.607781703,12.0,0.0
0.00113970216,0.315690255,3.85486434,3.16721855,3.18753023,-6.61682012,0.656444597,12.0,0.0
0.00123970216,0.352681304,3.85732589,3.16920353,3.18914008,-6.60859756,0.702516804,12.0,0.0
0.00133970216,0.390199757,3.85957174,3.17119457,3.19095241,-6.60018085,0.745816498,12.0,0.0
0.00143970216,0.428023303,3.86170697,3.1731884,3.19282025,-6.59171705,0.786172795,12.0,0.0
0.00153970216,0.46574989,3.86364226,3.17518184,3.19485402,-6.58309588,0.823426427,12.0,0.0
0.00163970216,0.503178409,3.86547435,3.17717192,3.19692904,-6.57444209,0.857430371,12.0,0.0
0.00173970216,0.539936861,3.86711453,3.17915577,3.19915604,-6.56564505,0.88805043,12.0,0.0
0.00183970216,0.575848271,3.86865438,3.1811307,3.20142286,-6.556817,0.915165759,12.0,0.0
0.00193970216,0.610569457,3.8700047,3.18309414,3.20384585,-6.54784167,0.938669346,12.0,0.0
0.00203970216,0.64394986,3.87125418,3.18504368,3.20632025,-6.53882395,0.958468435,12.0,0.0
0.00213970216,0.675673973,3.87231182,3.18697707,3.20897521,-6.52963476,0.974484887,12.0,0.0
0.00223970216,0.705619635,3.87326514,3.18889217,3.21171153,-6.52037343,0.986655492,12.0,0.0
0.00233970216,0.73349783,3.87401982,3.190787,3.21468289,-6.51088644,0.994932218,12.0,0.0
