 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)        
 0.00000000e+00  0.00000000e+00  4.49946297e-28  0.00000000e+00 -5.24852323e-19  3.50958111e-27  1.12203560e-28 
 5.00000000e-06  5.00000000e-06  1.25465892e-05  2.50000000e-02  7.31631079e-04  7.31475901e-04  1.24970397e-02 
 5.42126246e-06  5.42126246e-06  1.36925000e-05  2.71063123e-02  7.56461541e-04  7.56297563e-04  1.35500984e-02 
 6.26378737e-06  6.26378737e-06  1.61618016e-05  3.13189369e-02  7.78625027e-04  7.78446480e-04  1.56563296e-02 
 7.94883720e-06  7.94883720e-06  2.21646495e-05  3.97441860e-02  7.80009245e-04  7.79801313e-04  1.98689733e-02 
 1.13189369e-05  1.13189369e-05  3.84255358e-05  5.65946843e-02  7.95060186e-04  7.94754793e-04  2.82942279e-02 
 1.80591362e-05  1.80591362e-05  8.79610706e-05  9.02956808e-02  8.37905028e-04  8.37102491e-04  4.51447558e-02 
 3.15395348e-05  3.15395348e-05  2.55030064e-04  1.57697674e-01  1.00586880e-03  9.96119597e-04  7.88457866e-02 
 5.85003320e-05  5.85003320e-05  8.60711509e-04  2.92501660e-01  4.22204431e-03  1.62718608e-03  1.46247868e-01 
 8.66696417e-05  8.66696417e-05  1.87969298e-03  4.33348208e-01  6.61952537e-02  3.55979503e-03  2.16671278e-01 
 1.13615117e-04  1.13615117e-04  3.22272718e-03  5.68075584e-01  1.95223936e-01  5.15925218e-03  2.84034912e-01 
 1.54390962e-04  1.54390962e-04  5.93718260e-03  7.71954811e-01  4.03869214e-01  7.62601396e-03  3.85974692e-01 
 1.95728953e-04  1.95728953e-04  9.52456931e-03  9.78644764e-01  6.10061922e-01  1.12282001e-02  4.89319689e-01 
 2.78404934e-04  2.78404934e-04  1.92076184e-02  1.39202467e+00  1.02728540e+00  2.07134108e-02  6.96009851e-01 
 4.43756897e-04  4.43756897e-04  4.85040456e-02  2.21878448e+00  1.85614127e+00  4.98942350e-02  1.10938993e+00 
 7.21878448e-04  7.21878448e-04  1.27114152e-01  3.60939224e+00  3.25211571e+00  1.28261581e-01  1.80469416e+00 
 1.00000000e-03  1.00000000e-03  2.41712640e-01  5.00000000e+00  4.64313623e+00  2.42787712e-01  2.49999819e+00 
