time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007)
0.0,5.0,4.82267053,4.27401895,0.0,4.82267053,0.76996644,0.093619396
1e-05,5.0,4.82652209,4.27405823,0.00686574807,4.82652209,0.773817997,0.10000225
1.03989003e-05,5.0,4.8265216,4.27405824,0.00688711699,4.8265216,0.773817507,0.100004356
1.11967008e-05,5.0,4.82652147,4.27405825,0.00692708885,4.82652147,0.773817379,0.100005803
1.27923019e-05,5.0,4.82652146,4.27405825,0.00700335803,4.82652146,0.773817368,0.100005023
1.5983504e-05,5.0,4.82652132,4.27405825,0.00715774132,4.82652131,0.773817222,0.100005311
2.23659082e-05,5.0,4.82652112,4.27405825,0.00746512846,4.82652111,0.773817022,0.100004523
3.51307167e-05,5.0,4.82652064,4.27405824,0.00808102766,4.82652064,0.773816543,0.100004128
6.06603336e-05,5.0,4.82651975,4.27405823,0.00931149702,4.82651975,0.773815659,0.100002237
0.000111719567,5.0,4.82651791,4.27405821,0.011772589,4.82651791,0.77381382,0.0999995198
0.000213838035,5.0,4.82651431,4.27405817,0.0166900884,4.82651431,0.773810215,0.0999930445
0.000418074971,5.0,4.82650704,4.2740581,0.0265115848,4.82650704,0.773802945,0.0999811477
0.000826548842,5.0,4.82649261,4.27405795,0.0460955333,4.82649261,0.773788515,0.0999563919
0.00164349658,5.0,4.82646384,4.27405765,0.0850335507,4.82646384,0.773759745,0.0999081873
0.00264349658,5.0,4.82642896,4.27405729,0.13227933,4.82642895,0.773724857,0.0998489093
0.00364349658,5.0,4.82639433,4.27405693,0.179071599,4.82639433,0.773690227,0.0997908514
0.00464349658,5.0,4.82636005,4.27405657,0.225413361,4.82636005,0.773655948,0.0997326442
0.00564349658,5.0,4.82632603,4.27405622,0.27131031,4.82632603,0.773621924,0.099675652
0.00664349658,5.0,4.82629234,4.27405587,0.316765364,4.82629234,0.773588242,0.0996185077
0.00764349658,5.0,4.82625883,4.27405552,0.361784157,4.82625882,0.773554777,0.0995625982
0.00864349658,5.0,4.82622523,4.27405518,0.406369658,4.82622523,0.773521465,0.0995066987
0.00964349658,5.0,4.82618956,4.27405485,0.450528148,4.82618956,0.773487353,0.0994529619
0.0106434966,5.0,4.82614158,4.27405455,0.494266517,4.82614158,0.773447913,0.0994043136
0.0116434966,5.0,4.82602618,4.27405443,0.537612374,4.82602618,0.773378522,0.0993849534
0.0126434966,5.0,4.82510888,4.27405663,0.580910396,4.82510888,0.772909996,0.0997415244
0.0136434966,5.0,4.82018594,4.27406971,0.625529895,4.82018594,0.77067656,0.101865157
0.0136596723,5.0,4.80102763,4.27439906,0.679321332,4.80102762,0.752088178,0.154984736
0.0136920236,5.0,4.80048116,4.27438599,0.678571293,4.80048115,0.752665678,0.152890725
0.0137089312,5.0,4.7995493,4.27438461,0.679051009,4.79954929,0.752318239,0.152668008
0.0137252709,5.0,4.79951242,4.27437602,0.678352289,4.79951242,0.752843885,0.151290417
0.0137579502,5.0,4.79811941,4.27437005,0.678753483,4.7981194,0.752569554,0.150333785
0.0138233088,5.0,4.7967282,4.27434649,0.677688396,4.79672819,0.753388013,0.146552661
0.013954026,5.0,4.79300725,4.27430848,0.677012706,4.79300724,0.753944585,0.140442901
0.0142154605,5.0,4.79098701,4.27418924,0.66867875,4.790987,0.759239519,0.121221451
0.0142236303,5.0,4.79046251,4.27419114,0.669326484,4.7904625,0.758912817,0.121528475
0.01423997,5.0,4.7912379,4.27417338,0.667137794,4.79123789,0.760068181,0.11865809
0.0142440549,5.0,4.79170777,4.27416536,0.666012208,4.79170777,0.760625385,0.117361942
0.0142441464,5.0,4.77180423,4.27432587,0.69189315,4.77180421,0.740726941,0.143239124
0.0142441492,5.0,4.7699909,4.2743362,0.693552706,4.76999088,0.73891378,0.144898563
0.014244155,5.0,4.76452366,4.27436335,0.697912444,4.76452364,0.7334469,0.149258069
0.0142441603,5.0,4.30918693,4.27500985,0.80038838,3.24786539,-0.783210037,0.251734016
0.0142441644,5.0,4.27447013,4.27646681,1.02220941,0.166359137,-3.8647156,0.47355612
0.0142441675,5.0,4.27442361,4.27537016,0.856405236,0.158917273,-3.87215722,0.307752916
0.0142441707,5.0,4.27429071,4.27641339,1.01429127,0.137584761,-3.89348944,0.465639922
0.0142441736,5.0,4.27430822,4.27542454,0.864791864,0.140400294,-3.89067367,0.316141418
0.014244179,5.0,4.27419756,4.27637431,1.00848841,0.122566609,-3.90850688,0.459839581
0.0142441841,5.0,4.27421176,4.27545432,0.869372764,0.124859153,-3.90621391,0.320725513
0.0142441919,5.0,4.27412014,4.27635489,1.00559886,0.110043498,-3.92102888,0.456953987
0.0142442019,5.0,4.27412844,4.2754732,0.872272699,0.111386672,-3.91968485,0.32363091
