 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)        
 0.00000000e+00  0.00000000e+00  5.00000000e+00  4.82267053e+00  4.27401895e+00  0.00000000e+00  4.82267053e+00  7.69966440e-01  9.36193960e-02 
 1.00000000e-05  1.00000000e-05  5.00000000e+00  4.82652209e+00  4.27405823e+00  6.86574807e-03  4.82652209e+00  7.73817997e-01  1.00002250e-01 
 1.03989003e-05  1.03989003e-05  5.00000000e+00  4.82652160e+00  4.27405824e+00  6.88711699e-03  4.82652160e+00  7.73817507e-01  1.00004356e-01 
 1.11967008e-05  1.11967008e-05  5.00000000e+00  4.82652147e+00  4.27405825e+00  6.92708885e-03  4.82652147e+00  7.73817379e-01  1.00005803e-01 
 1.27923019e-05  1.27923019e-05  5.00000000e+00  4.82652146e+00  4.27405825e+00  7.00335803e-03  4.82652146e+00  7.73817368e-01  1.00005023e-01 
 1.59835040e-05  1.59835040e-05  5.00000000e+00  4.82652132e+00  4.27405825e+00  7.15774132e-03  4.82652131e+00  7.73817222e-01  1.00005311e-01 
 2.23659082e-05  2.23659082e-05  5.00000000e+00  4.82652112e+00  4.27405825e+00  7.46512846e-03  4.82652111e+00  7.73817022e-01  1.00004523e-01 
 3.51307167e-05  3.51307167e-05  5.00000000e+00  4.82652064e+00  4.27405824e+00  8.08102766e-03  4.82652064e+00  7.73816543e-01  1.00004128e-01 
 6.06603336e-05  6.06603336e-05  5.00000000e+00  4.82651975e+00  4.27405823e+00  9.31149702e-03  4.82651975e+00  7.73815659e-01  1.00002237e-01 
 1.11719567e-04  1.11719567e-04  5.00000000e+00  4.82651791e+00  4.27405821e+00  1.17725890e-02  4.82651791e+00  7.73813820e-01  9.99995198e-02 
 2.13838035e-04  2.13838035e-04  5.00000000e+00  4.82651431e+00  4.27405817e+00  1.66900884e-02  4.82651431e+00  7.73810215e-01  9.99930445e-02 
 4.18074971e-04  4.18074971e-04  5.00000000e+00  4.82650704e+00  4.27405810e+00  2.65115848e-02  4.82650704e+00  7.73802945e-01  9.99811477e-02 
 8.26548842e-04  8.26548842e-04  5.00000000e+00  4.82649261e+00  4.27405795e+00  4.60955333e-02  4.82649261e+00  7.73788515e-01  9.99563919e-02 
 1.64349658e-03  1.64349658e-03  5.00000000e+00  4.82646384e+00  4.27405765e+00  8.50335507e-02  4.82646384e+00  7.73759745e-01  9.99081873e-02 
 2.64349658e-03  2.64349658e-03  5.00000000e+00  4.82642896e+00  4.27405729e+00  1.32279330e-01  4.82642895e+00  7.73724857e-01  9.98489093e-02 
 3.64349658e-03  3.64349658e-03  5.00000000e+00  4.82639433e+00  4.27405693e+00  1.79071599e-01  4.82639433e+00  7.73690227e-01  9.97908514e-02 
 4.64349658e-03  4.64349658e-03  5.00000000e+00  4.82636005e+00  4.27405657e+00  2.25413361e-01  4.82636005e+00  7.73655948e-01  9.97326442e-02 
 5.64349658e-03  5.64349658e-03  5.00000000e+00  4.82632603e+00  4.27405622e+00  2.71310310e-01  4.82632603e+00  7.73621924e-01  9.96756520e-02 
 6.64349658e-03  6.64349658e-03  5.00000000e+00  4.82629234e+00  4.27405587e+00  3.16765364e-01  4.82629234e+00  7.73588242e-01  9.96185077e-02 
 7.64349658e-03  7.64349658e-03  5.00000000e+00  4.82625883e+00  4.27405552e+00  3.61784157e-01  4.82625882e+00  7.73554777e-01  9.95625982e-02 
 8.64349658e-03  8.64349658e-03  5.00000000e+00  4.82622523e+00  4.27405518e+00  4.06369658e-01  4.82622523e+00  7.73521465e-01  9.95066987e-02 
 9.64349658e-03  9.64349658e-03  5.00000000e+00  4.82618956e+00  4.27405485e+00  4.50528148e-01  4.82618956e+00  7.73487353e-01  9.94529619e-02 
 1.06434966e-02  1.06434966e-02  5.00000000e+00  4.82614158e+00  4.27405455e+00  4.94266517e-01  4.82614158e+00  7.73447913e-01  9.94043136e-02 
 1.16434966e-02  1.16434966e-02  5.00000000e+00  4.82602618e+00  4.27405443e+00  5.37612374e-01  4.82602618e+00  7.73378522e-01  9.93849534e-02 
 1.26434966e-02  1.26434966e-02  5.00000000e+00  4.82510888e+00  4.27405663e+00  5.80910396e-01  4.82510888e+00  7.72909996e-01  9.97415244e-02 
 1.36434966e-02  1.36434966e-02  5.00000000e+00  4.82018594e+00  4.27406971e+00  6.25529895e-01  4.82018594e+00  7.70676560e-01  1.01865157e-01 
 1.36596723e-02  1.36596723e-02  5.00000000e+00  4.80102763e+00  4.27439906e+00  6.79321332e-01  4.80102762e+00  7.52088178e-01  1.54984736e-01 
 1.36920236e-02  1.36920236e-02  5.00000000e+00  4.80048116e+00  4.27438599e+00  6.78571293e-01  4.80048115e+00  7.52665678e-01  1.52890725e-01 
 1.37089312e-02  1.37089312e-02  5.00000000e+00  4.79954930e+00  4.27438461e+00  6.79051009e-01  4.79954929e+00  7.52318239e-01  1.52668008e-01 
 1.37252709e-02  1.37252709e-02  5.00000000e+00  4.79951242e+00  4.27437602e+00  6.78352289e-01  4.79951242e+00  7.52843885e-01  1.51290417e-01 
 1.37579502e-02  1.37579502e-02  5.00000000e+00  4.79811941e+00  4.27437005e+00  6.78753483e-01  4.79811940e+00  7.52569554e-01  1.50333785e-01 
 1.38233088e-02  1.38233088e-02  5.00000000e+00  4.79672820e+00  4.27434649e+00  6.77688396e-01  4.79672819e+00  7.53388013e-01  1.46552661e-01 
 1.39540260e-02  1.39540260e-02  5.00000000e+00  4.79300725e+00  4.27430848e+00  6.77012706e-01  4.79300724e+00  7.53944585e-01  1.40442901e-01 
 1.42154605e-02  1.42154605e-02  5.00000000e+00  4.79098701e+00  4.27418924e+00  6.68678750e-01  4.79098700e+00  7.59239519e-01  1.21221451e-01 
 1.42236303e-02  1.42236303e-02  5.00000000e+00  4.79046251e+00  4.27419114e+00  6.69326484e-01  4.79046250e+00  7.58912817e-01  1.21528475e-01 
 1.42399700e-02  1.42399700e-02  5.00000000e+00  4.79123790e+00  4.27417338e+00  6.67137794e-01  4.79123789e+00  7.60068181e-01  1.18658090e-01 
 1.42440549e-02  1.42440549e-02  5.00000000e+00  4.79170777e+00  4.27416536e+00  6.66012208e-01  4.79170777e+00  7.60625385e-01  1.17361942e-01 
 1.42441464e-02  1.42441464e-02  5.00000000e+00  4.77180423e+00  4.27432587e+00  6.91893150e-01  4.77180421e+00  7.40726941e-01  1.43239124e-01 
 1.42441492e-02  1.42441492e-02  5.00000000e+00  4.76999090e+00  4.27433620e+00  6.93552706e-01  4.76999088e+00  7.38913780e-01  1.44898563e-01 
 1.42441550e-02  1.42441550e-02  5.00000000e+00  4.76452366e+00  4.27436335e+00  6.97912444e-01  4.76452364e+00  7.33446900e-01  1.49258069e-01 
 1.42441603e-02  1.42441603e-02  5.00000000e+00  4.30918693e+00  4.27500985e+00  8.00388380e-01  3.24786539e+00 -7.83210037e-01  2.51734016e-01 
 1.42441644e-02  1.42441644e-02  5.00000000e+00  4.27447013e+00  4.27646681e+00  1.02220941e+00  1.66359137e-01 -3.86471560e+00  4.73556120e-01 
 1.42441675e-02  1.42441675e-02  5.00000000e+00  4.27442361e+00  4.27537016e+00  8.56405236e-01  1.58917273e-01 -3.87215722e+00  3.07752916e-01 
 1.42441707e-02  1.42441707e-02  5.00000000e+00  4.27429071e+00  4.27641339e+00  1.01429127e+00  1.37584761e-01 -3.89348944e+00  4.65639922e-01 
 1.42441736e-02  1.42441736e-02  5.00000000e+00  4.27430822e+00  4.27542454e+00  8.64791864e-01  1.40400294e-01 -3.89067367e+00  3.16141418e-01 
 1.42441790e-02  1.42441790e-02  5.00000000e+00  4.27419756e+00  4.27637431e+00  1.00848841e+00  1.22566609e-01 -3.90850688e+00  4.59839581e-01 
 1.42441841e-02  1.42441841e-02  5.00000000e+00  4.27421176e+00  4.27545432e+00  8.69372764e-01  1.24859153e-01 -3.90621391e+00  3.20725513e-01 
 1.42441919e-02  1.42441919e-02  5.00000000e+00  4.27412014e+00  4.27635489e+00  1.00559886e+00  1.10043498e-01 -3.92102888e+00  4.56953987e-01 
 1.42442019e-02  1.42442019e-02  5.00000000e+00  4.27412844e+00  4.27547320e+00  8.72272699e-01  1.11386672e-01 -3.91968485e+00  3.23630910e-01 
 1.42442150e-02  1.42442150e-02  5.00000000e+00  4.27404592e+00  4.27634798e+00  1.00456396e+00  9.80022307e-02 -3.93306815e+00  4.55926161e-01 
 1.42442341e-02  1.42442341e-02  5.00000000e+00  4.27405356e+00  4.27548707e+00  8.74394796e-01  9.92442527e-02 -3.93182449e+00  3.25762867e-01 
 1.42442646e-02  1.42442646e-02  5.00000000e+00  4.27397018e+00  4.27635016e+00  1.00487231e+00  8.56806773e-02 -3.94538541e+00  4.56249711e-01 
 1.42443192e-02  1.42443192e-02  5.00000000e+00  4.27397404e+00  4.27550047e+00  8.76427410e-01  8.63088771e-02 -3.94475251e+00  3.27821514e-01 
 1.42444282e-02  1.42444282e-02  5.00000000e+00  4.27389237e+00  4.27636159e+00  1.00652167e+00  7.29838964e-02 -3.95806803e+00  4.57949137e-01 
 1.42446464e-02  1.42446464e-02  5.00000000e+00  4.27391245e+00  4.27551471e+00  8.78515475e-01  7.62643608e-02 -3.95476868e+00  3.30009685e-01 
 1.42448652e-02  1.42448652e-02  5.00000000e+00  4.27386339e+00  4.27635510e+00  1.00748276e+00  6.82533958e-02 -3.96276067e+00  4.59043900e-01 
 1.42452048e-02  1.42452048e-02  5.00000000e+00  4.27390615e+00  4.27550436e+00  8.78842718e-01  7.52409497e-02 -3.95574371e+00  3.30507727e-01 
 1.42456283e-02  1.42456283e-02  5.00000000e+00  4.27386212e+00  4.27635621e+00  1.00747155e+00  6.80432364e-02 -3.96290471e+00  4.59266073e-01 
 1.42464753e-02  1.42464753e-02  5.00000000e+00  4.27390623e+00  4.27550704e+00  8.78858023e-01  7.52549985e-02 -3.95561957e+00  3.30911588e-01 
 1.42481694e-02  1.42481694e-02  5.00000000e+00  4.27386214e+00  4.27636105e+00  1.00742461e+00  6.80465138e-02 -3.96268126e+00  4.59996183e-01 
 1.42515574e-02  1.42515574e-02  5.00000000e+00  4.27390624e+00  4.27551698e+00  8.78804683e-01  7.52554302e-02 -3.95517881e+00  3.32412109e-01 
 1.42583336e-02  1.42583336e-02  5.00000000e+00  4.27386216e+00  4.27638078e+00  1.00729747e+00  6.80503849e-02 -3.96179676e+00  4.62975781e-01 
 1.42718859e-02  1.42718859e-02  5.00000000e+00  4.27390628e+00  4.27555650e+00  8.78560749e-01  7.52616949e-02 -3.95341142e+00  3.38377683e-01 
 1.42989904e-02  1.42989904e-02  5.00000000e+00  4.27386224e+00  4.27645976e+00  1.00680509e+00  6.80636885e-02 -3.95826179e+00  4.74886615e-01 
 1.43531996e-02  1.43531996e-02  5.00000000e+00  4.27390644e+00  4.27571436e+00  8.77580942e-01  7.52879926e-02 -3.94634411e+00  3.62141255e-01 
 1.44616179e-02  1.44616179e-02  5.00000000e+00  4.27386257e+00  4.27677510e+00  1.00485384e+00  6.81167535e-02 -3.94413595e+00  5.22171061e-01 
 1.46784544e-02  1.46784544e-02  5.00000000e+00  4.27390709e+00  4.27634328e+00  8.73717179e-01  7.53950086e-02 -3.91812854e+00  4.55753825e-01 
 1.51121275e-02  1.51121275e-02  5.00000000e+00  4.27386390e+00  4.27802691e+00  9.97276216e-01  6.83351607e-02 -3.88784808e+00  7.05638140e-01 
 1.59794738e-02  1.59794738e-02  5.00000000e+00  4.27390985e+00  4.27881929e+00  8.59140016e-01  7.58464089e-02 -3.80612600e+00  8.08192754e-01 
 1.69794738e-02  1.69794738e-02  5.00000000e+00  4.27386868e+00  4.28178088e+00  9.77412000e-01  6.91103435e-02 -3.72807385e+00  1.18521918e+00 
 1.79794738e-02  1.79794738e-02  5.00000000e+00  4.27391489e+00  4.28262473e+00  8.39185643e-01  7.66683874e-02 -3.63654763e+00  1.28703049e+00 
 1.89794738e-02  1.89794738e-02  5.00000000e+00  4.27387418e+00  4.28556814e+00  9.58895816e-01  7.00146541e-02 -3.56004568e+00  1.62942533e+00 
 1.99794738e-02  1.99794738e-02  5.00000000e+00  4.27392075e+00  4.28641372e+00  8.21895671e-01  7.76264887e-02 -3.47008314e+00  1.69902607e+00 
 2.09794738e-02  2.09794738e-02  5.00000000e+00  4.27388082e+00  4.28952073e+00  9.42872362e-01  7.11005065e-02 -3.39505621e+00  2.01169743e+00 
 2.19794738e-02  2.19794738e-02  5.00000000e+00  4.27392736e+00  4.29018775e+00  8.06919635e-01  7.87041344e-02 -3.30668980e+00  2.05361682e+00 
 2.29794738e-02  2.29794738e-02  5.00000000e+00  4.27388810e+00  4.29347804e+00  9.29002063e-01  7.22912685e-02 -3.23312290e+00  2.34076177e+00 
 2.39794738e-02  2.39794738e-02  5.00000000e+00  4.27393455e+00  4.29393790e+00  7.93947832e-01  7.98782331e-02 -3.14633163e+00  2.35888975e+00 
 2.49794738e-02  2.49794738e-02  5.00000000e+00  4.27389590e+00  4.29743979e+00  9.16996500e-01  7.35660196e-02 -3.07420795e+00  2.62411239e+00 
 2.59794738e-02  2.59794738e-02  5.00000000e+00  4.27394222e+00  4.29766046e+00  7.82712228e-01  8.11284954e-02 -2.98897055e+00  2.62179021e+00 
 2.69794738e-02  2.69794738e-02  5.00000000e+00  4.27390409e+00  4.30140626e+00  9.06606022e-01  7.49037634e-02 -2.91827435e+00  2.86818560e+00 
 2.79794738e-02  2.79794738e-02  5.00000000e+00  4.27395022e+00  4.30135112e+00  7.72980659e-01  8.24344890e-02 -2.83456935e+00  2.84828320e+00 
 2.89794738e-02  2.89794738e-02  5.00000000e+00  4.27391254e+00  4.30537757e+00  8.97614377e-01  7.62835688e-02 -2.76528576e+00  3.07850935e+00 
 2.99794738e-02  2.99794738e-02  5.00000000e+00  4.27395845e+00  4.30500492e+00  7.64551883e-01  8.37760080e-02 -2.68309132e+00  3.04349183e+00 
 3.09794738e-02  3.09794738e-02  5.00000000e+00  4.27392113e+00  4.30935360e+00  8.89834149e-01  7.76849712e-02 -2.61520606e+00  3.25983143e+00 
 3.19794738e-02  3.19794738e-02  5.00000000e+00  4.27396678e+00  4.30861615e+00  7.57251372e-01  8.51334849e-02 -2.53449980e+00  3.21181612e+00 
 3.29794738e-02  3.29794738e-02  5.00000000e+00  4.27392973e+00  4.31333385e+00  8.83102861e-01  7.90883877e-02 -2.46799895e+00  3.41622963e+00 
 3.39794738e-02  3.39794738e-02  5.00000000e+00  4.27397510e+00  4.31217828e+00  7.50927693e-01  8.64884082e-02 -2.38875777e+00  3.35703506e+00 
 3.49794738e-02  3.49794738e-02  5.00000000e+00  4.27393823e+00  4.31731730e+00  8.77279630e-01  8.04755241e-02 -2.32362758e+00  3.55120630e+00 
 3.59794738e-02  3.59794738e-02  5.00000000e+00  4.27398330e+00  4.31568389e+00  7.45449430e-01  8.78237192e-02 -2.24582749e+00  3.48239426e+00 
 3.69794738e-02  3.69794738e-02  5.00000000e+00  4.27394653e+00  4.32130225e+00  8.72242286e-01  8.18297492e-02 -2.18205413e+00  3.66776955e+00 
 3.79794738e-02  3.79794738e-02  5.00000000e+00  4.27399129e+00  4.31912466e+00  7.40702521e-01  8.91241642e-02 -2.10567016e+00  3.59068118e+00 
 3.89794738e-02  3.89794738e-02  5.00000000e+00  4.27395455e+00  4.32528607e+00  8.67884893e-01  8.31364147e-02 -2.04323957e+00  3.76850289e+00 
 3.99794738e-02  3.99794738e-02  5.00000000e+00  4.27399898e+00  4.32249135e+00  7.36587973e-01  9.03765775e-02 -1.96824564e+00  3.68428970e+00 
 4.09794738e-02  4.09794738e-02  5.00000000e+00  4.27396219e+00  4.32926497e+00  8.64115602e-01  8.43831019e-02 -1.90714341e+00  3.85562510e+00 
 4.19794738e-02  4.19794738e-02  5.00000000e+00  4.27400632e+00  4.32577392e+00  7.33019890e-01  9.15700796e-02 -1.83351228e+00  3.76527559e+00 
 4.29794738e-02  4.29794738e-02  5.00000000e+00  4.27396941e+00  4.33323375e+00  8.60854783e-01  8.55597821e-02 -1.77372355e+00  3.93104154e+00 
 4.39794738e-02  4.39794738e-02  5.00000000e+00  4.27401324e+00  4.32896172e+00  7.29923764e-01  9.26961748e-02 -1.70142688e+00  3.83540407e+00 
 4.49794738e-02  4.49794738e-02  5.00000000e+00  4.27397616e+00  4.33718551e+00  8.58033407e-01  8.66588821e-02 -1.64293629e+00  3.99638821e+00 
 4.59794738e-02  4.59794738e-02  5.00000000e+00  4.27401971e+00  4.33204377e+00  7.27235004e-01  9.37487469e-02 -1.57194470e+00  3.89619070e+00 
 4.69794738e-02  4.69794738e-02  5.00000000e+00  4.27398240e+00  4.34111151e+00  8.55591645e-01  8.76752532e-02 -1.51473636e+00  4.05306959e+00 
 4.79794738e-02  4.79794738e-02  5.00000000e+00  4.27402571e+00  4.33500920e+00  7.24897654e-01  9.47239546e-02 -1.44501962e+00  3.94893647e+00 
 4.89794738e-02  4.89794738e-02  5.00000000e+00  4.27398765e+00  4.34730107e+00  8.53540908e-01  8.85263679e-02 -1.38915638e+00  4.10243923e+00 
 4.99794738e-02  4.99794738e-02  5.00000000e+00  4.27403090e+00  4.33859956e+00  7.22831671e-01  9.55624203e-02 -1.32066089e+00  3.99491922e+00 
 5.09794738e-02  5.09794738e-02  5.00000000e+00  4.27399274e+00  4.35171379e+00  8.51722398e-01  8.93545291e-02 -1.26600481e+00  4.14547727e+00 
 5.19794738e-02  5.19794738e-02  5.00000000e+00  4.27403592e+00  4.34152411e+00  7.21057063e-01  9.63776577e-02 -1.19870747e+00  4.03501470e+00 
 5.29794738e-02  5.29794738e-02  5.00000000e+00  4.27399729e+00  4.35616874e+00  8.50151258e-01  9.00951665e-02 -1.14529940e+00  4.18300841e+00 
 5.39794738e-02  5.39794738e-02  5.00000000e+00  4.27404046e+00  4.34433085e+00  7.19507176e-01  9.71158625e-02 -1.07916622e+00  4.06999613e+00 
 5.49794738e-02  5.49794738e-02  5.00000000e+00  4.27400131e+00  4.36068260e+00  8.48794867e-01  9.07500692e-02 -1.02699159e+00  4.21580139e+00 
 5.59794738e-02  5.59794738e-02  5.00000000e+00  4.27404455e+00  4.34700264e+00  7.18150083e-01  9.77803568e-02 -9.61987535e-01  4.10057463e+00 
 5.69794738e-02  5.69794738e-02  5.00000000e+00  4.27400483e+00  4.36525354e+00  8.47624370e-01  9.13226557e-02 -9.11032171e-01  4.24451565e+00 
 5.79794738e-02  5.79794738e-02  5.00000000e+00  4.27404822e+00  4.34951819e+00  7.16957965e-01  9.83756053e-02 -8.47121634e-01  4.12735975e+00 
 5.89794738e-02  5.89794738e-02  5.00000000e+00  4.27400787e+00  4.36987549e+00  8.46614721e-01  9.18173489e-02 -7.97371884e-01  4.26971617e+00 
 5.99794738e-02  5.99794738e-02  5.00000000e+00  4.27405149e+00  4.35185161e+00  7.15906545e-01  9.89069441e-02 -7.34518818e-01  4.15087317e+00 
 6.09794738e-02  6.09794738e-02  5.00000000e+00  4.27401047e+00  4.37453640e+00  8.45744102e-01  9.22393452e-02 -6.85961645e-01  4.29188601e+00 
 6.19794738e-02  6.19794738e-02  5.00000000e+00  4.27405440e+00  4.35397376e+00  7.14974674e-01  9.93802782e-02 -6.24129771e-01  4.17156039e+00 
 6.29794738e-02  6.29794738e-02  5.00000000e+00  4.27401265e+00  4.37921631e+00  8.44993401e-01  9.25944215e-02 -5.76752742e-01  4.31143698e+00 
 6.39794738e-02  6.39794738e-02  5.00000000e+00  4.27405700e+00  4.35585610e+00  7.14144088e-01  9.98017231e-02 -5.15905915e-01  4.18980101e+00 
 6.49794738e-02  6.49794738e-02  5.00000000e+00  4.27401446e+00  4.38388604e+00  8.44345759e-01  9.28887697e-02 -4.69696986e-01  4.32871907e+00 
 6.59794738e-02  6.59794738e-02  5.00000000e+00  4.27405931e+00  4.35747760e+00  7.13399342e-01  1.00177175e-01 -4.09799820e-01  4.20591792e+00 
 6.69794738e-02  6.69794738e-02  5.00000000e+00  4.27401594e+00  4.38850740e+00  8.43786234e-01  9.31288341e-02 -3.64746860e-01  4.34402893e+00 
 6.79794738e-02  6.79794738e-02  5.00000000e+00  4.27406083e+00  4.36151461e+00  7.12841746e-01  1.00424895e-01 -3.05852182e-01  4.22039713e+00 
 6.89794738e-02  6.89794738e-02  5.00000000e+00  4.27401702e+00  4.39373364e+00  8.43322691e-01  9.33056936e-02 -2.61870199e-01  4.35785203e+00 
 6.99794738e-02  6.99794738e-02  5.00000000e+00  4.27406253e+00  4.36345177e+00  7.12259283e-01  1.00700989e-01 -2.03866916e-01  4.23332937e+00 
 7.09794738e-02  7.09794738e-02  5.00000000e+00  4.27401792e+00  4.39856754e+00  8.42908340e-01  9.34511412e-02 -1.60996521e-01  4.37022223e+00 
 7.19794738e-02  7.19794738e-02  5.00000000e+00  4.27406402e+00  4.36524679e+00  7.11733482e-01  1.00942277e-01 -1.03868732e-01  4.24490578e+00 
 7.29794738e-02  7.29794738e-02  5.00000000e+00  4.27401800e+00  4.40640620e+00  8.42678551e-01  9.34636751e-02 -6.21884370e-02  4.38157095e+00 
 7.39794738e-02  7.39794738e-02  5.00000000e+00  4.27406522e+00  4.36760319e+00  7.11276836e-01  1.01137011e-01 -5.83031597e-03  4.25556232e+00 
 7.49794738e-02  7.49794738e-02  5.00000000e+00  4.27401835e+00  4.41190836e+00  8.42390681e-01  9.35213225e-02  3.47699672e-02  4.39187983e+00 
 7.59794738e-02  7.59794738e-02  5.00000000e+00  4.27406673e+00  4.36762330e+00  7.10765489e-01  1.01382490e-01  9.03818254e-02  4.26508396e+00 
 7.69794738e-02  7.69794738e-02  5.00000000e+00  4.27401852e+00  4.41728038e+00  8.42145769e-01  9.35490629e-02  1.29839411e-01  4.40114033e+00 
 7.79794738e-02  7.79794738e-02  5.00000000e+00  4.27406731e+00  4.37116277e+00  7.10449828e-01  1.01475388e-01  1.84601103e-01  4.27391212e+00 
 7.89794738e-02  7.89794738e-02  5.00000000e+00  4.27401853e+00  4.42279306e+00  8.41938227e-01  9.35510190e-02  2.23061359e-01  4.40974635e+00 
 7.99794738e-02  7.99794738e-02  5.00000000e+00  4.27406816e+00  4.37282742e+00  7.10083330e-01  1.01614482e-01  2.77062300e-01  4.28198480e+00 
