time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),v(N012),v(N013),v(N014),v(N015),v(N016),v(N017),@ddiode7_1[id],@ddiode7_2[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id],@ddiode7_6[id],@ddiode7_7[id],@dled12_1[id],@dled12_2[id],@dled12_3[id]
0.0,0.0,9.0,1.1648171,7.47253762,5.63245021e-08,8.99984187,8.99992094,8.99985244,8.99999991,8.99992618,7.39560011,1.16481109,0.82792439,0.141229878,8.07671044e-08,7.40674936,8.99999986,-6.00630391e-09,-9.66118173e-12,9.66078568e-12,9.66118173e-12,-9.00985244e-12,9.00916378e-12,9.00985244e-12,0.00725437023,6.57942708e-05,6.01422802e-09
1e-05,0.0,9.00002,1.16482788,7.47255747,5.63256254e-08,8.99986187,8.99994093,8.99987243,9.00001991,8.99994617,7.39561977,1.16482186,0.827924465,0.141229874,8.07682926e-08,7.40676901,9.00001986,-6.00764534e-09,-9.66150255e-12,9.66235473e-12,9.66150248e-12,-9.00987243e-12,9.01331233e-12,9.00987243e-12,0.0072543899,6.57944679e-05,6.01548077e-09
2e-05,0.0,9.00004,1.16483391,7.47257731,5.63267495e-08,8.99988187,8.99996093,8.99989244,9.00003991,8.99996617,7.39563944,1.1648279,0.82792454,0.141229871,8.07694816e-08,7.40678865,9.00003986,-6.00834709e-09,-9.66182356e-12,9.66103738e-12,9.66182349e-12,-9.00989243e-12,9.00896129e-12,9.00989244e-12,0.00725440957,6.57946643e-05,6.01618244e-09
4e-05,0.0,9.00008,1.16484067,7.472617,5.63289985e-08,8.99992186,9.00000094,8.99993244,9.00007991,9.00000618,7.39567876,1.16483466,0.82792469,0.141229863,8.07718602e-08,7.40682795,9.00007986,-6.00913307e-09,-9.66246597e-12,9.66076346e-12,9.66246569e-12,-9.00993244e-12,9.00942427e-12,9.00993244e-12,0.0072544489,6.57950565e-05,6.01696843e-09
8e-05,0.0,9.00016,1.1648418,7.47269637,5.63334993e-08,9.00000184,9.00008092,9.00001242,9.00015991,9.00008616,7.39575742,1.16483578,0.82792499,0.141229849,8.07766204e-08,7.40690654,9.00015986,-6.00926407e-09,-9.66375209e-12,9.66677213e-12,9.663751e-12,-9.01001242e-12,9.01377913e-12,9.01001242e-12,0.00725452757,6.57958396e-05,6.01709956e-09
0.00016,0.0,9.00032,1.16484149,7.47285513,5.63425179e-08,9.0001618,9.0002409,9.00017242,9.00031991,9.00024616,7.39591472,1.16483548,0.827925591,0.14122982,8.07861576e-08,7.40706373,9.00031986,-6.00922804e-09,-9.66633109e-12,9.66413496e-12,9.66632669e-12,-9.01017242e-12,9.00873139e-12,9.01017242e-12,0.0072546849,6.57974055e-05,6.01706392e-09
0.00032,0.0,9.00064,1.16484168,7.47317263,5.63606214e-08,9.00048174,9.00056088,9.00049244,9.00063991,9.00056619,7.39622933,1.16483566,0.827926792,0.141229761,8.08052986e-08,7.4073781,9.00063986,-6.00924966e-09,-9.67151591e-12,9.6704733e-12,9.67149824e-12,-9.01049244e-12,9.00967735e-12,9.01049244e-12,0.00725499958,6.58005373e-05,6.01708567e-09
0.00064,0.0,9.00128,1.16484155,7.47380765,5.63970876e-08,9.00112154,9.00120077,9.00113242,9.00127991,9.00120617,7.39685855,1.16483553,0.827929194,0.141229644,8.08438397e-08,7.40800685,9.00127986,-6.00923349e-09,-9.68199124e-12,9.68136964e-12,9.68191986e-12,-9.01113242e-12,9.01013312e-12,9.01113242e-12,0.00725562893,6.5806801e-05,6.01707027e-09
0.00128,0.0,9.00256,1.1648417,7.47507767,5.64710868e-08,9.00240122,9.00248062,9.00241241,9.00255991,9.00248617,7.39811699,1.16483568,0.827933998,0.14122941,8.09219887e-08,7.40926436,9.00255986,-6.00924928e-09,-9.70337753e-12,9.70133757e-12,9.7030864e-12,-9.01241241e-12,9.01166113e-12,9.01241241e-12,0.00725688769,6.58193288e-05,6.01708746e-09
0.00228,0.0,9.00456,1.16484161,7.4770621,5.65903172e-08,9.00440065,9.00448033,9.00441236,9.00455991,9.00448614,7.4000833,1.16483559,0.827941502,0.141229045,8.10477031e-08,7.4112292,9.00455986,-6.00923705e-09,-9.73798776e-12,9.73568485e-12,9.73725203e-12,-9.01441236e-12,9.01357333e-12,9.01441236e-12,0.00725885453,6.5838904e-05,6.01707722e-09
0.00328,0.0,9.00656,1.16484176,7.47904652,5.67159068e-08,9.00640005,9.00648003,9.00641232,9.00655991,9.00648611,7.40204962,1.16483574,0.827949003,0.141228682,8.11797766e-08,7.41319406,9.00655986,-6.00925177e-09,-9.77411456e-12,9.77401882e-12,9.77334463e-12,-9.01641232e-12,9.01865249e-12,9.01641232e-12,0.00726082121,6.58584775e-05,6.01709451e-09
0.00428,0.0,9.00856,1.16484168,7.48103096,5.684673e-08,9.00839945,9.00847973,9.0084123,9.00855991,9.00848611,7.40401595,1.16483566,0.827956503,0.141228318,8.13170839e-08,7.41515892,9.00855986,-6.00924092e-09,-9.81182892e-12,9.80883052e-12,9.81102319e-12,-9.0184123e-12,9.01663003e-12,9.0184123e-12,0.0072627879,6.58780511e-05,6.01708524e-09
0.00528,0.0,9.01056,1.16484181,7.48301539,5.69830278e-08,9.0103988,9.0104794,9.01041225,9.01055991,9.01048608,7.40598227,1.16483579,0.827964,0.141227956,8.14598657e-08,7.41712378,9.01055986,-6.00925434e-09,-9.85120386e-12,9.85042178e-12,9.85036069e-12,-9.02041225e-12,9.023179e-12,9.02041225e-12,0.00726475458,6.58976248e-05,6.01710067e-09
0.00628,0.0,9.01256,1.16484175,7.48499983,5.71250546e-08,9.01239811,9.01247905,9.01241224,9.01255991,9.01248608,7.40794861,1.16483573,0.827971496,0.141227594,8.16083766e-08,7.41908865,9.01255986,-6.00924469e-09,-9.89231663e-12,9.89261429e-12,9.89143427e-12,-9.02241224e-12,9.020621e-12,9.02241224e-12,0.00726672128,6.59171985e-05,6.01709333e-09
0.00728,0.0,9.01456,1.16484187,7.48698428,5.72730808e-08,9.01439743,9.01447872,9.01441219,9.01455991,9.01448605,7.40991494,1.16483585,0.82797899,0.141227233,8.17628868e-08,7.42105352,9.01455986,-6.009257e-09,-9.93524922e-12,9.93364345e-12,9.93432581e-12,-9.02441219e-12,9.02676244e-12,9.02441219e-12,0.00726868797,6.59367723e-05,6.01710714e-09
0.00828,0.0,9.01656,1.16484181,7.48896873,5.74273804e-08,9.0163967,9.01647835,9.01641214,9.01655991,9.01648601,7.41188128,1.16483579,0.827986482,0.141226873,8.19236706e-08,7.42301839,9.01655986,-6.0092484e-09,-9.98008474e-12,9.9777203e-12,9.97911844e-12,-9.02641214e-12,9.02885145e-12,9.02641214e-12,0.00727065467,6.59563461e-05,6.01710081e-09
0.00928,0.0,9.01856,1.16484193,7.49095318,5.75882465e-08,9.01839593,9.01847797,9.01841214,9.01855991,9.01848604,7.41384762,1.16483591,0.827993972,0.141226513,8.20910207e-08,7.42498328,9.01855986,-6.00925969e-09,-1.00269121e-11,1.00258536e-11,1.00259008e-11,-9.02841214e-12,9.02780575e-12,9.02841214e-12,0.00727262137,6.597592e-05,6.0171141e-09
0.01028,0.0,9.02056,1.16484188,7.49293764,5.77559839e-08,9.02039513,9.02047756,9.02041207,9.02055991,9.02048598,7.41581397,1.16483586,0.828001461,0.141226154,8.22652423e-08,7.42694816,9.02055986,-6.00925207e-09,-1.00758237e-11,1.00749649e-11,1.00747655e-11,-9.03041207e-12,9.03377933e-12,9.03041207e-12,0.00727458808,6.5995494e-05,6.01710844e-09
0.01128,0.0,9.02256,1.16484198,7.49492211,5.79309125e-08,9.02239429,9.02247714,9.02241208,9.02255991,9.022486,7.41778032,1.16483597,0.828008947,0.141225795,8.24466551e-08,7.42891305,9.02255986,-6.00926242e-09,-1.01269167e-11,1.01273917e-11,1.01258093e-11,-9.03241208e-12,9.03124738e-12,9.03241208e-12,0.00727655479,6.60150681e-05,6.01712096e-09
