 time            time            v(H1_GATE)      v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         @ddiode7_1[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id] 
 0.00000000e+00  0.00000000e+00  1.19870626e+01  6.05113567e-06  1.81639466e-02  0.00000000e+00  1.19870640e+01  3.08263687e-07  1.26333050e+00  6.40512086e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.39253211e+00 -4.32478898e-09 -1.40119858e-08 -1.40119858e-08  2.86855779e-04 
 1.00000000e-06  1.00000000e-06  1.19870672e+01  6.60015499e-03  1.81717003e-02  6.66432322e-03  1.19870641e+01  6.66361455e-03  1.26333303e+00  6.40517157e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.39253461e+00  1.63286377e-07  3.17060907e-08  3.22179916e-08  2.86827574e-04 
 2.00000000e-06  2.00000000e-06  1.19870673e+01  1.32628474e-02  1.81719051e-02  1.33286458e-02  1.19870641e+01  1.33279367e-02  1.26333310e+00  6.40517291e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.39253467e+00  1.67761926e-07  3.22258042e-08  3.22375952e-08  2.86826829e-04 
 4.00000000e-06  4.00000000e-06  1.19870673e+01  2.65898060e-02  1.81721403e-02  2.66572863e-02  1.19870641e+01  2.66565768e-02  1.26333317e+00  6.40517445e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.39253475e+00  1.74878531e-07  3.22730868e-08  3.22732373e-08  2.86825974e-04 
 8.00000000e-06  8.00000000e-06  1.19870673e+01  5.32408148e-02  1.81730153e-02  5.33145305e-02  1.19870641e+01  5.33138197e-02  1.26333346e+00  6.40518017e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.39253503e+00  1.91093789e-07  3.22871516e-08  3.23089328e-08  2.86822789e-04 
 1.60000000e-05  1.60000000e-05  1.19870673e+01  1.06530314e-01  1.81764828e-02  1.06628724e-01  1.19870641e+01  1.06628011e-01  1.26333459e+00  6.40520284e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.39253615e+00  2.65818675e-07  3.23946629e-08  3.24161752e-08  2.86810166e-04 
 3.20000000e-05  3.20000000e-05  1.19870674e+01  2.12898285e-01  1.82127663e-02  2.13254754e-01  1.19870641e+01  2.13254037e-01  1.26334638e+00  6.40543996e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.39254780e+00  1.04782881e-06  3.23913633e-08  3.25958481e-08  2.86678057e-04 
 5.07796436e-05  5.07796436e-05  1.19870674e+01  3.34931506e-01  1.86488042e-02  3.38397610e-01  1.19870643e+01  3.38396888e-01  1.26348780e+00  6.40828757e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.39268752e+00  1.04727159e-05  3.07097572e-08  3.28342187e-08  2.85093710e-04 
 6.88635169e-05  6.88635169e-05  1.19870673e+01  4.34707006e-01  2.14984325e-02  4.58892944e-01  1.19870654e+01  4.58892217e-01  1.26439802e+00  6.42681070e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.39358679e+00  7.32870728e-05  1.89775373e-08  3.30415053e-08  2.74896425e-04 
 8.89399334e-05  8.89399334e-05  1.19870688e+01  5.07368774e-01  2.93666564e-02  5.92647351e-01  1.19870683e+01  5.92646618e-01  1.26678489e+00  6.47714937e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.39594493e+00  2.58416683e-04  4.14978547e-09  3.32987511e-08  2.48155309e-04 
 1.16473011e-04  1.16473011e-04  1.19870728e+01  5.67623337e-01  4.31635957e-02  7.76040600e-01  1.19870729e+01  7.76039860e-01  1.27052320e+00  6.56234221e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.39963826e+00  6.33008179e-04 -1.16284591e-09  3.36276168e-08  2.06275199e-04 
 1.69201283e-04  1.69201283e-04  1.19870785e+01  6.35739042e-01  6.78402595e-02  1.12708111e+00  1.19870793e+01  1.12708035e+00  1.27581952e+00  6.70304052e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.40487085e+00  1.49314319e-03 -8.50794565e-09  3.43025283e-08  1.46937308e-04 
 2.28744785e-04  2.28744785e-04  1.19870829e+01  6.85801682e-01  9.12729987e-02  1.52311747e+00  1.19870836e+01  1.52311670e+00  1.27931092e+00  6.81801281e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.40832023e+00  2.53749211e-03 -7.54192393e-09  3.50619273e-08  1.07821937e-04 
 3.28744785e-04  3.28744785e-04  1.19870865e+01  7.51962233e-01  1.29872216e-01  2.18696885e+00  1.19870876e+01  2.18696805e+00  1.28244826e+00  6.95084987e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41141982e+00  4.41140437e-03 -1.10366176e-08  3.64123473e-08  7.28351355e-05 
 4.28744785e-04  4.28744785e-04  1.19870899e+01  9.07952927e-01  2.71332336e-01  2.84866196e+00  1.19870894e+01  2.84866113e+00  1.28382002e+00  7.02659377e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41277507e+00  5.88093337e-03  5.38326854e-09  3.78324089e-08  5.73051063e-05 
