time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008)
0.0,0.0,-9.0,-8.99999801,-8.99999803,-1.22428978e-16,-0.791174109,-0.120767573,0.0
1e-08,1.10132404e-17,-9.0,-8.99999801,-8.99999803,2.98160869e-07,-0.791173811,-0.120766955,6.2831853e-07
2e-08,3.28349636e-17,-9.0,-8.99999801,-8.99999803,5.91415169e-07,-0.791173518,-0.120766347,1.25663706e-06
4e-08,9.76690877e-17,-9.0,-8.99999801,-8.99999803,1.16826676e-06,-0.791172941,-0.120765151,2.5132741e-06
8e-08,3.48985709e-16,-9.0,-8.99999801,-8.99999803,2.26590428e-06,-0.791171843,-0.120762877,5.02654803e-06
1.6e-07,1.27652998e-15,-9.0,-8.99999801,-8.99999803,4.2545061e-06,-0.791169855,-0.120758756,1.00530948e-05
3.2e-07,4.25477841e-15,-9.0,-8.99999801,-8.99999803,7.52704694e-06,-0.791166582,-0.120751974,2.01061794e-05
6.4e-07,1.01133609e-14,-9.0,-8.99999801,-8.99999803,1.1997745e-05,-0.791162111,-0.120742712,4.02122776e-05
1.28e-06,6.3417374e-15,-9.0,-8.99999801,-8.99999803,1.6259556e-05,-0.791157849,-0.120733884,8.04239049e-05
2.28e-06,-9.15286966e-15,-9.0,-8.99999801,-8.99999803,1.7940693e-05,-0.791156168,-0.120730403,0.000143251725
3.28e-06,2.90071068e-15,-9.0,-8.99999801,-8.99999803,1.80878545e-05,-0.791156021,-0.120730098,0.00020607389
4.28e-06,6.59551846e-15,-9.0,-8.99999801,-8.99999803,1.80987204e-05,-0.79115601,-0.120730075,0.000268887919
5.28e-06,-8.89208079e-15,-9.0,-8.99999801,-8.99999803,1.80968916e-05,-0.791156012,-0.120730079,0.000331691333
6.28e-06,1.48545328e-15,-9.0,-8.99999801,-8.99999803,1.80932891e-05,-0.791156016,-0.120730087,0.000394481653
7.28e-06,7.53762905e-15,-9.0,-8.99999801,-8.99999803,1.80888784e-05,-0.79115602,-0.120730096,0.000457256399
8.28e-06,-8.34265471e-15,-9.0,-8.99999801,-8.99999803,1.80837451e-05,-0.791156025,-0.120730106,0.000520013093
9.28e-06,4.10664111e-17,-9.0,-8.99999801,-8.99999803,1.80778969e-05,-0.791156031,-0.120730119,0.000582749259
1.028e-05,8.29906516e-15,-9.0,-8.99999801,-8.99999803,1.80713347e-05,-0.791156038,-0.120730132,0.000645462418
1.128e-05,-7.59264728e-15,-9.0,-8.99999801,-8.99999803,1.80640588e-05,-0.791156045,-0.120730147,0.000708150095
1.228e-05,-1.40435414e-15,-9.0,-8.99999801,-8.99999803,1.80560695e-05,-0.791156053,-0.120730164,0.000770809816
1.328e-05,8.86091814e-15,-9.0,-8.99999801,-8.99999803,1.80473672e-05,-0.791156062,-0.120730182,0.000833439107
1.428e-05,-6.66015948e-15,-9.0,-8.99999801,-8.99999803,1.80379521e-05,-0.791156071,-0.120730201,0.000896035495
1.528e-05,-2.81607962e-15,-9.0,-8.99999801,-8.99999803,1.80278247e-05,-0.791156081,-0.120730222,0.000958596509
1.628e-05,9.20966189e-15,-9.0,-8.99999801,-8.99999803,1.80169854e-05,-0.791156092,-0.120730245,0.00102111968
1.728e-05,-5.56762785e-15,-9.0,-8.99999801,-8.99999803,1.80054345e-05,-0.791156104,-0.120730269,0.00108360254
1.828e-05,-4.16018677e-15,-9.0,-8.99999801,-8.99999803,1.79931725e-05,-0.791156116,-0.120730294,0.00114604262
1.928e-05,9.33689437e-15,-9.0,-8.99999801,-8.99999803,1.79802e-05,-0.791156129,-0.120730321,0.00120843745
2.028e-05,-4.34133665e-15,-9.0,-8.99999801,-8.99999803,1.79665174e-05,-0.791156142,-0.120730349,0.00127078458
