 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)        
 0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00 -1.22428978e-16 -7.91174109e-01 -1.20767573e-01  0.00000000e+00 
 1.00000000e-08  1.00000000e-08  1.10132404e-17 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  2.98160869e-07 -7.91173811e-01 -1.20766955e-01  6.28318530e-07 
 2.00000000e-08  2.00000000e-08  3.28349636e-17 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  5.91415169e-07 -7.91173518e-01 -1.20766347e-01  1.25663706e-06 
 4.00000000e-08  4.00000000e-08  9.76690877e-17 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.16826676e-06 -7.91172941e-01 -1.20765151e-01  2.51327410e-06 
 8.00000000e-08  8.00000000e-08  3.48985709e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  2.26590428e-06 -7.91171843e-01 -1.20762877e-01  5.02654803e-06 
 1.60000000e-07  1.60000000e-07  1.27652998e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  4.25450610e-06 -7.91169855e-01 -1.20758756e-01  1.00530948e-05 
 3.20000000e-07  3.20000000e-07  4.25477841e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  7.52704694e-06 -7.91166582e-01 -1.20751974e-01  2.01061794e-05 
 6.40000000e-07  6.40000000e-07  1.01133609e-14 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.19977450e-05 -7.91162111e-01 -1.20742712e-01  4.02122776e-05 
 1.28000000e-06  1.28000000e-06  6.34173740e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.62595560e-05 -7.91157849e-01 -1.20733884e-01  8.04239049e-05 
 2.28000000e-06  2.28000000e-06 -9.15286966e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79406930e-05 -7.91156168e-01 -1.20730403e-01  1.43251725e-04 
 3.28000000e-06  3.28000000e-06  2.90071068e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80878545e-05 -7.91156021e-01 -1.20730098e-01  2.06073890e-04 
 4.28000000e-06  4.28000000e-06  6.59551846e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80987204e-05 -7.91156010e-01 -1.20730075e-01  2.68887919e-04 
 5.28000000e-06  5.28000000e-06 -8.89208079e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80968916e-05 -7.91156012e-01 -1.20730079e-01  3.31691333e-04 
 6.28000000e-06  6.28000000e-06  1.48545328e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80932891e-05 -7.91156016e-01 -1.20730087e-01  3.94481653e-04 
 7.28000000e-06  7.28000000e-06  7.53762905e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80888784e-05 -7.91156020e-01 -1.20730096e-01  4.57256399e-04 
 8.28000000e-06  8.28000000e-06 -8.34265471e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80837451e-05 -7.91156025e-01 -1.20730106e-01  5.20013093e-04 
 9.28000000e-06  9.28000000e-06  4.10664111e-17 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80778969e-05 -7.91156031e-01 -1.20730119e-01  5.82749259e-04 
 1.02800000e-05  1.02800000e-05  8.29906516e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80713347e-05 -7.91156038e-01 -1.20730132e-01  6.45462418e-04 
 1.12800000e-05  1.12800000e-05 -7.59264728e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80640588e-05 -7.91156045e-01 -1.20730147e-01  7.08150095e-04 
 1.22800000e-05  1.22800000e-05 -1.40435414e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80560695e-05 -7.91156053e-01 -1.20730164e-01  7.70809816e-04 
 1.32800000e-05  1.32800000e-05  8.86091814e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80473672e-05 -7.91156062e-01 -1.20730182e-01  8.33439107e-04 
 1.42800000e-05  1.42800000e-05 -6.66015948e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80379521e-05 -7.91156071e-01 -1.20730201e-01  8.96035495e-04 
 1.52800000e-05  1.52800000e-05 -2.81607962e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80278247e-05 -7.91156081e-01 -1.20730222e-01  9.58596509e-04 
 1.62800000e-05  1.62800000e-05  9.20966189e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80169854e-05 -7.91156092e-01 -1.20730245e-01  1.02111968e-03 
 1.72800000e-05  1.72800000e-05 -5.56762785e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.80054345e-05 -7.91156104e-01 -1.20730269e-01  1.08360254e-03 
 1.82800000e-05  1.82800000e-05 -4.16018677e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79931725e-05 -7.91156116e-01 -1.20730294e-01  1.14604262e-03 
 1.92800000e-05  1.92800000e-05  9.33689437e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79802000e-05 -7.91156129e-01 -1.20730321e-01  1.20843745e-03 
 2.02800000e-05  2.02800000e-05 -4.34133665e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79665174e-05 -7.91156142e-01 -1.20730349e-01  1.27078458e-03 
 2.12800000e-05  2.12800000e-05 -5.40437797e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79521253e-05 -7.91156157e-01 -1.20730379e-01  1.33308154e-03 
 2.22800000e-05  2.22800000e-05  9.23953913e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79370242e-05 -7.91156172e-01 -1.20730410e-01  1.39532587e-03 
 2.32800000e-05  2.32800000e-05 -3.01078597e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79212147e-05 -7.91156188e-01 -1.20730443e-01  1.45751512e-03 
 2.42800000e-05  2.42800000e-05 -6.51875777e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.79046976e-05 -7.91156204e-01 -1.20730477e-01  1.51964683e-03 
 2.52800000e-05  2.52800000e-05  8.91991933e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.78874733e-05 -7.91156222e-01 -1.20730513e-01  1.58171854e-03 
 2.62800000e-05  2.62800000e-05 -1.60798244e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.78695427e-05 -7.91156239e-01 -1.20730550e-01  1.64372781e-03 
 2.72800000e-05  2.72800000e-05 -7.47655163e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.78509063e-05 -7.91156258e-01 -1.20730589e-01  1.70567219e-03 
 2.82800000e-05  2.82800000e-05  8.38570188e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.78315650e-05 -7.91156277e-01 -1.20730629e-01  1.76754923e-03 
 2.92800000e-05  2.92800000e-05 -1.66669787e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.78115195e-05 -7.91156297e-01 -1.20730670e-01  1.82935649e-03 
 3.02800000e-05  3.02800000e-05 -8.25474955e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.77907706e-05 -7.91156318e-01 -1.20730713e-01  1.89109154e-03 
 3.12800000e-05  3.12800000e-05  7.64971309e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.77693192e-05 -7.91156340e-01 -1.20730758e-01  1.95275192e-03 
 3.22800000e-05  3.22800000e-05  1.27848249e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.77471660e-05 -7.91156362e-01 -1.20730804e-01  2.01433522e-03 
 3.32800000e-05  3.32800000e-05 -8.83465940e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.77243120e-05 -7.91156385e-01 -1.20730851e-01  2.07583899e-03 
 3.42800000e-05  3.42800000e-05  6.72963036e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.77007580e-05 -7.91156408e-01 -1.20730900e-01  2.13726081e-03 
 3.52800000e-05  3.52800000e-05  2.69271265e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.76765050e-05 -7.91156433e-01 -1.20730950e-01  2.19859825e-03 
 3.62800000e-05  3.62800000e-05 -9.20235621e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.76515540e-05 -7.91156457e-01 -1.20731002e-01  2.25984890e-03 
 3.72800000e-05  3.72800000e-05  5.64755712e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.76259059e-05 -7.91156483e-01 -1.20731055e-01  2.32101034e-03 
 3.82800000e-05  3.82800000e-05  4.04200245e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.75995617e-05 -7.91156509e-01 -1.20731109e-01  2.38208014e-03 
 3.92800000e-05  3.92800000e-05 -9.34901699e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.75725226e-05 -7.91156536e-01 -1.20731165e-01  2.44305590e-03 
 4.02800000e-05  4.02800000e-05  4.42949148e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.75447895e-05 -7.91156564e-01 -1.20731223e-01  2.50393522e-03 
 4.12800000e-05  4.12800000e-05  5.29389499e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.75163635e-05 -7.91156593e-01 -1.20731282e-01  2.56471568e-03 
 4.22800000e-05  4.22800000e-05 -9.27113285e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.74872458e-05 -7.91156622e-01 -1.20731342e-01  2.62539490e-03 
 4.32800000e-05  4.32800000e-05  3.10470118e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.74574376e-05 -7.91156652e-01 -1.20731404e-01  2.68597047e-03 
 4.42800000e-05  4.42800000e-05  6.41827512e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.74269400e-05 -7.91156682e-01 -1.20731467e-01  2.74644000e-03 
 4.52800000e-05  4.52800000e-05 -8.97059334e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.73957542e-05 -7.91156713e-01 -1.20731531e-01  2.80680110e-03 
 4.62800000e-05  4.62800000e-05  1.70501987e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.73638814e-05 -7.91156745e-01 -1.20731597e-01  2.86705140e-03 
 4.72800000e-05  4.72800000e-05  7.38809341e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.73313230e-05 -7.91156778e-01 -1.20731665e-01  2.92718851e-03 
 4.82800000e-05  4.82800000e-05 -8.45464099e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.72980802e-05 -7.91156811e-01 -1.20731734e-01  2.98721006e-03 
 4.92800000e-05  4.92800000e-05  2.64081872e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.72641543e-05 -7.91156845e-01 -1.20731804e-01  3.04711369e-03 
 5.02800000e-05  5.02800000e-05  8.18001651e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.72295466e-05 -7.91156879e-01 -1.20731876e-01  3.10689701e-03 
 5.12800000e-05  5.12800000e-05 -7.73569726e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.71942586e-05 -7.91156915e-01 -1.20731949e-01  3.16655768e-03 
 5.22800000e-05  5.22800000e-05 -1.18348651e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.71582916e-05 -7.91156951e-01 -1.20732023e-01  3.22609335e-03 
 5.32800000e-05  5.32800000e-05  8.77498813e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.71216470e-05 -7.91156987e-01 -1.20732099e-01  3.28550165e-03 
 5.42800000e-05  5.42800000e-05 -6.83106380e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.70843264e-05 -7.91157025e-01 -1.20732176e-01  3.34478024e-03 
 5.52800000e-05  5.52800000e-05 -2.60289946e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.70463311e-05 -7.91157063e-01 -1.20732255e-01  3.40392679e-03 
 5.62800000e-05  5.62800000e-05  9.15868723e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.70076626e-05 -7.91157101e-01 -1.20732335e-01  3.46293896e-03 
 5.72800000e-05  5.72800000e-05 -5.76250657e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.69683226e-05 -7.91157141e-01 -1.20732417e-01  3.52181441e-03 
 5.82800000e-05  5.82800000e-05 -3.96004801e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.69283126e-05 -7.91157181e-01 -1.20732499e-01  3.58055084e-03 
 5.92800000e-05  5.92800000e-05  9.32187229e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.68876341e-05 -7.91157221e-01 -1.20732584e-01  3.63914590e-03 
 6.02800000e-05  6.02800000e-05 -4.55573246e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.68462887e-05 -7.91157263e-01 -1.20732669e-01  3.69759730e-03 
 6.12800000e-05  6.12800000e-05 -5.22231999e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.68042782e-05 -7.91157305e-01 -1.20732756e-01  3.75590273e-03 
 6.22800000e-05  6.22800000e-05  9.26060352e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.67616040e-05 -7.91157347e-01 -1.20732845e-01  3.81405988e-03 
 6.32800000e-05  6.32800000e-05 -3.23977126e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.67182681e-05 -7.91157391e-01 -1.20732935e-01  3.87206645e-03 
 6.42800000e-05  6.42800000e-05 -6.35938419e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.66742719e-05 -7.91157435e-01 -1.20733026e-01  3.92992017e-03 
 6.52800000e-05  6.52800000e-05  8.97633758e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.66296174e-05 -7.91157479e-01 -1.20733118e-01  3.98761873e-03 
 6.62800000e-05  6.62800000e-05 -1.84627772e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.65843062e-05 -7.91157525e-01 -1.20733212e-01  4.04515988e-03 
 6.72800000e-05  6.72800000e-05 -7.34391948e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.65383402e-05 -7.91157571e-01 -1.20733307e-01  4.10254132e-03 
 6.82800000e-05  6.82800000e-05  8.47589258e-15 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.64917211e-05 -7.91157617e-01 -1.20733404e-01  4.15976081e-03 
 6.92800000e-05  6.92800000e-05 -4.08770520e-16 -9.00000000e+00 -8.99999801e+00 -8.99999803e+00  1.64444509e-05 -7.91157665e-01 -1.20733502e-01  4.21681607e-03 
