 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)        
 0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00 -4.63477436e-14 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 1.00000000e-08  1.00000000e-08  1.25663706e-05 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00 -1.84297022e-14 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 1.08400000e-08  1.08400000e-08  1.36219457e-05 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00 -3.15858451e-13 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 1.25200000e-08  1.25200000e-08  1.57330960e-05 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00 -4.86943819e-13 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 1.58800000e-08  1.58800000e-08  1.99553965e-05 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00  1.03361764e-13 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 2.26000000e-08  2.26000000e-08  2.83999975e-05 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00 -4.03010958e-14 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 3.60400001e-08  3.60400001e-08  4.52891994e-05 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00 -1.24344979e-14 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 6.29200001e-08  6.29200001e-08  7.90676020e-05 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00 -4.50750548e-14 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 1.16680000e-07  1.16680000e-07  1.46624400e-04 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00 -3.60822483e-14 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 2.24200001e-07  2.24200001e-07  2.81737937e-04 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00 -2.43138842e-14 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 4.39240001e-07  4.39240001e-07  5.51964564e-04 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00  5.21804822e-15 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 8.69320002e-07  8.69320002e-07  1.09241430e-03 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00  6.78346268e-14 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 1.72948000e-06  1.72948000e-06  2.17328590e-03 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00  2.37587727e-13 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 2.72948000e-06  2.72948000e-06  3.42979760e-03 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00  5.10369524e-13 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 3.72948000e-06  3.72948000e-06  4.68617390e-03 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00  8.62421246e-13 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 4.72948000e-06  4.72948000e-06  5.94236519e-03 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00  1.29884992e-12 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 5.72948000e-06  5.72948000e-06  7.19832190e-03 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00  1.82032167e-12 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 6.72948000e-06  6.72948000e-06  8.45399442e-03 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00  2.42628140e-12 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 7.72948000e-06  7.72948000e-06  9.70933320e-03 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00  3.12005977e-12 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 8.72948000e-06  8.72948000e-06  1.09642887e-02 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00  3.90221189e-12 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 9.72948000e-06  9.72948000e-06  1.22188113e-02 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00  4.77540230e-12 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
 1.07294800e-05  1.07294800e-05  1.34728515e-02 -9.00000000e+00 -1.55293991e+00 -8.99999431e+00  5.74174042e-12 -7.91174098e-01 -1.20767576e-01 -8.08234107e-01 
