time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008)
0.0,0.0,-9.0,-1.55293991,-8.99999431,-4.63477436e-14,-0.791174098,-0.120767576,-0.808234107
1e-08,0.000125663706,-9.0,-1.55293991,-8.99999431,-1.84297022e-14,-0.791174098,-0.120767576,-0.808234107
1.084e-08,0.000136219457,-9.0,-1.55293991,-8.99999431,-7.39408534e-14,-0.791174098,-0.120767576,-0.808234107
1.252e-08,0.00015733096,-9.0,-1.55293991,-8.99999431,-6.06181771e-14,-0.791174098,-0.120767576,-0.808234107
1.588e-08,0.000199553965,-9.0,-1.55293991,-8.99999431,3.21964677e-14,-0.791174098,-0.120767576,-0.808234107
2.26e-08,0.000283999975,-9.0,-1.55293991,-8.99999431,-9.99200722e-14,-0.791174098,-0.120767576,-0.808234107
3.60400001e-08,0.000452891994,-9.0,-1.55293991,-8.99999431,-8.9928065e-15,-0.791174098,-0.120767576,-0.808234107
6.29200001e-08,0.00079067602,-9.0,-1.55293991,-8.99999431,2.91988655e-14,-0.791174098,-0.120767576,-0.808234107
1.1668e-07,0.001466244,-9.0,-1.55293991,-8.99999431,7.39408534e-14,-0.791174098,-0.120767576,-0.808234107
2.24200001e-07,0.00281737937,-9.0,-1.55293991,-8.99999431,1.91513472e-13,-0.791174098,-0.120767576,-0.808234107
4.39240001e-07,0.00551964564,-9.0,-1.55293991,-8.99999431,4.63296068e-13,-0.791174098,-0.120767576,-0.808234107
8.69320002e-07,0.010924143,-9.0,-1.55293991,-8.99999431,1.13020704e-12,-0.791174098,-0.120767576,-0.808234107
1.72948e-06,0.021732859,-9.0,-1.55293991,-8.99999431,3.02391445e-12,-0.791174098,-0.120767576,-0.808234107
2.72948e-06,0.034297976,-9.0,-1.5529399,-8.99999431,6.4460659e-12,-0.791174098,-0.120767576,-0.808234107
3.72948e-06,0.046861739,-9.0,-1.5529399,-8.99999431,1.16593402e-11,-0.791174098,-0.120767576,-0.808234107
4.72948e-06,0.0594236519,-9.0,-1.55293989,-8.99999431,1.9414248e-11,-0.791174098,-0.120767576,-0.808234107
5.72948e-06,0.071983219,-9.0,-1.55293987,-8.99999431,3.0953462e-11,-0.791174098,-0.120767576,-0.808234107
6.72948e-06,0.0845399442,-9.0,-1.55293985,-8.99999431,4.82929252e-11,-0.791174098,-0.120767576,-0.808234107
7.72948e-06,0.097093332,-9.0,-1.55293982,-8.99999431,7.47094608e-11,-0.791174098,-0.120767576,-0.808234107
8.72948e-06,0.109642887,-9.0,-1.55293978,-8.99999431,1.15520593e-10,-0.791174098,-0.120767577,-0.808234108
9.72948e-06,0.122188113,-9.0,-1.55293971,-8.99999431,1.7935986e-10,-0.791174098,-0.120767577,-0.808234108
1.072948e-05,0.134728515,-9.0,-1.55293959,-8.99999431,2.80232282e-10,-0.791174098,-0.120767578,-0.808234109
1.172948e-05,0.147263599,-9.0,-1.55293941,-8.99999431,4.40865455e-10,-0.791174098,-0.120767579,-0.80823411
1.272948e-05,0.159792869,-9.0,-1.55293912,-8.99999431,6.9812145e-10,-0.791174098,-0.120767582,-0.808234112
1.372948e-05,0.17231583,-9.0,-1.55293865,-8.99999431,1.11176734e-09,-0.791174098,-0.120767585,-0.808234115
1.472948e-05,0.184831989,-9.0,-1.55293788,-8.99999431,1.7786832e-09,-0.791174098,-0.120767591,-0.80823412
1.572948e-05,0.197340851,-9.0,-1.55293663,-8.99999431,2.85585167e-09,-0.791174097,-0.120767601,-0.808234129
1.672948e-05,0.209841922,-9.0,-1.55293462,-8.99999431,4.59755001e-09,-0.791174097,-0.120767616,-0.808234142
1.772948e-05,0.222334709,-9.0,-1.55293136,-8.99999431,7.41549544e-09,-0.791174096,-0.120767641,-0.808234164
1.872948e-05,0.234818718,-9.0,-1.55292607,-8.99999431,1.19760537e-08,-0.791174094,-0.120767682,-0.8082342
1.972948e-05,0.247293458,-9.0,-1.55291751,-8.99999431,1.9357298e-08,-0.791174091,-0.120767748,-0.808234258
2.072948e-05,0.259758434,-9.0,-1.55290366,-8.99999431,3.13025937e-08,-0.791174087,-0.120767854,-0.808234352
2.172948e-05,0.272213156,-9.0,-1.55288124,-8.99999431,5.06298772e-08,-0.79117408,-0.120768027,-0.808234503
2.272948e-05,0.284657132,-9.0,-1.55284498,-8.99999431,8.18918083e-08,-0.791174069,-0.120768306,-0.808234748
2.372948e-05,0.297089869,-9.0,-1.55278635,-8.99999431,1.32440024e-07,-0.791174052,-0.120768756,-0.808235143
2.472948e-05,0.309510878,-9.0,-1.5526916,-8.99999431,2.14139835e-07,-0.791174023,-0.120769484,-0.808235782
2.572948e-05,0.321919668,-9.0,-1.55253854,-8.99999431,3.46131298e-07,-0.791173977,-0.12077066,-0.808236814
2.672948e-05,0.334315749,-9.0,-1.55229143,-8.99999431,5.5927251e-07,-0.791173902,-0.120772557,-0.808238479
2.772948e-05,0.346698632,-9.0,-1.55189263,-8.99999431,9.03285734e-07,-0.791173781,-0.120775617,-0.808241164
2.872948e-05,0.359067828,-9.0,-1.55124937,-8.99999431,1.45824347e-06,-0.791173587,-0.120780551,-0.808245492
2.972948e-05,0.371422849,-9.0,-1.55021227,-8.99999431,2.35301927e-06,-0.791173274,-0.120788502,-0.808252467
3.072948e-05,0.383763206,-9.0,-1.54854092,-8.99999431,3.79491001e-06,-0.79117277,-0.120801308,-0.808263698
3.172948e-05,0.396088413,-9.0,-1.54584839,-8.99999431,6.1171701e-06,-0.791171958,-0.120821925,-0.808281778
3.272948e-05,0.408397983,-9.0,-1.54151177,-8.9999943,9.85526086e-06,-0.791170652,-0.120855106,-0.80831087
3.372948e-05,0.42069143,-9.0,-1.53452722,-8.99999429,1.58691425e-05,-0.791168552,-0.120908492,-0.80835767
3.472948e-05,0.43296827,-9.0,-1.52211302,-8.99999428,2.67335208e-05,-0.791164327,-0.121014951,-0.808452855
3.572948e-05,0.445228016,-9.0,-1.50145158,-8.99999426,4.36777115e-05,-0.791158395,-0.121165906,-0.808585006
3.672948e-05,0.457470185,-9.0,-1.46886837,-8.99999423,7.09066664e-05,-0.791148833,-0.121409395,-0.808798185
3.772948e-05,0.469694294,-9.0,-1.41640081,-8.99999418,0.00011466692,-0.79113338,-0.121803284,-0.809143003
3.872948e-05,0.481899861,-9.0,-1.33071283,-8.9999941,0.000185043471,-0.791108288,-0.12244378,-0.809703536
3.972948e-05,0.494086403,-9.0,-1.1885244,-8.99999395,0.000298436138,-0.791067184,-0.123494709,-0.810622772
4.072948e-05,0.506253439,-9.0,-0.946764713,-8.9999937,0.000481936328,-0.790998728,-0.125246262,-0.812153487
4.172948e-05,0.51840049,-9.0,-0.516690116,-8.99999324,0.000782488905,-0.790880426,-0.128257663,-0.81478168
4.272948e-05,0.530527074,-9.0,-0.108150053,-8.99999333,0.00215600937,-0.789787724,-0.130771158,-0.815107673
4.372948e-05,0.542632715,-9.0,-0.0842834627,-8.9999938,0.00412297694,-0.788240316,-0.135502366,-0.81368128
4.472948e-05,0.554716933,-9.0,-0.0773285652,-8.99999335,0.00633404609,-0.786646377,-0.149276412,-0.816943773
4.572948e-05,0.566779252,-9.0,-0.0616267457,-8.99999377,0.0111792891,-0.782652677,-0.167031979,-0.817066125
4.672948e-05,0.578819195,-9.0,-0.0546107486,-8.99999337,0.0182021643,-0.776703157,-0.200209737,-0.821341201
4.772948e-05,0.590836288,-9.0,-0.0471735607,-8.99999378,0.0271415836,-0.769015241,-0.242128573,-0.821918246
4.872948e-05,0.602830055,-9.0,-0.0454531879,-8.9999934,0.0370811625,-0.76045624,-0.297793061,-0.825068565
