time,v(H1_GATE),v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),@ddiode7_1[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id]
0.0,11.9876111,6.04823973e-06,0.0181193877,0.0,11.9876125,3.08263699e-07,1.22383575,0.62074283,11.9999876,12.0,0.0,1.84244361,-4.31601287e-09,-1.40119863e-08,-1.40119863e-08,0.000133799746
1e-06,11.9876158,0.006600223,0.0181359433,0.00666432322,11.9876126,0.00666361457,1.22383882,0.620752494,11.9999876,12.0,0.0,1.84244651,1.63079591e-07,3.17056133e-08,3.22170113e-08,0.000133765638
2e-06,11.9876158,0.0132628459,0.0181364019,0.0133286458,11.9876126,0.0133279367,1.2238389,0.620752761,11.9999876,12.0,0.0,1.84244659,1.67768139e-07,3.22243447e-08,3.22366171e-08,0.000133764693
4e-06,11.9876158,0.0265898001,0.0181369059,0.0266572863,11.9876126,0.0266565768,1.22383899,0.620753055,11.9999876,12.0,0.0,1.84244667,1.74897979e-07,3.2272557e-08,3.2272257e-08,0.000133763655
8e-06,11.9876159,0.0532408107,0.0181387762,0.0533145305,11.9876126,0.0533138197,1.22383934,0.620754147,11.9999876,12.0,0.0,1.842447,1.91107595e-07,3.22857253e-08,3.23079501e-08,0.000133759801
1.6e-05,11.9876159,0.106530296,0.0181461933,0.106628724,11.9876126,0.106628011,1.22384071,0.620758475,11.9999876,12.0,0.0,1.84244829,2.65873273e-07,3.23940937e-08,3.24151856e-08,0.000133744517
3.2e-05,11.9876159,0.212898403,0.0182237202,0.213254754,11.9876127,0.213254037,1.22385504,0.620803705,11.9999876,12.0,0.0,1.8424618,1.04747376e-06,3.23900643e-08,3.25948453e-08,0.000133584835
5.08156973e-05,11.987616,0.335190412,0.0191498739,0.338637853,11.9876129,0.33863713,1.22402504,0.621343269,11.9999876,12.0,0.0,1.84262204,1.04161554e-05,3.07277971e-08,3.2833621e-08,0.000131689701
6.89381606e-05,11.9876161,0.436192188,0.0249333264,0.459390277,11.9876141,0.45938955,1.22504011,0.624682078,11.9999876,12.0,0.0,1.84357884,7.02978636e-05,1.9747974e-08,3.30413486e-08,0.000120374414
8.91614077e-05,11.9876175,0.51470894,0.0400656446,0.59412275,11.9876168,0.594122017,1.22733535,0.633158625,11.9999876,12.0,0.0,1.84574232,0.000240641569,7.10825129e-09,3.33006396e-08,9.4786089e-05
