time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007)
0.0,5.0,4.50989765,4.27401895,0.5,4.50943992,0.76996644,0.093619396
1e-05,5.0,4.51331393,4.27405444,0.506201391,4.51291285,0.773439505,0.0993861934
1.46356399e-05,5.0,4.51331313,4.27405446,0.506405792,4.51291202,0.773438747,0.0993891413
2.39069197e-05,5.0,4.51331227,4.27405446,0.506808802,4.51291114,0.77343801,0.0993892634
4.24494792e-05,5.0,4.51331055,4.27405445,0.50761404,4.51290941,0.773436567,0.0993888351
7.95345983e-05,5.0,4.51330694,4.27405445,0.509224794,4.51290574,0.773433577,0.0993886889
0.000153704836,5.0,4.51329917,4.27405445,0.512444163,4.51289784,0.773427389,0.0993879969
0.000302045313,5.0,4.51328092,4.27405445,0.518877631,4.51287932,0.773413858,0.0993882926
0.000598726266,5.0,4.51323133,4.27405448,0.531721241,4.51282895,0.773381458,0.0993933344
0.00119208817,5.0,4.51305112,4.27405473,0.557327843,4.51264594,0.773284986,0.0994338319
0.00219208817,5.0,4.51118908,4.27405962,0.600866056,4.51075392,0.772362102,0.10022807
0.00319208817,5.0,4.49912424,4.27410022,0.649705459,4.49843013,0.766604397,0.106815235
0.00419208817,5.0,4.27388344,4.27679513,0.937785758,0.0715246984,-3.61294546,0.521851487
0.00478439057,5.0,4.27388462,4.27794623,0.93098773,0.0717170712,-3.56355732,0.686498884
0.00536011131,5.0,4.27388608,4.27906523,0.9246366,0.0719560294,-3.51577038,0.839636374
0.00601133136,5.0,4.27388781,4.28033055,0.917820338,0.0722394466,-3.46202333,1.00510988
0.00701133136,5.0,4.27389006,4.28220144,0.907837828,0.0726055653,-3.38021505,1.24388758
0.00801133136,5.0,4.27389276,4.28413672,0.898595355,0.0730471806,-3.29911901,1.46541863
0.00901133136,5.0,4.27389591,4.28607508,0.889974736,0.0735630896,-3.21872956,1.67089941
0.0100113314,5.0,4.27389901,4.28801231,0.881973852,0.0740687447,-3.13912403,1.86154483
0.0110113314,5.0,4.27390254,4.28994762,0.874507216,0.0746454269,-3.06021399,2.03839725
0.0120113314,5.0,4.27390594,4.29188128,0.867580918,0.0752009111,-2.98208453,2.20250812
0.0130113314,5.0,4.27390978,4.29381272,0.861113713,0.0758284415,-2.90463534,2.35476514
0.0140113314,5.0,4.27391342,4.29574232,0.855118259,0.076423217,-2.82796417,2.49607901
0.0150113314,5.0,4.27391752,4.2976694,0.849516762,0.0770916631,-2.75195761,2.6272044
0.0160113314,5.0,4.27392134,4.29959442,0.844327702,0.0777150333,-2.67672745,2.74893134
0.0170113314,5.0,4.27392562,4.30151656,0.839476104,0.0784143949,-2.60214573,2.86190005
0.0180113314,5.0,4.27392955,4.3034364,0.83498562,0.0790556795,-2.52833962,2.96679711
0.0190113314,5.0,4.27393397,4.30535296,0.830783562,0.079776071,-2.45516515,3.06416431
0.0200113314,5.0,4.27393794,4.30726694,0.826898186,0.0804248144,-2.38276626,3.15459951
0.0210113314,5.0,4.27394243,4.30917718,0.823258658,0.0811566611,-2.31098148,3.23855985
0.0220113314,5.0,4.27394639,4.31108452,0.819897337,0.0818028506,-2.23997284,3.31656712
0.0230113314,5.0,4.27395089,4.31298761,0.816744877,0.0825370851,-2.16956002,3.38900565
0.0240113314,5.0,4.27395479,4.31488742,0.813837303,0.0831713654,-2.09992437,3.45633201
0.0250113314,5.0,4.27395925,4.3167824,0.811106459,0.0838996139,-2.03086542,3.51886791
0.0260113314,5.0,4.27396302,4.3186737,0.808591642,0.0845134852,-1.96258497,3.57701401
0.0270113314,5.0,4.27396741,4.3205595,0.80622564,0.0852282309,-1.8948613,3.63103813
0.0280113314,5.0,4.273971,4.32244117,0.804050677,0.0858142185,-1.82791758,3.68129301
0.0290113314,5.0,4.27397527,4.32431658,0.802000281,0.086508934,-1.76150997,3.72800009
0.0300113314,5.0,4.27397865,4.32618736,0.80011929,0.087060718,-1.69588376,3.77147106
0.0310113314,5.0,4.27398276,4.32805104,0.798341808,0.087729957,-1.63077228,3.81188743
0.0320113314,5.0,4.27398591,4.32990953,0.79671501,0.0882424566,-1.56644346,3.8495257
0.0330113314,5.0,4.27398984,4.33175999,0.795173436,0.0888819017,-1.50260745,3.88453302
0.0340113314,5.0,4.27399272,4.33360467,0.793766353,0.0893513072,-1.43955506,3.91715572
0.0350113314,5.0,4.27399645,4.33544026,0.792428623,0.0899577709,-1.37697313,3.94751136
0.0360113314,5.0,4.27399905,4.33726943,0.79121138,0.0903815248,-1.31517535,3.97582044
0.0370113314,5.0,4.27400256,4.33908839,0.790049721,0.0909529081,-1.25382544,4.00217503
0.0380113314,5.0,4.27400488,4.34090022,0.788996448,0.0913296389,-1.19325972,4.02677345
0.0390113314,5.0,4.27400817,4.3427006,0.787986815,0.0918648501,-1.1331192,4.04968587
0.0400113314,5.0,4.27401019,4.34449314,0.787075115,0.0921942655,-1.07376232,4.0710916
0.0410113314,5.0,4.27401326,4.34627289,0.786196699,0.0926931111,-1.01480811,4.09104189
0.0420113314,5.0,4.274015,4.34804405,0.78540719,0.0929758612,-0.956636366,4.10969979
0.0430113314,5.0,4.27401784,4.34980099,0.78464199,0.0934389146,-0.898845072,4.12710027
0.0440113314,5.0,4.2740193,4.35154859,0.78395791,0.0936764369,-0.841834444,4.14339243
0.0450113314,5.0,4.27402194,4.35328047,0.783290363,0.0941048979,-0.785182503,4.1585972
0.0460113314,5.0,4.27402313,4.35500225,0.782697219,0.0942992535,-0.729308795,4.17285173
