 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)        
 0.00000000e+00  0.00000000e+00  5.00000000e+00  4.50989765e+00  4.27401895e+00  5.00000000e-01  4.50943992e+00  7.69966440e-01  9.36193960e-02 
 1.00000000e-05  1.00000000e-05  5.00000000e+00  4.51331393e+00  4.27405444e+00  5.06201391e-01  4.51291285e+00  7.73439505e-01  9.93861934e-02 
 1.46356399e-05  1.46356399e-05  5.00000000e+00  4.51331313e+00  4.27405446e+00  5.06405792e-01  4.51291202e+00  7.73438747e-01  9.93891413e-02 
 2.39069197e-05  2.39069197e-05  5.00000000e+00  4.51331227e+00  4.27405446e+00  5.06808802e-01  4.51291114e+00  7.73438010e-01  9.93892634e-02 
 4.24494792e-05  4.24494792e-05  5.00000000e+00  4.51331055e+00  4.27405445e+00  5.07614040e-01  4.51290941e+00  7.73436567e-01  9.93888351e-02 
 7.95345983e-05  7.95345983e-05  5.00000000e+00  4.51330694e+00  4.27405445e+00  5.09224794e-01  4.51290574e+00  7.73433577e-01  9.93886889e-02 
 1.53704836e-04  1.53704836e-04  5.00000000e+00  4.51329917e+00  4.27405445e+00  5.12444163e-01  4.51289784e+00  7.73427389e-01  9.93879969e-02 
 3.02045313e-04  3.02045313e-04  5.00000000e+00  4.51328092e+00  4.27405445e+00  5.18877631e-01  4.51287932e+00  7.73413858e-01  9.93882926e-02 
 5.98726266e-04  5.98726266e-04  5.00000000e+00  4.51323133e+00  4.27405448e+00  5.31721241e-01  4.51282895e+00  7.73381458e-01  9.93933344e-02 
 1.19208817e-03  1.19208817e-03  5.00000000e+00  4.51305112e+00  4.27405473e+00  5.57327843e-01  4.51264594e+00  7.73284986e-01  9.94338319e-02 
 2.19208817e-03  2.19208817e-03  5.00000000e+00  4.51118908e+00  4.27405962e+00  6.00866056e-01  4.51075392e+00  7.72362102e-01  1.00228070e-01 
 3.19208817e-03  3.19208817e-03  5.00000000e+00  4.49912424e+00  4.27410022e+00  6.49705459e-01  4.49843013e+00  7.66604397e-01  1.06815235e-01 
 4.19208817e-03  4.19208817e-03  5.00000000e+00  4.27388344e+00  4.27679513e+00  9.37785758e-01  7.15246984e-02 -3.61294546e+00  5.21851487e-01 
 4.78439057e-03  4.78439057e-03  5.00000000e+00  4.27388462e+00  4.27794623e+00  9.30987730e-01  7.17170712e-02 -3.56355732e+00  6.86498884e-01 
 5.36011131e-03  5.36011131e-03  5.00000000e+00  4.27388608e+00  4.27906523e+00  9.24636600e-01  7.19560294e-02 -3.51577038e+00  8.39636374e-01 
 6.01133136e-03  6.01133136e-03  5.00000000e+00  4.27388781e+00  4.28033055e+00  9.17820338e-01  7.22394466e-02 -3.46202333e+00  1.00510988e+00 
 7.01133136e-03  7.01133136e-03  5.00000000e+00  4.27389006e+00  4.28220144e+00  9.07837828e-01  7.26055653e-02 -3.38021505e+00  1.24388758e+00 
 8.01133136e-03  8.01133136e-03  5.00000000e+00  4.27389276e+00  4.28413672e+00  8.98595355e-01  7.30471806e-02 -3.29911901e+00  1.46541863e+00 
 9.01133136e-03  9.01133136e-03  5.00000000e+00  4.27389591e+00  4.28607508e+00  8.89974736e-01  7.35630896e-02 -3.21872956e+00  1.67089941e+00 
 1.00113314e-02  1.00113314e-02  5.00000000e+00  4.27389901e+00  4.28801231e+00  8.81973852e-01  7.40687447e-02 -3.13912403e+00  1.86154483e+00 
