time,v(H1_GATE),v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),@ddiode7_1[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id]
0.0,11.9873849,6.04927885e-06,0.0181353718,0.0,11.9873863,3.08263694e-07,1.24113205,0.629398828,11.9999874,12.0,0.0,1.65687224,-4.31916195e-09,-1.40119861e-08,-1.40119861e-08,0.00018686737
1e-06,11.9873895,0.00660018596,0.0181472456,0.00666432322,11.9873864,0.00666361457,1.2411349,0.629406086,11.9999874,12.0,0.0,1.65687499,1.63192369e-07,3.17057488e-08,3.22174155e-08,0.000186835571
2e-06,11.9873896,0.0132628457,0.0181475664,0.0133286458,11.9873864,0.0133279367,1.24113498,0.629406282,11.9999874,12.0,0.0,1.65687507,1.67768032e-07,3.22250033e-08,3.22370205e-08,0.000186834711
4e-06,11.9873896,0.0265898021,0.0181479271,0.0266572863,11.9873864,0.0266565768,1.24113507,0.629406503,11.9999874,12.0,0.0,1.65687515,1.74891566e-07,3.22727214e-08,3.22726613e-08,0.000186833745
8e-06,11.9873896,0.0532408108,0.018149268,0.0533145305,11.9873864,0.0533138197,1.24113539,0.629407322,11.9999874,12.0,0.0,1.65687546,1.91106615e-07,3.22863638e-08,3.23083554e-08,0.000186830154
1.6e-05,11.9873896,0.1065303,0.0181545832,0.106628724,11.9873864,0.106628011,1.24113666,0.62941057,11.9999874,12.0,0.0,1.65687669,2.65861416e-07,3.23942749e-08,3.24155937e-08,0.000186815912
3.2e-05,11.9873897,0.212898295,0.0182101727,0.213254754,11.9873864,0.213254037,1.24115,0.629444532,11.9999874,12.0,0.0,1.65688951,1.04780046e-06,3.23906045e-08,3.25952589e-08,0.000186666997
5.07961579e-05,11.9873897,0.335049991,0.0188762565,0.338507652,11.9873866,0.33850693,1.24130908,0.629851027,11.9999874,12.0,0.0,1.65704245,1.04471293e-05,3.07178884e-08,3.28338101e-08,0.000184889929
6.88978664e-05,11.9873898,0.435412051,0.0231334818,0.459121807,11.9873878,0.45912108,1.24229705,0.632430872,11.9999874,12.0,0.0,1.65799224,7.18460315e-05,1.93494361e-08,3.30412822e-08,0.000173853848
8.90430251e-05,11.9873912,0.510952011,0.0345781149,0.593334119,11.9873907,0.593333386,1.24471108,0.639204574,11.9999874,12.0,0.0,1.66031299,0.000249637965,5.62639526e-09,3.32994763e-08,0.000146886388
0.000117226734,11.9873947,0.577789507,0.0545260398,0.781060274,11.9873947,0.781059534,1.24812468,0.650392105,11.9999874,12.0,0.0,1.66359468,0.00061744396,-3.62976841e-11,3.36365776e-08,0.000108755333
0.000170257323,11.9873986,0.655448107,0.0888434488,1.13410889,11.9873993,1.13410814,1.25196145,0.667188992,11.9999874,12.0,0.0,1.6672832,0.00145428116,-7.16965546e-09,3.43156315e-08,6.58929362e-05
0.000231784223,11.9874012,0.720587744,0.126906941,1.54332029,11.9874018,1.54331952,1.2539852,0.680081096,11.9999874,12.0,0.0,1.66922874,0.00249334518,-5.75937874e-09,3.51010909e-08,4.32862176e-05
0.000331784223,11.9874058,1.06424622,0.453764246,2.20711572,11.9874031,2.20711492,1.2549299,0.688253744,11.9999874,12.0,0.0,1.67013695,0.00346327567,2.71454612e-08,3.64541241e-08,3.27330281e-05
0.000431784223,11.9874071,1.71097726,1.09970257,2.86873299,11.9874032,2.86873219,1.25492999,0.68825458,11.9999874,12.0,0.0,1.67013704,0.00350877819,3.97866282e-08,3.78760602e-08,3.27320785e-05
0.000531784223,11.9874062,2.35502488,1.74326249,3.52751916,11.9874034,3.52751833,1.25492991,0.688253725,11.9999874,12.0,0.0,1.67013698,0.00355316275,2.94998262e-08,3.93996414e-08,3.27330696e-05
0.000631784223,11.9874076,2.99563115,2.38312798,4.1828241,11.9874036,4.18282324,1.25492993,0.688253733,11.9999874,12.0,0.0,1.670137,0.00359793093,4.22376881e-08,4.10254352e-08,3.27330802e-05
0.000731784223,11.9874068,3.6322035,3.01920945,4.8340011,11.9874037,4.8340002,1.25492995,0.688253741,11.9999874,12.0,0.0,1.67013702,0.00364196525,3.20944626e-08,4.279443e-08,3.27330893e-05
0.000831784223,11.9874082,4.26410949,3.65041919,5.48040752,11.9874039,5.48040659,1.25492996,0.68825375,11.9999874,12.0,0.0,1.67013704,0.00368608601,4.49940672e-08,4.47184554e-08,3.27330999e-05
0.000931784223,11.9874073,4.89073113,4.27655378,6.12140544,11.987404,6.12140447,1.25492998,0.688253758,11.9999874,12.0,0.0,1.67013706,0.00372946937,3.5048346e-08,4.68539893e-08,3.27331089e-05
0.00103178422,11.9874088,5.51144356,4.89661165,6.75636227,11.9874042,6.75636126,1.25492999,0.688253766,11.9999874,12.0,0.0,1.67013709,0.00377277649,4.81828854e-08,4.92344985e-08,3.27331192e-05
0.00113178422,11.987408,6.12564144,5.51033072,7.38465139,11.9874043,7.38465032,1.25493001,0.688253774,11.9999874,12.0,0.0,1.67013711,0.00381532986,3.85285804e-08,5.19477061e-08,3.27331281e-05
0.00123178422,11.9874094,6.73271071,6.11678486,8.00565275,11.9874045,8.00565163,1.25493003,0.688253782,11.9999874,12.0,0.0,1.67013713,0.00385765923,5.20181625e-08,5.50734584e-08,3.27331383e-05
0.00133178422,11.9874086,7.33206079,6.71566803,8.6187535,11.9874047,8.61875231,1.25493004,0.68825379,11.9999874,12.0,0.0,1.67013715,0.00389920816,4.28140345e-08,5.8771243e-08,3.2733147e-05
0.00143178422,11.9874102,7.9230911,7.30612082,9.22334858,11.9874048,9.22334731,1.25493006,0.688253798,11.9999874,12.0,0.0,1.67013717,0.00394039841,5.68706517e-08,6.32370386e-08,3.27331571e-05
0.00153178422,11.9874094,8.50522796,7.88780568,9.81884132,11.987405,9.81883996,1.25493007,0.688253805,11.9999874,12.0,0.0,1.67013719,0.00398077354,4.84098062e-08,6.88299452e-08,3.27331657e-05
0.00163178422,11.987411,9.07788675,8.45992311,10.4046441,11.9874051,10.4046426,1.25493009,0.688253814,11.9999874,12.0,0.0,1.67013721,0.00402066685,6.3448583e-08,7.61159163e-08,3.27331756e-05
0.00173178422,11.9874103,9.6405128,9.02211461,10.9801787,11.9874053,10.980177,1.2549301,0.688253821,11.9999874,12.0,0.0,1.67013723,0.00405970435,5.63453435e-08,8.62150583e-08,3.27331841e-05
0.00183178422,11.9874121,10.1925399,9.57363533,11.5448772,11.9874054,11.5448753,1.25493012,0.688253829,11.9999874,12.0,0.0,1.67013725,0.00409814722,7.33167843e-08,1.01525485e-07,3.27331941e-05
0.00193178422,11.9874116,10.7334344,10.1141148,12.0981823,11.9874056,12.09818,1.25493013,0.688253837,11.9999874,12.0,0.0,1.67013727,0.00413568934,6.91437038e-08,2.67275408e-07,3.2733203e-05
0.00203178422,11.9899623,11.2562736,10.6362641,12.6395479,11.9899536,12.5834904,1.25518313,0.688380337,11.99999,12.0,0.0,1.67047906,0.00419165282,8.74903296e-08,0.00255062533,3.28936863e-05
0.00213178422,12.0083684,11.7260108,11.1040039,13.1684399,12.0083615,12.7073858,1.25700894,0.689293243,12.0000084,12.0,0.0,1.67294638,0.00437092835,6.89010982e-08,0.0209791648,3.40754051e-05
0.00223178422,12.0292314,12.174167,11.5498327,13.6843361,12.0291926,12.7649834,1.25907076,0.69032415,12.0000292,12.0,0.0,1.67573432,0.00457588123,3.88880995e-07,0.0418209629,3.54609908e-05
0.00233178422,12.0694255,12.544263,11.9177601,14.1867276,12.0502665,12.8079344,1.2611518,0.691364669,12.0000502,12.0,0.0,1.67855014,0.0047855759,0.000228761358,0.063357111,3.69166331e-05
0.00243178422,12.1657835,12.7174837,12.0888599,14.6751185,12.0715515,12.84462,1.26324859,0.692413064,12.0000715,12.0,0.0,1.68138926,0.00498990692,0.00107392366,0.0832079442,3.84437333e-05
0.00253178422,12.2687941,12.8538323,12.223254,15.1490269,12.0923757,12.8786462,1.26529742,0.693437481,12.0000923,12.0,0.0,1.68416446,0.00519504034,0.00208182824,0.10580631,3.99969069e-05
0.00263178422,12.3724692,12.9687071,12.3361407,15.607985,12.1130284,12.9084602,1.26731912,0.694448333,12.0001129,12.0,0.0,1.68690694,0.00540340381,0.00259548551,0.122715492,4.15910131e-05
0.00273178422,12.4719349,13.0808387,12.4462625,16.0515398,12.1348422,12.9385388,1.26945144,0.695514492,12.0001347,12.0,0.0,1.68980067,0.00563121584,0.00337375364,0.141507726,4.33412308e-05
0.00283178422,12.5675668,13.1855952,12.5482357,16.4792538,12.164995,12.9761503,1.27238904,0.696983293,12.0001648,12.0,0.0,1.69379115,0.00595544114,0.0040286065,0.159239794,4.58736913e-05
0.00293178422,12.6573506,13.2801271,12.6385304,16.8907047,12.2126416,13.0297164,1.27700515,0.699291346,12.0002124,12.0,0.0,1.70007198,0.00649406014,0.00444710254,0.175499471,5.01554251e-05
0.00303178422,12.7386644,13.3642127,12.7174722,17.2854865,12.2703211,13.0928138,1.28254966,0.702063598,12.0002701,12.0,0.0,1.70763343,0.00719921603,0.00468343572,0.190576035,5.58298496e-05
0.00313178422,12.811211,13.4380755,12.7862296,17.6632097,12.3288764,13.1559492,1.28812527,0.704851403,12.0003285,12.0,0.0,1.71525866,0.00798009133,0.00482347075,0.204876205,6.21836391e-05
0.00323178422,12.8755612,13.5034631,12.8467949,18.0235014,12.3845009,13.2159527,1.29336834,0.70747294,12.0003841,12.0,0.0,1.72245084,0.00878649932,0.00491063625,0.218525464,6.88167289e-05
0.00333178422,12.9328653,13.5612365,12.9002106,18.366006,12.4358713,13.2711305,1.29816082,0.709869181,12.0004354,12.0,0.0,1.72904529,0.00958999221,0.00496994965,0.231585497,7.54968801e-05
0.00343178422,12.9839388,13.6128471,12.9478716,18.6903857,12.4827574,13.3216743,1.30249071,0.712034122,12.0004823,12.0,0.0,1.73502154,0.0103746912,0.00501181776,0.244032556,8.20881106e-05
0.00353178422,13.0296299,13.6587321,12.9902365,18.9963202,12.5253958,13.3675143,1.30638963,0.713983584,12.0005249,12.0,0.0,1.74041918,0.011132187,0.00504234306,0.255854923,8.85142996e-05
0.00363178422,13.0704961,13.699922,13.0282602,19.2835076,12.5639924,13.4091714,1.3098857,0.715731619,12.0005634,12.0,0.0,1.74527318,0.011854934,0.00506503794,0.267015382,9.47031583e-05
0.00373178422,13.1078426,13.7373624,13.0628286,19.5516645,12.5994402,13.4473241,1.3130816,0.71732957,12.0005988,12.0,0.0,1.74971681,0.0125557068,0.00508403334,0.277673275,0.000100738494
0.00383178422,13.140368,13.7700964,13.0930555,19.8005262,12.6307163,13.4811369,1.31586226,0.718719901,12.0006301,12.0,0.0,1.75359988,0.013194073,0.0050965635,0.287431011,0.000106301728
0.00393178422,13.1694482,13.7991936,13.1199481,20.0298473,12.6588063,13.5114209,1.31834067,0.719959106,12.0006581,12.0,0.0,1.75706912,0.0137877497,0.00510641939,0.296427209,0.000111518689
0.00403178422,13.1952576,13.8251513,13.1439371,20.2394013,12.6838455,13.538524,1.32053381,0.721055671,12.0006832,12.0,0.0,1.7601461,0.0143341342,0.00511414459,0.304711566,0.000116348275
0.00413178422,13.2180557,13.8479406,13.165016,20.4289815,12.7060387,13.5624779,1.32246475,0.722021145,12.0007053,12.0,0.0,1.76286093,0.0148310839,0.00512016929,0.312202534,0.000120773343
0.00423178422,13.2379811,13.8679742,13.1835448,20.5984007,12.7254915,13.5835559,1.32414706,0.722862301,12.0007248,12.0,0.0,1.76523073,0.0152772906,0.00512490868,0.31893636,0.000124765592
0.00433178422,13.2552112,13.885183,13.1994733,20.7474918,12.7423509,13.6017673,1.3255973,0.723587417,12.0007416,12.0,0.0,1.7672771,0.0156714417,0.00512860365,0.324858675,0.000128312857
0.00443178422,13.2698321,13.8998846,13.2130793,20.8761076,12.7566849,13.6173133,1.3268245,0.724201019,12.0007559,12.0,0.0,1.76901136,0.0160124742,0.00513147905,0.329990271,0.000131393257
0.00453178422,13.2819648,13.9119899,13.2242903,20.9841212,12.7685968,13.6301856,1.32784025,0.724708895,12.0007678,12.0,0.0,1.77044865,0.016299653,0.00513368083,0.334296737,0.000133998755
0.00463178422,13.2916584,13.9217445,13.2333214,21.0714261,12.7781259,13.6405309,1.32865011,0.725113824,12.0007773,12.0,0.0,1.77159583,0.0165321281,0.00513532871,0.337788731,0.000136113082
0.00473178422,13.2989925,13.9290486,13.240088,21.1379359,12.7853416,13.6483265,1.32926174,0.725419636,12.0007846,12.0,0.0,1.77246295,0.0167095815,0.00513651036,0.340446588,0.00013773196
0.00483178422,13.3039881,13.93409,13.2447549,21.1835852,12.7902601,13.6536765,1.32967783,0.725627684,12.0007895,12.0,0.0,1.77305323,0.0168313675,0.00513728182,0.342274536,0.000138844294
0.00493178422,13.3066918,13.9367624,13.2472302,21.2083289,12.792923,13.6565455,1.3299028,0.72574017,12.0007921,12.0,0.0,1.77337252,0.0168974945,0.00513768999,0.343264063,0.000139449437
0.00503178422,13.3071013,13.9372051,13.2476358,21.2121425,12.7933267,13.6570019,1.32993684,0.725757188,12.0007925,12.0,0.0,1.77342086,0.0169075242,0.00513774665,0.343415602,0.000139541222
0.00513178422,13.3052345,13.9353055,13.2458735,21.1950222,12.7914881,13.6549973,1.32978143,0.725679483,12.0007907,12.0,0.0,1.77320033,0.0168617426,0.00513746502,0.342729317,0.00013912263
