 time            time            v(H1_GATE)      v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         @ddiode7_1[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id] 
 0.00000000e+00  0.00000000e+00  1.19873849e+01  6.04927885e-06  1.81353718e-02  0.00000000e+00  1.19873863e+01  3.08263694e-07  1.24113205e+00  6.29398828e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.65687224e+00 -4.31916195e-09 -1.40119861e-08 -1.40119861e-08  1.86867370e-04 
 1.00000000e-06  1.00000000e-06  1.19873895e+01  6.60018596e-03  1.81472456e-02  6.66432322e-03  1.19873864e+01  6.66361457e-03  1.24113490e+00  6.29406086e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.65687499e+00  1.63192369e-07  3.17057488e-08  3.22174155e-08  1.86835571e-04 
 2.00000000e-06  2.00000000e-06  1.19873896e+01  1.32628457e-02  1.81475664e-02  1.33286458e-02  1.19873864e+01  1.33279367e-02  1.24113498e+00  6.29406282e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.65687507e+00  1.67768032e-07  3.22250033e-08  3.22370205e-08  1.86834711e-04 
 4.00000000e-06  4.00000000e-06  1.19873896e+01  2.65898021e-02  1.81479271e-02  2.66572863e-02  1.19873864e+01  2.66565768e-02  1.24113507e+00  6.29406503e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.65687515e+00  1.74891566e-07  3.22727214e-08  3.22726613e-08  1.86833745e-04 
 8.00000000e-06  8.00000000e-06  1.19873896e+01  5.32408108e-02  1.81492680e-02  5.33145305e-02  1.19873864e+01  5.33138197e-02  1.24113539e+00  6.29407322e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.65687546e+00  1.91106615e-07  3.22863638e-08  3.23083554e-08  1.86830154e-04 
 1.60000000e-05  1.60000000e-05  1.19873896e+01  1.06530300e-01  1.81545832e-02  1.06628724e-01  1.19873864e+01  1.06628011e-01  1.24113666e+00  6.29410570e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.65687669e+00  2.65861416e-07  3.23942749e-08  3.24155937e-08  1.86815912e-04 
 3.20000000e-05  3.20000000e-05  1.19873897e+01  2.12898295e-01  1.82101727e-02  2.13254754e-01  1.19873864e+01  2.13254037e-01  1.24115000e+00  6.29444532e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.65688951e+00  1.04780046e-06  3.23906045e-08  3.25952589e-08  1.86666997e-04 
 5.07961579e-05  5.07961579e-05  1.19873897e+01  3.35049991e-01  1.88762565e-02  3.38507652e-01  1.19873866e+01  3.38506930e-01  1.24130908e+00  6.29851027e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.65704245e+00  1.04471293e-05  3.07178884e-08  3.28338101e-08  1.84889929e-04 
 6.88978664e-05  6.88978664e-05  1.19873898e+01  4.35412051e-01  2.31334818e-02  4.59121807e-01  1.19873878e+01  4.59121080e-01  1.24229705e+00  6.32430872e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.65799224e+00  7.18460315e-05  1.93494361e-08  3.30412822e-08  1.73853848e-04 
 8.90430251e-05  8.90430251e-05  1.19873912e+01  5.10952011e-01  3.45781149e-02  5.93334119e-01  1.19873907e+01  5.93333386e-01  1.24471108e+00  6.39204574e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.66031299e+00  2.49637965e-04  5.62639526e-09  3.32994763e-08  1.46886388e-04 
 1.17226734e-04  1.17226734e-04  1.19873947e+01  5.77789507e-01  5.45260398e-02  7.81060274e-01  1.19873947e+01  7.81059534e-01  1.24812468e+00  6.50392105e-01  1.19999874e+01  1.20000000e+01  0.00000000e+00  1.66359468e+00  6.17443960e-04 -3.62976841e-11  3.36365776e-08  1.08755333e-04 
