time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008)
0.0,0.0,-9.0,-1.55293991,-8.99999431,-4.63477436e-14,-0.791174098,-0.120767576,-0.808234107
1e-08,6.2831853e-05,-9.0,-1.55293991,-8.99999431,-1.84297022e-14,-0.791174098,-0.120767576,-0.808234107
1.084e-08,6.81097287e-05,-9.0,-1.55293991,-8.99999431,-8.35997938e-14,-0.791174098,-0.120767576,-0.808234107
1.252e-08,7.866548e-05,-9.0,-1.55293991,-8.99999431,-1.77080572e-13,-0.791174098,-0.120767576,-0.808234107
1.588e-08,9.97769826e-05,-9.0,-1.55293991,-8.99999431,3.99680289e-15,-0.791174098,-0.120767576,-0.808234107
2.26e-08,0.000141999988,-9.0,-1.55293991,-8.99999431,-8.18234369e-14,-0.791174098,-0.120767576,-0.808234107
3.60400001e-08,0.000226445997,-9.0,-1.55293991,-8.99999431,1.22124533e-14,-0.791174098,-0.120767576,-0.808234107
6.29200001e-08,0.00039533801,-9.0,-1.55293991,-8.99999431,-2.47579734e-14,-0.791174098,-0.120767576,-0.808234107
1.1668e-07,0.000733121998,-9.0,-1.55293991,-8.99999431,1.07691633e-14,-0.791174098,-0.120767576,-0.808234107
2.24200001e-07,0.00140868968,-9.0,-1.55293991,-8.99999431,6.96109836e-14,-0.791174098,-0.120767576,-0.808234107
4.39240001e-07,0.00275982282,-9.0,-1.55293991,-8.99999431,2.03170814e-13,-0.791174098,-0.120767576,-0.808234107
8.69320002e-07,0.00546207151,-9.0,-1.55293991,-8.99999431,5.29132294e-13,-0.791174098,-0.120767576,-0.808234107
1.72948e-06,0.0108664295,-9.0,-1.55293991,-8.99999431,1.41764378e-12,-0.791174098,-0.120767576,-0.808234107
2.72948e-06,0.017148988,-9.0,-1.55293991,-8.99999431,2.90401037e-12,-0.791174098,-0.120767576,-0.808234107
3.72948e-06,0.0234308695,-9.0,-1.5529399,-8.99999431,4.93727281e-12,-0.791174098,-0.120767576,-0.808234107
4.72948e-06,0.029711826,-9.0,-1.5529399,-8.99999431,7.58704211e-12,-0.791174098,-0.120767576,-0.808234107
5.72948e-06,0.0359916095,-9.0,-1.5529399,-8.99999431,1.09480203e-11,-0.791174098,-0.120767576,-0.808234107
6.72948e-06,0.0422699721,-9.0,-1.55293989,-8.99999431,1.51401114e-11,-0.791174098,-0.120767576,-0.808234107
7.72948e-06,0.048546666,-9.0,-1.55293989,-8.99999431,2.0315416e-11,-0.791174098,-0.120767576,-0.808234107
