time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N009),v(N010),@ddiode7_1[id]
0.0,0.0,9.0,0.0,-1.22428978e-16,0.660106,1.28188074,8.99999914,0.0,0.0,1.69058345e-28
1e-08,5.95998614e-18,9.0,-0.000173625635,1.57079632e-07,0.660106314,1.28186664,8.99999914,-0.000173626621,-1.41071322e-05,-2.17810218e-19
1.06212158e-08,6.35322807e-18,9.0,-0.000185077216,1.66837668e-07,0.660106334,1.28186571,8.99999914,-0.000185078268,-1.50375764e-05,-2.31340921e-19
1.18636475e-08,7.18570406e-18,9.0,-0.000209267191,1.86353739e-07,0.660106373,1.28186374,8.99999914,-0.000209268382,-1.70030188e-05,-2.58402324e-19
1.43485108e-08,9.12655651e-18,9.0,-0.000264827578,2.25385881e-07,0.660106451,1.28185923,8.99999914,-0.000264829104,-2.1517317e-05,-3.12525112e-19
1.93182375e-08,1.41112259e-17,9.0,-0.000399914267,3.03450164e-07,0.660106607,1.28184825,8.99999914,-0.000399916731,-3.24931574e-05,-4.20770619e-19
2.92576908e-08,2.84853995e-17,9.0,-0.000737881234,4.5957873e-07,0.660106919,1.28182079,8.99999914,-0.000737886911,-5.99531341e-05,-6.37261359e-19
4.91365975e-08,7.4766526e-17,9.0,-0.0015563296,7.71835856e-07,0.660107544,1.28175429,8.99999914,-0.00155634823,-0.000126452712,-1.07024174e-18
8.61100364e-08,2.22064502e-16,9.0,-0.00324267205,1.35261322e-06,0.660108705,1.28161726,8.99999914,-0.00324274109,-0.000263470556,-1.8755524e-18
1.60056914e-07,7.42440258e-16,9.0,-0.00669121524,2.51416771e-06,0.660111028,1.28133702,8.99999914,-0.00669149297,-0.000543675125,-3.48615826e-18
3.0795067e-07,2.50790813e-15,9.0,-0.0135806403,4.83727479e-06,0.660115675,1.28077707,8.99999914,-0.0135817697,-0.00110348349,-6.70730688e-18
6.03738181e-07,6.9385592e-15,9.0,-0.0273627886,9.48347443e-06,0.660124967,1.2796565,8.99999914,-0.0273673586,-0.00222345507,-1.3149342e-17
1.1953132e-06,8.9755767e-15,9.0,-0.0549220726,1.87757594e-05,0.660143552,1.27741425,8.99999914,-0.0549404714,-0.00446333834,-2.60322861e-17
