time,v(N001),v(N002),v(N003),v(N004),v(N005)
0.0,1.0,0.001,0.0,1.0,0.002
1e-08,1.0,0.001,0.0,1.0,0.002
2e-08,1.0,0.001,0.0,1.0,0.002
4e-08,1.0,0.001,0.0,1.0,0.002
8e-08,1.0,0.001,0.0,1.0,0.002
1.6e-07,1.0,0.001,0.0,1.0,0.002
3.2e-07,1.0,0.001,0.0,1.0,0.002
6.4e-07,1.0,0.001,0.0,1.0,0.002
1.28e-06,1.0,0.001,0.0,1.0,0.002
2.28e-06,1.0,0.001,0.0,1.0,0.002
3.28e-06,1.0,0.001,0.0,1.0,0.002
4.28e-06,1.0,0.001,0.0,1.0,0.002
5.28e-06,1.0,0.001,0.0,1.0,0.002
6.28e-06,1.0,0.001,0.0,1.0,0.002
7.28e-06,1.0,0.001,0.0,1.0,0.002
8.28e-06,1.0,0.001,0.0,1.0,0.002
9.28e-06,1.0,0.001,0.0,1.0,0.002
1.028e-05,1.0,0.001,0.0,1.0,0.002
1.128e-05,1.0,0.001,0.0,1.0,0.002
1.228e-05,1.0,0.001,0.0,1.0,0.002
1.328e-05,1.0,0.001,0.0,1.0,0.002
1.428e-05,1.0,0.001,0.0,1.0,0.002
1.528e-05,1.0,0.001,0.0,1.0,0.002
1.628e-05,1.0,0.001,0.0,1.0,0.002
1.728e-05,1.0,0.001,0.0,1.0,0.002
1.828e-05,1.0,0.001,0.0,1.0,0.002
1.928e-05,1.0,0.001,0.0,1.0,0.002
2.028e-05,1.0,0.001,0.0,1.0,0.002
2.128e-05,1.0,0.001,0.0,1.0,0.002
2.228e-05,1.0,0.001,0.0,1.0,0.002
2.328e-05,1.0,0.001,0.0,1.0,0.002
2.428e-05,1.0,0.001,0.0,1.0,0.002
2.528e-05,1.0,0.001,0.0,1.0,0.002
2.628e-05,1.0,0.001,0.0,1.0,0.002
2.728e-05,1.0,0.001,0.0,1.0,0.002
2.828e-05,1.0,0.001,0.0,1.0,0.002
2.928e-05,1.0,0.001,0.0,1.0,0.002
3.028e-05,1.0,0.001,0.0,1.0,0.002
3.128e-05,1.0,0.001,0.0,1.0,0.002
3.228e-05,1.0,0.001,0.0,1.0,0.002
3.328e-05,1.0,0.001,0.0,1.0,0.002
3.428e-05,1.0,0.001,0.0,1.0,0.002
3.528e-05,1.0,0.001,0.0,1.0,0.002
3.628e-05,1.0,0.001,0.0,1.0,0.002
3.728e-05,1.0,0.001,0.0,1.0,0.002
3.828e-05,1.0,0.001,0.0,1.0,0.002
3.928e-05,1.0,0.001,0.0,1.0,0.002
4.028e-05,1.0,0.001,0.0,1.0,0.002
4.128e-05,1.0,0.001,0.0,1.0,0.002
4.228e-05,1.0,0.001,0.0,1.0,0.002
4.328e-05,1.0,0.001,0.0,1.0,0.002
4.428e-05,1.0,0.001,0.0,1.0,0.002
4.528e-05,1.0,0.001,0.0,1.0,0.002
4.628e-05,1.0,0.001,0.0,1.0,0.002
4.728e-05,1.0,0.001,0.0,1.0,0.002
4.828e-05,1.0,0.001,0.0,1.0,0.002
4.928e-05,1.0,0.001,0.0,1.0,0.002
5.028e-05,1.0,0.001,0.0,1.0,0.002
5.128e-05,1.0,0.001,0.0,1.0,0.002
5.228e-05,1.0,0.001,0.0,1.0,0.002
5.328e-05,1.0,0.001,0.0,1.0,0.002
5.428e-05,1.0,0.001,0.0,1.0,0.002
5.528e-05,1.0,0.001,0.0,1.0,0.002
5.628e-05,1.0,0.001,0.0,1.0,0.002
5.728e-05,1.0,0.001,0.0,1.0,0.002
5.828e-05,1.0,0.001,0.0,1.0,0.002
5.928e-05,1.0,0.001,0.0,1.0,0.002
6.028e-05,1.0,0.001,0.0,1.0,0.002
6.128e-05,1.0,0.001,0.0,1.0,0.002
6.228e-05,1.0,0.001,0.0,1.0,0.002
6.328e-05,1.0,0.001,0.0,1.0,0.002
6.428e-05,1.0,0.001,0.0,1.0,0.002
6.528e-05,1.0,0.001,0.0,1.0,0.002
6.628e-05,1.0,0.001,0.0,1.0,0.002
6.728e-05,1.0,0.001,0.0,1.0,0.002
6.828e-05,1.0,0.001,0.0,1.0,0.002
6.928e-05,1.0,0.001,0.0,1.0,0.002
7.028e-05,1.0,0.001,0.0,1.0,0.002
7.128e-05,1.0,0.001,0.0,1.0,0.002
7.228e-05,1.0,0.001,0.0,1.0,0.002
7.328e-05,1.0,0.001,0.0,1.0,0.002
7.428e-05,1.0,0.001,0.0,1.0,0.002
7.528e-05,1.0,0.001,0.0,1.0,0.002
7.628e-05,1.0,0.001,0.0,1.0,0.002
7.728e-05,1.0,0.001,0.0,1.0,0.002
7.828e-05,1.0,0.001,0.0,1.0,0.002
7.928e-05,1.0,0.001,0.0,1.0,0.002
8.028e-05,1.0,0.001,0.0,1.0,0.002
8.128e-05,1.0,0.001,0.0,1.0,0.002
8.228e-05,1.0,0.001,0.0,1.0,0.002
8.328e-05,1.0,0.001,0.0,1.0,0.002
8.428e-05,1.0,0.001,0.0,1.0,0.002
8.528e-05,1.0,0.001,0.0,1.0,0.002
8.628e-05,1.0,0.001,0.0,1.0,0.002
8.728e-05,1.0,0.001,0.0,1.0,0.002
8.828e-05,1.0,0.001,0.0,1.0,0.002
8.928e-05,1.0,0.001,0.0,1.0,0.002
9.028e-05,1.0,0.001,0.0,1.0,0.002
9.128e-05,1.0,0.001,0.0,1.0,0.002
9.228e-05,1.0,0.001,0.0,1.0,0.002
9.328e-05,1.0,0.001,0.0,1.0,0.002
9.428e-05,1.0,0.001,0.0,1.0,0.002
9.528e-05,1.0,0.001,0.0,1.0,0.002
9.628e-05,1.0,0.001,0.0,1.0,0.002
9.728e-05,1.0,0.001,0.0,1.0,0.002
9.828e-05,1.0,0.001,0.0,1.0,0.002
9.914e-05,1.0,0.001,0.0,1.0,0.002
0.0001,1.0,0.001,0.0,1.0,0.002
