diagram_id,edge_id,instance_id,match_distance_px,match_status,net_id,relation_type,source,target,terminal_id
pilot_001,edge:diagram:pilot_001:component:9.1,9.1,,,,HAS_COMPONENT,diagram:pilot_001,component:9.1,
pilot_001,edge:diagram:pilot_001:component:31.1,31.1,,,,HAS_COMPONENT,diagram:pilot_001,component:31.1,
pilot_001,edge:diagram:pilot_001:component:22.1,22.1,,,,HAS_COMPONENT,diagram:pilot_001,component:22.1,
pilot_001,edge:diagram:pilot_001:component:4.1,4.1,,,,HAS_COMPONENT,diagram:pilot_001,component:4.1,
pilot_001,edge:diagram:pilot_001:component:4.2,4.2,,,,HAS_COMPONENT,diagram:pilot_001,component:4.2,
pilot_001,edge:diagram:pilot_001:component:16.1,16.1,,,,HAS_COMPONENT,diagram:pilot_001,component:16.1,
pilot_001,edge:diagram:pilot_001:component:22.2,22.2,,,,HAS_COMPONENT,diagram:pilot_001,component:22.2,
pilot_001,edge:diagram:pilot_001:component:9.2,9.2,,,,HAS_COMPONENT,diagram:pilot_001,component:9.2,
pilot_001,edge:diagram:pilot_001:component:22.3,22.3,,,,HAS_COMPONENT,diagram:pilot_001,component:22.3,
pilot_001,edge:diagram:pilot_001:component:9.3,9.3,,,,HAS_COMPONENT,diagram:pilot_001,component:9.3,
pilot_001,edge:diagram:pilot_001:component:4.3,4.3,,,,HAS_COMPONENT,diagram:pilot_001,component:4.3,
pilot_001,edge:diagram:pilot_001:component:9.4,9.4,,,,HAS_COMPONENT,diagram:pilot_001,component:9.4,
pilot_001,edge:diagram:pilot_001:component:26.1,26.1,,,,HAS_COMPONENT,diagram:pilot_001,component:26.1,
pilot_001,edge:diagram:pilot_001:net:N1,,,,N1,HAS_NET,diagram:pilot_001,net:N1,
pilot_001,edge:diagram:pilot_001:net:N2,,,,N2,HAS_NET,diagram:pilot_001,net:N2,
pilot_001,edge:diagram:pilot_001:net:N3,,,,N3,HAS_NET,diagram:pilot_001,net:N3,
pilot_001,edge:diagram:pilot_001:net:N4,,,,N4,HAS_NET,diagram:pilot_001,net:N4,
pilot_001,edge:diagram:pilot_001:net:N5,,,,N5,HAS_NET,diagram:pilot_001,net:N5,
pilot_001,edge:diagram:pilot_001:net:N6,,,,N6,HAS_NET,diagram:pilot_001,net:N6,
pilot_001,edge:diagram:pilot_001:net:N7,,,,N7,HAS_NET,diagram:pilot_001,net:N7,
pilot_001,edge:diagram:pilot_001:net:N8,,,,N8,HAS_NET,diagram:pilot_001,net:N8,
pilot_001,edge:component:9.1:terminal:9.1:t1,9.1,,,,HAS_TERMINAL,component:9.1,terminal:9.1:t1,9.1:t1
pilot_001,edge:component:31.1:terminal:31.1:t1,31.1,,,,HAS_TERMINAL,component:31.1,terminal:31.1:t1,31.1:t1
pilot_001,edge:component:31.1:terminal:31.1:t2,31.1,,,,HAS_TERMINAL,component:31.1,terminal:31.1:t2,31.1:t2
pilot_001,edge:component:22.1:terminal:22.1:t1,22.1,,,,HAS_TERMINAL,component:22.1,terminal:22.1:t1,22.1:t1
pilot_001,edge:component:22.1:terminal:22.1:t2,22.1,,,,HAS_TERMINAL,component:22.1,terminal:22.1:t2,22.1:t2
pilot_001,edge:component:4.1:terminal:4.1:t1,4.1,,,,HAS_TERMINAL,component:4.1,terminal:4.1:t1,4.1:t1
pilot_001,edge:component:4.1:terminal:4.1:t2,4.1,,,,HAS_TERMINAL,component:4.1,terminal:4.1:t2,4.1:t2
pilot_001,edge:component:4.2:terminal:4.2:t1,4.2,,,,HAS_TERMINAL,component:4.2,terminal:4.2:t1,4.2:t1
pilot_001,edge:component:4.2:terminal:4.2:t2,4.2,,,,HAS_TERMINAL,component:4.2,terminal:4.2:t2,4.2:t2
pilot_001,edge:component:22.2:terminal:22.2:t1,22.2,,,,HAS_TERMINAL,component:22.2,terminal:22.2:t1,22.2:t1
pilot_001,edge:component:22.2:terminal:22.2:t2,22.2,,,,HAS_TERMINAL,component:22.2,terminal:22.2:t2,22.2:t2
pilot_001,edge:component:9.2:terminal:9.2:t1,9.2,,,,HAS_TERMINAL,component:9.2,terminal:9.2:t1,9.2:t1
pilot_001,edge:component:22.3:terminal:22.3:t1,22.3,,,,HAS_TERMINAL,component:22.3,terminal:22.3:t1,22.3:t1
pilot_001,edge:component:22.3:terminal:22.3:t2,22.3,,,,HAS_TERMINAL,component:22.3,terminal:22.3:t2,22.3:t2
pilot_001,edge:component:9.3:terminal:9.3:t1,9.3,,,,HAS_TERMINAL,component:9.3,terminal:9.3:t1,9.3:t1
