bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,confidence,diagram_id,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,label,match_distance_px,match_status,matched_net_id,matched_net_index,n_connected_terminals,net_id,net_index,node_id,node_type,pixel_count,relative_position,symbol_type,terminal_id,terminal_name,use_for_masking,use_for_terminals,x,y
,,,,,,,,,pilot_001,,1024,pilot_001.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\pilot_images\pilot_001.jpg,1024,,pilot_001,,,,,,,,diagram:pilot_001,Diagram,,,,,,,,,
86.34,150.62,847.19,934.16,9,GND,,,0.8081,pilot_001,,,,,,9.1,9.1,,,,,,,,component:9.1,Component,,,one_terminal,,,True,True,,
77.58,159.84,549.47,688.41,31,Voltage_Source,,,0.9244,pilot_001,,,,,,31.1,31.1,,,,,,,,component:31.1,Component,,,two_terminal,,,True,True,,
176.42,268.87,328.99,389.14,22,Resistor,,,0.833,pilot_001,horizontal,,,,,22.1,22.1,,,,,,,,component:22.1,Component,,,two_terminal,,,True,True,,
287.81,371.73,429.31,534.71,4,Capacitor,,,0.8152,pilot_001,vertical,,,,,4.1,4.1,,,,,,,,component:4.1,Component,,,two_terminal,,,True,True,,
291.34,370.92,195.35,294.27,4,Capacitor,,,0.8151,pilot_001,vertical,,,,,4.2,4.2,,,,,,,,component:4.2,Component,,,two_terminal,,,True,True,,
396.17,510.59,296.0,432.05,16,Mosfet,,,0.8862,pilot_001,,,,,,16.1,16.1,,,,,,,,component:16.1,Component,,,multi_terminal,,,True,False,,
470.84,514.72,683.08,841.55,22,Resistor,,,0.8284,pilot_001,vertical,,,,,22.2,22.2,,,,,,,,component:22.2,Component,,,two_terminal,,,True,True,,
462.19,526.96,903.36,993.57,9,GND,,,0.7818,pilot_001,,,,,,9.2,9.2,,,,,,,,component:9.2,Component,,,one_terminal,,,True,True,,
652.15,696.37,256.4,410.64,22,Resistor,,,0.7943,pilot_001,vertical,,,,,22.3,22.3,,,,,,,,component:22.3,Component,,,two_terminal,,,True,True,,
644.7,708.26,508.92,617.78,9,GND,,,0.8107,pilot_001,,,,,,9.3,9.3,,,,,,,,component:9.3,Component,,,one_terminal,,,True,True,,
817.54,896.37,266.77,396.83,4,Capacitor,,,0.8077,pilot_001,vertical,,,,,4.3,4.3,,,,,,,,component:4.3,Component,,,two_terminal,,,True,True,,
826.01,891.62,512.23,614.78,9,GND,,,0.7976,pilot_001,,,,,,9.4,9.4,,,,,,,,component:9.4,Component,,,one_terminal,,,True,True,,
930.75,960.3,95.92,147.09,26,Terminal,,,0.7675,pilot_001,,,,,,26.1,26.1,,,,,,,,component:26.1,Component,,,one_terminal,,,True,True,,
,,,,,,9,GND,,pilot_001,,,,,,9.1,9.1:t1,0.0,matched_single,N1,1,,,,terminal:9.1:t1,Terminal,,top,,9.1:t1,t1,,,118.48,847.19
,,,,,,31,Voltage_Source,,pilot_001,,,,,,31.1,31.1:t1,0.0,matched_single,N2,2,,,,terminal:31.1:t1,Terminal,,top,,31.1:t1,t1,,,118.71,549.47
,,,,,,31,Voltage_Source,,pilot_001,,,,,,31.1,31.1:t2,0.0,matched_single,N1,1,,,,terminal:31.1:t2,Terminal,,bottom,,31.1:t2,t2,,,118.71,688.41
,,,,,,22,Resistor,,pilot_001,horizontal,,,,,22.1,22.1:t1,0.0,matched_single,N2,2,,,,terminal:22.1:t1,Terminal,,left,,22.1:t1,t1,,,176.42,359.06
,,,,,,22,Resistor,,pilot_001,horizontal,,,,,22.1,22.1:t2,0.0,matched_single,N3,3,,,,terminal:22.1:t2,Terminal,,right,,22.1:t2,t2,,,268.87,359.06
,,,,,,4,Capacitor,,pilot_001,vertical,,,,,4.1,4.1:t1,0.0,matched_single,N3,3,,,,terminal:4.1:t1,Terminal,,top,,4.1:t1,t1,,,329.77,429.31
,,,,,,4,Capacitor,,pilot_001,vertical,,,,,4.1,4.1:t2,0.0,matched_single,N4,4,,,,terminal:4.1:t2,Terminal,,bottom,,4.1:t2,t2,,,329.77,534.71
,,,,,,4,Capacitor,,pilot_001,vertical,,,,,4.2,4.2:t1,0.0,matched_single,N6,6,,,,terminal:4.2:t1,Terminal,,top,,4.2:t1,t1,,,331.13,195.35
,,,,,,4,Capacitor,,pilot_001,vertical,,,,,4.2,4.2:t2,0.0,matched_single,N3,3,,,,terminal:4.2:t2,Terminal,,bottom,,4.2:t2,t2,,,331.13,294.27
,,,,,,22,Resistor,,pilot_001,vertical,,,,,22.2,22.2:t1,0.0,matched_single,N4,4,,,,terminal:22.2:t1,Terminal,,top,,22.2:t1,t1,,,492.78,683.08
,,,,,,22,Resistor,,pilot_001,vertical,,,,,22.2,22.2:t2,0.0,matched_single,N5,5,,,,terminal:22.2:t2,Terminal,,bottom,,22.2:t2,t2,,,492.78,841.55
,,,,,,9,GND,,pilot_001,,,,,,9.2,9.2:t1,0.0,matched_single,N5,5,,,,terminal:9.2:t1,Terminal,,top,,9.2:t1,t1,,,494.58,903.36
,,,,,,22,Resistor,,pilot_001,vertical,,,,,22.3,22.3:t1,0.0,matched_single,N6,6,,,,terminal:22.3:t1,Terminal,,top,,22.3:t1,t1,,,674.26,256.4
,,,,,,22,Resistor,,pilot_001,vertical,,,,,22.3,22.3:t2,0.0,matched_single,N7,7,,,,terminal:22.3:t2,Terminal,,bottom,,22.3:t2,t2,,,674.26,410.64
,,,,,,9,GND,,pilot_001,,,,,,9.3,9.3:t1,0.0,matched_single,N7,7,,,,terminal:9.3:t1,Terminal,,top,,9.3:t1,t1,,,676.48,508.92
,,,,,,4,Capacitor,,pilot_001,vertical,,,,,4.3,4.3:t1,0.0,matched_single,N6,6,,,,terminal:4.3:t1,Terminal,,top,,4.3:t1,t1,,,856.95,266.77
,,,,,,4,Capacitor,,pilot_001,vertical,,,,,4.3,4.3:t2,0.0,matched_single,N8,8,,,,terminal:4.3:t2,Terminal,,bottom,,4.3:t2,t2,,,856.95,396.83
,,,,,,9,GND,,pilot_001,,,,,,9.4,9.4:t1,0.0,matched_single,N8,8,,,,terminal:9.4:t1,Terminal,,top,,9.4:t1,t1,,,858.82,512.23
,,,,,,26,Terminal,,pilot_001,,,,,,26.1,26.1:t1,0.0,matched_single,N6,6,,,,terminal:26.1:t1,Terminal,,left,,26.1:t1,t1,,,930.75,121.5
109,128,681,856,,,,,,pilot_001,,,,,,,N1,,,,,2,N1,1,net:N1,Net,195,,,,,,,,
104,185,359,556,,,,,,pilot_001,,,,,,,N2,,,,,2,N2,2,net:N2,Net,291,,,,,,,,
261,401,284,436,,,,,,pilot_001,,,,,,,N3,,,,,3,N3,3,net:N3,Net,298,,,,,,,,
332,496,424,692,,,,,,pilot_001,,,,,,,N4,,,,,2,N4,4,net:N4,Net,504,,,,,,,,
493,495,832,912,,,,,,pilot_001,,,,,,,N5,,,,,2,N5,5,net:N5,Net,81,,,,,,,,
331,938,111,301,,,,,,pilot_001,,,,,,,N6,,,,,4,N6,6,net:N6,Net,1220,,,,,,,,
676,676,402,518,,,,,,pilot_001,,,,,,,N7,,,,,2,N7,7,net:N7,Net,117,,,,,,,,
857,857,387,520,,,,,,pilot_001,,,,,,,N8,,,,,2,N8,8,net:N8,Net,134,,,,,,,,
