class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
Voltage_Source,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_component:31.1,31.1,,,,,,,,HAS_COMPONENT,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.1,,
Voltage_Source,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_component:31.2,31.2,,,,,,,,HAS_COMPONENT,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.2,,
Inductor,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_component:10.1,10.1,,,,,,,,HAS_COMPONENT,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:10.1,,
Inductor,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_component:10.2,10.2,,,,,,,,HAS_COMPONENT,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:10.2,,
Current_Source,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_component:6.1,6.1,,,,,,,,HAS_COMPONENT,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:6.1,,
Current_Source,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_component:6.2,6.2,,,,,,,,HAS_COMPONENT,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:6.2,,
Capacitor,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_component:4.1,4.1,,,,,,,,HAS_COMPONENT,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:4.1,,
Voltage_Source,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_component:31.3,31.3,,,,,,,,HAS_COMPONENT,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.3,,
Voltage_Source,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_component:31.4,31.4,,,,,,,,HAS_COMPONENT,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.4,,
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_net:N1,,,,,,,N1,1,HAS_NET,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,net:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:N1,,
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_net:N2,,,,,,,N2,2,HAS_NET,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,net:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:N2,,
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_net:N3,,,,,,,N3,3,HAS_NET,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,net:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:N3,,
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_net:N4,,,,,,,N4,4,HAS_NET,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,net:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:N4,,
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_net:N5,,,,,,,N5,5,HAS_NET,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,net:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:N5,,
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:diagram_to_net:N6,,,,,,,N6,6,HAS_NET,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,net:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:N6,,
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:31.1:terminal:31.1:t1,31.1,,,,,,,,HAS_TERMINAL,top,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.1,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.1:t1,31.1:t1,t1
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:31.1:terminal:31.1:t2,31.1,,,,,,,,HAS_TERMINAL,bottom,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.1,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.1:t2,31.1:t2,t2
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:31.2:terminal:31.2:t1,31.2,,,,,,,,HAS_TERMINAL,top,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.2,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.2:t1,31.2:t1,t1
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:31.2:terminal:31.2:t2,31.2,,,,,,,,HAS_TERMINAL,bottom,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.2,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.2:t2,31.2:t2,t2
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:10.1:terminal:10.1:t1,10.1,,,,,,,,HAS_TERMINAL,left,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:10.1,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:10.1:t1,10.1:t1,t1
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:10.1:terminal:10.1:t2,10.1,,,,,,,,HAS_TERMINAL,right,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:10.1,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:10.1:t2,10.1:t2,t2
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:10.2:terminal:10.2:t1,10.2,,,,,,,,HAS_TERMINAL,left,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:10.2,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:10.2:t1,10.2:t1,t1
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:10.2:terminal:10.2:t2,10.2,,,,,,,,HAS_TERMINAL,right,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:10.2,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:10.2:t2,10.2:t2,t2
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:6.1:terminal:6.1:t1,6.1,,,,,,,,HAS_TERMINAL,left,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:6.1,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:6.1:t1,6.1:t1,t1
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:6.1:terminal:6.1:t2,6.1,,,,,,,,HAS_TERMINAL,right,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:6.1,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:6.1:t2,6.1:t2,t2
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:6.2:terminal:6.2:t1,6.2,,,,,,,,HAS_TERMINAL,left,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:6.2,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:6.2:t1,6.2:t1,t1
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:6.2:terminal:6.2:t2,6.2,,,,,,,,HAS_TERMINAL,right,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:6.2,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:6.2:t2,6.2:t2,t2
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:4.1:terminal:4.1:t1,4.1,,,,,,,,HAS_TERMINAL,top,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:4.1,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:4.1:t1,4.1:t1,t1
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:4.1:terminal:4.1:t2,4.1,,,,,,,,HAS_TERMINAL,bottom,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:4.1,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:4.1:t2,4.1:t2,t2
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:31.3:terminal:31.3:t1,31.3,,,,,,,,HAS_TERMINAL,top,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.3,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.3:t1,31.3:t1,t1
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:31.3:terminal:31.3:t2,31.3,,,,,,,,HAS_TERMINAL,bottom,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.3,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.3:t2,31.3:t2,t2
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:31.4:terminal:31.4:t1,31.4,,,,,,,,HAS_TERMINAL,top,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.4,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.4:t1,31.4:t1,t1
,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:component:31.4:terminal:31.4:t2,31.4,,,,,,,,HAS_TERMINAL,bottom,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.4,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.4:t2,31.4:t2,t2
,Voltage_Source,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:terminal:31.1:t1:net:N1,,False,high,0.0,matched_preferred,[],N1,1,CONNECTED_TO,,"[132, 715]",terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.1:t1,net:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:N1,31.1:t1,
,Voltage_Source,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:terminal:31.1:t2:net:N3,,False,high,0.0,matched_preferred,[],N3,3,CONNECTED_TO,,"[132, 872]",terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.1:t2,net:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:N3,31.1:t2,
,Voltage_Source,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:terminal:31.2:t1:net:N2,,False,high,1.0,matched_preferred,[],N2,2,CONNECTED_TO,,"[332, 705]",terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.2:t1,net:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:N2,31.2:t1,
,Voltage_Source,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,edge:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:terminal:31.2:t2:net:N3,,False,high,1.0,matched_preferred,[],N3,3,CONNECTED_TO,,"[332, 861]",terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.2:t2,net:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:N3,31.2:t2,
