class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
GND,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,edge:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:diagram_to_component:9.1,9.1,,,,,,,,HAS_COMPONENT,,,diagram:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:9.1,,
Battery,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,edge:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:diagram_to_component:2.1,2.1,,,,,,,,HAS_COMPONENT,,,diagram:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:2.1,,
Fuse,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,edge:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:diagram_to_component:8.1,8.1,,,,,,,,HAS_COMPONENT,,,diagram:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:8.1,,
Switch,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,edge:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:diagram_to_component:25.1,25.1,,,,,,,,HAS_COMPONENT,,,diagram:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:25.1,,
GND,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,edge:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:diagram_to_component:9.2,9.2,,,,,,,,HAS_COMPONENT,,,diagram:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:9.2,,
Meter,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,edge:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:diagram_to_component:15.1,15.1,,,,,,,,HAS_COMPONENT,,,diagram:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:15.1,,
GND,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,edge:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:diagram_to_component:9.3,9.3,,,,,,,,HAS_COMPONENT,,,diagram:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:9.3,,
Lamp,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,edge:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:diagram_to_component:13.1,13.1,,,,,,,,HAS_COMPONENT,,,diagram:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:13.1,,
Variable_Resistor,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,edge:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:diagram_to_component:30.1,30.1,,,,,,,,HAS_COMPONENT,,,diagram:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:30.1,,
GND,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,edge:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:diagram_to_component:9.4,9.4,,,,,,,,HAS_COMPONENT,,,diagram:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:9.4,,
