class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
GND,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,edge:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:diagram_to_component:9.1,9.1,,,,,,,,HAS_COMPONENT,,,diagram:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:9.1,,
Capacitor,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,edge:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:diagram_to_component:4.1,4.1,,,,,,,,HAS_COMPONENT,,,diagram:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:4.1,,
Resistor,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,edge:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:diagram_to_component:22.1,22.1,,,,,,,,HAS_COMPONENT,,,diagram:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:22.1,,
GND,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,edge:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:diagram_to_component:9.2,9.2,,,,,,,,HAS_COMPONENT,,,diagram:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:9.2,,
Resistor,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,edge:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:diagram_to_component:22.2,22.2,,,,,,,,HAS_COMPONENT,,,diagram:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:22.2,,
NPN_Transistor,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,edge:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:diagram_to_component:18.1,18.1,,,,,,,,HAS_COMPONENT,,,diagram:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:18.1,,
Resistor,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,edge:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:diagram_to_component:22.3,22.3,,,,,,,,HAS_COMPONENT,,,diagram:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:22.3,,
GND,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,edge:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:diagram_to_component:9.3,9.3,,,,,,,,HAS_COMPONENT,,,diagram:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:9.3,,
Inductor,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,edge:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:diagram_to_component:10.1,10.1,,,,,,,,HAS_COMPONENT,,,diagram:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:10.1,,
Capacitor,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,edge:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:diagram_to_component:4.2,4.2,,,,,,,,HAS_COMPONENT,,,diagram:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:4.2,,
