bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_index,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,,,1024,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\pilot_batch_v1_a\1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5.jpg,1024,,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,,,,,,,9,,18,6,,18,,,diagram:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,Diagram,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,
87.62,176.19,719.21,868.42,31,Voltage_Source,,,,0.927,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,,vertical,,,,,31.1,,31.1,,,,,,,,,,,2,,,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
289.06,376.88,709.46,857.08,31,Voltage_Source,,,,0.9419,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,,vertical,,,,,31.2,,31.2,,,,,,,,,,,2,,,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.2,Component,,,,,,,,,,,,two_terminal,,,True,True,,
513.63,696.91,525.19,594.02,10,Inductor,,,,0.8591,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,,horizontal,,,,,10.1,,10.1,,,,,,,,,,,2,,,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:10.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
513.75,697.09,102.66,178.11,10,Inductor,,,,0.8426,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,,horizontal,,,,,10.2,,10.2,,,,,,,,,,,2,,,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:10.2,Component,,,,,,,,,,,,two_terminal,,,True,True,,
565.5,652.38,639.94,786.12,6,Current_Source,,,,0.9474,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,,horizontal,,,,,6.1,,6.1,,,,,,,,,,,2,,,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:6.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
565.42,652.54,222.9,371.77,6,Current_Source,,,,0.9449,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,,horizontal,,,,,6.2,,6.2,,,,,,,,,,,2,,,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:6.2,Component,,,,,,,,,,,,two_terminal,,,True,True,,
835.7,925.6,216.09,306.15,4,Capacitor,,,,0.8658,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,,vertical,,,,,4.1,,4.1,,,,,,,,,,,2,,,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:4.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
837.39,926.1,707.66,856.18,31,Voltage_Source,,,,0.9399,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,,vertical,,,,,31.3,,31.3,,,,,,,,,,,2,,,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.3,Component,,,,,,,,,,,,two_terminal,,,True,True,,
837.55,926.3,356.26,505.81,31,Voltage_Source,,,,0.9299,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,,vertical,,,,,31.4,,31.4,,,,,,,,,,,2,,,,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.4,Component,,,,,,,,,,,,two_terminal,,,True,True,,
,,,,,,31,Voltage_Source,component:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.1,,,1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5,,vertical,,,,,31.1,False,31.1:t1,high,0.0,matched_preferred,[],N1,1,,,,,,,,,terminal:1855_png.rf.dbb9347e0504521b9007ff1d77af2ad5:31.1:t1,Terminal,,N1,1,top,directional,directional_primary,"[124, 693, 141, 738]",132,715,,,,31.1:t1,t1,,,131.91,715.21
