bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_index,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,,,1024,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\pilot_batch_v1_a\ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b.jpg,1024,,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,,,,,,,17,,28,12,,28,,,diagram:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,Diagram,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,
49.33,76.4,504.42,574.89,9,GND,,,,0.8154,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,top,up,,,,,9.1,,9.1,,,,,,,,,,,1,,,,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:9.1,Component,,,,,,,,,,,,one_terminal,,,True,True,,
45.15,81.24,239.0,377.64,2,Battery,,,,0.8662,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,,,,,,,2.1,,2.1,,,,,,,,,,,2,,,,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:2.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
123.13,191.74,87.17,182.11,8,Fuse,,,,0.906,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,,horizontal,,,,,8.1,,8.1,,,,,,,,,,,2,,,,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:8.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
272.41,338.69,61.73,170.34,25,Switch,,,,0.8419,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,,horizontal,,,,,25.1,,25.1,,,,,,,,,,,2,,,,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:25.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
358.3,385.09,615.05,681.18,9,GND,,,,0.8097,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,top,up,,,,,9.2,,9.2,,,,,,,,,,,1,,,,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:9.2,Component,,,,,,,,,,,,one_terminal,,,True,True,,
348.89,396.25,330.89,487.94,15,Meter,,,,0.9181,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,,vertical,,,,,15.1,,15.1,,,,,,,,,,,2,,,,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:15.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
453.67,478.75,955.85,1018.38,9,GND,,,,0.8241,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,top,up,,,,,9.3,,9.3,,,,,,,,,,,1,,,,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:9.3,Component,,,,,,,,,,,,one_terminal,,,True,True,,
443.32,490.76,673.29,827.64,13,Lamp,,,,0.8517,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,,vertical,,,,,13.1,,13.1,,,,,,,,,,,2,,,,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:13.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
451.5,496.45,314.52,525.08,30,Variable_Resistor,,,,0.8087,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,,vertical,,,,,30.1,,30.1,,,,,,,,,,,2,,,,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:30.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
561.13,586.4,954.03,1019.09,9,GND,,,,0.8277,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,top,up,,,,,9.4,,9.4,,,,,,,,,,,1,,,,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:9.4,Component,,,,,,,,,,,,one_terminal,,,True,True,,
550.64,597.67,310.16,520.15,30,Variable_Resistor,,,,0.8249,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,,vertical,,,,,30.2,,30.2,,,,,,,,,,,2,,,,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:30.2,Component,,,,,,,,,,,,two_terminal,,,True,True,,
560.55,587.79,690.56,807.49,4,Capacitor,,,,0.7664,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,,vertical,,,,,4.1,,4.1,,,,,,,,,,,2,,,,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:4.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
663.6,699.21,699.97,803.99,7,Diode,,,,0.8756,,ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b,,vertical,,,,,7.1,,7.1,,,,,,,,,,,2,,,,component:ele43_png.rf.a1b6edbe8d71413e1e59354752fc265b:7.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
