bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_index,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,,,1024,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\pilot_batch_v1_a\spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9.jpg,1024,,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,,,,,,,14,,21,9,,21,,,diagram:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,Diagram,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,
78.62,116.6,785.27,848.26,9,GND,,,,0.836,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,top,up,,,,,9.1,,9.1,,,,,,,,,,,1,,,,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:9.1,Component,,,,,,,,,,,,one_terminal,,,True,True,,
71.51,124.12,567.08,610.95,4,Capacitor,,,,0.8093,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,,vertical,,,,,4.1,,4.1,,,,,,,,,,,2,,,,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:4.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
270.0,296.59,603.33,744.47,22,Resistor,,,,0.7878,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,,vertical,,,,,22.1,,22.1,,,,,,,,,,,2,,,,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:22.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
264.03,302.86,758.01,819.45,9,GND,,,,0.8184,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,top,up,,,,,9.2,,9.2,,,,,,,,,,,1,,,,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:9.2,Component,,,,,,,,,,,,one_terminal,,,True,True,,
268.12,299.13,247.51,389.13,22,Resistor,,,,0.7884,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,,vertical,,,,,22.2,,22.2,,,,,,,,,,,2,,,,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:22.2,Component,,,,,,,,,,,,two_terminal,,,True,True,,
505.2,572.58,438.26,612.32,18,NPN_Transistor,,,,0.8131,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,,,,,,,18.1,,18.1,,,,,,,,,,,0,,,,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:18.1,Component,,,,,,,,,,,,multi_terminal,,,True,False,,
541.09,567.64,731.45,867.94,22,Resistor,,,,0.7724,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,,vertical,,,,,22.3,,22.3,,,,,,,,,,,2,,,,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:22.3,Component,,,,,,,,,,,,two_terminal,,,True,True,,
536.12,573.41,906.28,968.36,9,GND,,,,0.8096,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,top,up,,,,,9.3,,9.3,,,,,,,,,,,1,,,,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:9.3,Component,,,,,,,,,,,,one_terminal,,,True,True,,
543.0,568.84,221.57,346.39,10,Inductor,,,,0.822,,spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9,,vertical,,,,,10.1,,10.1,,,,,,,,,,,2,,,,component:spider_images_14477_png.rf.411d3d74021bf4ebb4f40824f716c0a9:10.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
