bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_index,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,1,,,1024,1.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\pilot_batch_v2\1.jpg,1024,,,1,,,,,,,17,,29,6,,29,,,diagram:1,Diagram,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,
14.35,47.05,364.53,407.39,26,Terminal,,,,0.7004,,1,,right,,,,,26.1,,26.1,,,,,,,,,,,1,,,,component:1:26.1,Component,,,,,,,,,,,,variable_terminal,,,True,True,,
74.47,152.3,589.1,694.98,6,Current_Source,,,,0.9235,,1,,vertical,,,,,6.1,,6.1,,,,,,,,,,,2,,,,component:1:6.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
184.54,253.19,728.66,804.38,20,Polarized_Capacitor,,,,0.764,,1,,vertical,,,,,20.1,,20.1,,,,,,,,,,,2,,,,component:1:20.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
277.99,382.66,354.74,421.15,22,Resistor,,,,0.8687,,1,,horizontal,,,,,22.1,,22.1,,,,,,,,,,,2,,,,component:1:22.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
339.64,392.87,623.72,720.93,20,Polarized_Capacitor,,,,0.8488,,1,,horizontal,,,,,20.2,,20.2,,,,,,,,,,,2,,,,component:1:20.2,Component,,,,,,,,,,,,two_terminal,,,True,True,,
485.53,520.57,828.34,873.93,26,Terminal,,,,0.7437,,1,,bottom,,,,,26.2,,26.2,,,,,,,,,,,1,,,,component:1:26.2,Component,,,,,,,,,,,,variable_terminal,,,True,True,,
485.06,521.49,715.47,761.53,26,Terminal,,,,0.6474,,1,,top,,,,,26.3,,26.3,,,,,,,,,,,1,,,,component:1:26.3,Component,,,,,,,,,,,,variable_terminal,,,True,True,,
455.89,552.89,336.05,402.26,25,Switch,,,,0.8254,,1,,horizontal,,,,,25.1,,25.1,,,,,,,,,,,2,,,,component:1:25.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
475.36,549.65,52.22,150.51,6,Current_Source,,,,0.9187,,1,,horizontal,,,,,6.2,,6.2,,,,,,,,,,,2,,,,component:1:6.2,Component,,,,,,,,,,,,two_terminal,,,True,True,,
463.56,570.41,201.14,267.03,22,Resistor,,,,0.8528,,1,,horizontal,,,,,22.2,,22.2,,,,,,,,,,,2,,,,component:1:22.2,Component,,,,,,,,,,,,two_terminal,,,True,True,,
560.21,626.38,958.14,1018.33,9,GND,,,,0.8283,,1,top,up,,,,,9.1,,9.1,,,,,,,,,,,1,,,,component:1:9.1,Component,,,,,,,,,,,,one_terminal,,,True,True,,
613.38,665.45,507.58,597.79,20,Polarized_Capacitor,,,,0.8609,,1,,horizontal,,,,,20.3,,20.3,,,,,,,,,,,2,,,,component:1:20.3,Component,,,,,,,,,,,,two_terminal,,,True,True,,
645.38,696.31,623.27,720.18,20,Polarized_Capacitor,,,,0.8622,,1,,horizontal,,,,,20.4,,20.4,,,,,,,,,,,2,,,,component:1:20.4,Component,,,,,,,,,,,,two_terminal,,,True,True,,
632.82,769.82,331.27,438.72,31,Voltage_Source,,,,0.8678,,1,,horizontal,,,,,31.1,,31.1,,,,,,,,,,,2,,,,component:1:31.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
