class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
Voltage_Source,,5,edge:5:diagram_to_component:31.1,31.1,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:31.1,,
GND,,5,edge:5:diagram_to_component:9.1,9.1,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:9.1,,
GND,,5,edge:5:diagram_to_component:9.2,9.2,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:9.2,,
Switch,,5,edge:5:diagram_to_component:25.1,25.1,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:25.1,,
Switch,,5,edge:5:diagram_to_component:25.2,25.2,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:25.2,,
Capacitor,,5,edge:5:diagram_to_component:4.1,4.1,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:4.1,,
Switch,,5,edge:5:diagram_to_component:25.3,25.3,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:25.3,,
GND,,5,edge:5:diagram_to_component:9.3,9.3,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:9.3,,
GND,,5,edge:5:diagram_to_component:9.4,9.4,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:9.4,,
Operational_Amplifier,,5,edge:5:diagram_to_component:19.1,19.1,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:19.1,,
Capacitor,,5,edge:5:diagram_to_component:4.2,4.2,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:4.2,,
Switch,,5,edge:5:diagram_to_component:25.4,25.4,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:25.4,,
Switch,,5,edge:5:diagram_to_component:25.5,25.5,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:25.5,,
GND,,5,edge:5:diagram_to_component:9.5,9.5,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:9.5,,
Terminal,,5,edge:5:diagram_to_component:26.1,26.1,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:26.1,,
GND,,5,edge:5:diagram_to_component:9.6,9.6,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:9.6,,
Terminal,,5,edge:5:diagram_to_component:26.2,26.2,,,,,,,,HAS_COMPONENT,,,diagram:5,component:5:26.2,,
,,5,edge:5:diagram_to_net:N1,,,,,,,N1,1,HAS_NET,,,diagram:5,net:5:N1,,
,,5,edge:5:diagram_to_net:N2,,,,,,,N2,2,HAS_NET,,,diagram:5,net:5:N2,,
,,5,edge:5:diagram_to_net:N3,,,,,,,N3,3,HAS_NET,,,diagram:5,net:5:N3,,
,,5,edge:5:diagram_to_net:N4,,,,,,,N4,4,HAS_NET,,,diagram:5,net:5:N4,,
