bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_index,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,3,,,1024,3.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\pilot_batch_v2\3.jpg,1024,,,3,,,,,,,12,,20,4,,20,,,diagram:3,Diagram,,,,,,,,,,06_match_terminals_to_nets,,,,,,,,
42.35,59.99,134.68,176.36,26,Terminal,,,,0.6199,,3,,right,,,,,26.1,,26.1,,,,,,,,,,,1,,,,component:3:26.1,Component,,,,,,,,,,,,variable_terminal,,,True,True,,
252.81,307.35,305.95,373.24,4,Capacitor,,,,0.8264,,3,,vertical,,,,,4.1,,4.1,,,,,,,,,,,2,,,,component:3:4.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
336.44,372.55,103.72,213.06,4,Capacitor,,,,0.7867,,3,,horizontal,,,,,4.2,,4.2,,,,,,,,,,,2,,,,component:3:4.2,Component,,,,,,,,,,,,two_terminal,,,True,True,,
415.91,453.04,785.86,896.69,4,Capacitor,,,,0.8087,,3,,horizontal,,,,,4.3,,4.3,,,,,,,,,,,2,,,,component:3:4.3,Component,,,,,,,,,,,,two_terminal,,,True,True,,
424.72,444.63,653.47,694.47,26,Terminal,,,,0.6914,,3,,top,,,,,26.2,,26.2,,,,,,,,,,,1,,,,component:3:26.2,Component,,,,,,,,,,,,variable_terminal,,,True,True,,
409.63,460.09,286.54,395.58,6,Current_Source,,,,0.9054,,3,,vertical,,,,,6.1,,6.1,,,,,,,,,,,2,,,,component:3:6.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
566.65,617.96,285.54,396.53,6,Current_Source,,,,0.9073,,3,,vertical,,,,,6.2,,6.2,,,,,,,,,,,2,,,,component:3:6.2,Component,,,,,,,,,,,,two_terminal,,,True,True,,
583.21,601.77,912.39,949.39,26,Terminal,,,,0.7143,,3,,top,,,,,26.3,,26.3,,,,,,,,,,,1,,,,component:3:26.3,Component,,,,,,,,,,,,variable_terminal,,,True,True,,
565.87,619.46,651.52,719.02,4,Capacitor,,,,0.8341,,3,,vertical,,,,,4.4,,4.4,,,,,,,,,,,2,,,,component:3:4.4,Component,,,,,,,,,,,,two_terminal,,,True,True,,
726.21,763.34,278.51,404.75,22,Resistor,,,,0.8067,,3,,vertical,,,,,22.1,,22.1,,,,,,,,,,,2,,,,component:3:22.1,Component,,,,,,,,,,,,two_terminal,,,True,True,,
871.83,925.05,491.1,565.37,4,Capacitor,,,,0.7826,,3,,vertical,,,,,4.5,,4.5,,,,,,,,,,,2,,,,component:3:4.5,Component,,,,,,,,,,,,two_terminal,,,True,True,,
968.37,985.58,134.41,176.17,26,Terminal,,,,0.6387,,3,,left,,,,,26.4,,26.4,,,,,,,,,,,1,,,,component:3:26.4,Component,,,,,,,,,,,,variable_terminal,,,True,True,,
,,,,,,26,Terminal,component:3:26.1,,,3,,right,,,,,26.1,False,26.1:t1,high,1.0,matched_preferred,[],N1,1,,,,,,,,,terminal:3:26.1:t1,Terminal,,N1,1,right,directional,directional_primary,"[46, 150, 83, 163]",64,155,,,,26.1:t1,t1,,,63.99,155.52
,,,,,,4,Capacitor,component:3:4.1,,,3,,vertical,,,,,4.1,False,4.1:t1,high,2.0,matched_preferred,[],N1,1,,,,,,,,,terminal:3:4.1:t1,Terminal,,N1,1,top,directional,directional_primary,"[274, 284, 287, 321]",278,302,,,,4.1:t1,t1,,,280.08,301.95
,,,,,,4,Capacitor,component:3:4.1,,,3,,vertical,,,,,4.1,False,4.1:t2,high,2.0,matched_preferred,[],N2,2,,,,,,,,,terminal:3:4.1:t2,Terminal,,N2,2,bottom,directional,directional_primary,"[274, 359, 287, 396]",278,377,,,,4.1:t2,t2,,,280.08,377.24
,,,,,,4,Capacitor,component:3:4.2,,,3,,horizontal,,,,,4.2,False,4.2:t1,high,3.0,matched_preferred,[],N1,1,,,,,,,,,terminal:3:4.2:t1,Terminal,,N1,1,left,directional,directional_primary,"[314, 152, 351, 165]",332,155,,,,4.2:t1,t1,,,332.44,158.39
,,,,,,4,Capacitor,component:3:4.2,,,3,,horizontal,,,,,4.2,False,4.2:t2,high,3.0,matched_preferred,[],N3,3,,,,,,,,,terminal:3:4.2:t2,Terminal,,N3,3,right,directional,directional_primary,"[359, 152, 396, 165]",377,155,,,,4.2:t2,t2,,,376.55,158.39
