bbox_x1,bbox_x2,bbox_y1,bbox_y2,class_id,class_name,component_class_id,component_class_name,component_node_id,confidence,connected_terminal_ids,diagram_id,estimated_connection_side,estimated_orientation,image_height,image_name,image_path,image_width,instance_id,is_suspicious_match,label,match_confidence,match_distance_px,match_status,match_warnings,matched_net_id,matched_net_index,n_components,n_connected_terminals,n_connections,n_nets,n_terminals,n_terminals_estimated,net_id,net_index,node_id,node_type,pixel_count,preferred_net_id_from_05,preferred_net_index_from_05,relative_position,search_kind,search_stage,search_window,snap_x,snap_y,source_json_stage,source_label,symbol_type,terminal_id,terminal_name,terminal_point_debug,terminal_point_mode,use_for_masking,use_for_terminals,x,y
,,,,,,,,,,,1,,,1024,1.jpg,C:\Users\m.profilo\Desktop\tesi_diagrams_yolo\data\batch_v3.1_mosfet_transistor\1.jpg,1024,,,1,,,,,,,17,,43,17,,43,,,diagram:1,Diagram,,,,,,,,,,06_match_terminals_to_nets_v3,,,,,,,,,,
88.07,200.56,559.84,681.36,6,Current_Source,,,,0.9277,,1,,vertical,,,,,6.1,,6.1,,,,,,,,,,,2,,,,component:1:6.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
123.74,228.04,166.47,258.67,16,Mosfet,,,,0.8104,,1,,right,,,,,16.1,,16.1,,,,,,,,,,,3,,,,component:1:16.1,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
130.52,227.68,337.74,426.96,16,Mosfet,,,,0.8671,,1,,right,,,,,16.2,,16.2,,,,,,,,,,,3,,,,component:1:16.2,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
132.98,229.84,815.37,906.78,16,Mosfet,,,,0.6349,,1,,right,,,,,16.3,,16.3,,,,,,,,,,,3,,,,component:1:16.3,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
260.39,306.27,596.54,643.41,26,Terminal,,,,0.7028,,1,,right,,,,,26.1,,26.1,,,,,,,,,,,1,,,,component:1:26.1,Component,,,,,,,,,,,,variable_terminal,,,,,True,True,,
261.98,306.9,683.62,728.01,26,Terminal,,,,0.7972,,1,,right,,,,,26.2,,26.2,,,,,,,,,,,1,,,,component:1:26.2,Component,,,,,,,,,,,,variable_terminal,,,,,True,True,,
339.49,431.23,572.67,661.97,16,Mosfet,,,,0.8702,,1,,left,,,,,16.4,,16.4,,,,,,,,,,,3,,,,component:1:16.4,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
340.08,434.46,164.68,258.96,16,Mosfet,,,,0.8338,,1,,left,,,,,16.5,,16.5,,,,,,,,,,,3,,,,component:1:16.5,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
339.23,436.03,334.18,428.92,16,Mosfet,,,,0.8302,,1,,left,,,,,16.6,,16.6,,,,,,,,,,,3,,,,component:1:16.6,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
414.38,504.77,486.89,582.75,16,Mosfet,,,,0.8922,,1,,right,,,,,16.7,,16.7,,,,,,,,,,,3,,,,component:1:16.7,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
486.65,581.22,815.05,904.31,16,Mosfet,,,,0.8638,,1,,left,,,,,16.8,,16.8,,,,,,,,,,,3,,,,component:1:16.8,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
591.65,683.75,654.54,746.01,16,Mosfet,,,,0.8881,,1,,left,,,,,16.9,,16.9,,,,,,,,,,,3,,,,component:1:16.9,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
592.16,685.97,336.81,425.87,16,Mosfet,,,,0.8704,,1,,left,,,,,16.10,,16.10,,,,,,,,,,,3,,,,component:1:16.10,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
591.42,689.88,165.53,259.36,16,Mosfet,,,,0.8656,,1,,left,,,,,16.11,,16.11,,,,,,,,,,,3,,,,component:1:16.11,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
664.5,756.18,492.68,583.51,16,Mosfet,,,,0.828,,1,,right,,,,,16.12,,16.12,,,,,,,,,,,3,,,,component:1:16.12,Component,,,,,,,,,,,,three_terminal,,,,,True,True,,
748.0,866.12,576.06,706.69,2,Battery,,,,0.8652,,1,,,,,,,2.1,,2.1,,,,,,,,,,,2,,,,component:1:2.1,Component,,,,,,,,,,,,two_terminal,,,,,True,True,,
848.1,893.35,442.64,479.27,26,Terminal,,,,0.8143,,1,,left,,,,,26.3,,26.3,,,,,,,,,,,1,,,,component:1:26.3,Component,,,,,,,,,,,,variable_terminal,,,,,True,True,,
,,,,,,6,Current_Source,component:1:6.1,,,1,,vertical,,,,,6.1,False,6.1:t1,ok,0.0,matched_preferred,[],N1,1,,,,,,,,,terminal:1:6.1:t1,Terminal,,N1,1,top,directional,directional_primary,"[136, 534, 153, 563]",144,556,,,,6.1:t1,t1,"{""point_mode"": ""bbox_side_center"", ""anchor_offset_ratio"": 0.5}",bbox_side_center,,,144.31,555.84
