class_name,component_class_name,diagram_id,edge_id,instance_id,is_suspicious_match,match_confidence,match_distance_px,match_status,match_warnings,net_id,net_index,relation_type,relative_position,snap_point,source,target,terminal_id,terminal_name
Terminal,,3,edge:3:diagram_to_component:26.1,26.1,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:26.1,,
Terminal,,3,edge:3:diagram_to_component:26.2,26.2,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:26.2,,
Resistor,,3,edge:3:diagram_to_component:22.1,22.1,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:22.1,,
NPN_Transistor,,3,edge:3:diagram_to_component:18.1,18.1,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:18.1,,
NPN_Transistor,,3,edge:3:diagram_to_component:18.2,18.2,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:18.2,,
Resistor,,3,edge:3:diagram_to_component:22.2,22.2,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:22.2,,
Resistor,,3,edge:3:diagram_to_component:22.3,22.3,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:22.3,,
NPN_Transistor,,3,edge:3:diagram_to_component:18.3,18.3,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:18.3,,
GND,,3,edge:3:diagram_to_component:9.1,9.1,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:9.1,,
NPN_Transistor,,3,edge:3:diagram_to_component:18.4,18.4,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:18.4,,
Current_Source,,3,edge:3:diagram_to_component:6.1,6.1,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:6.1,,
Terminal,,3,edge:3:diagram_to_component:26.3,26.3,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:26.3,,
Terminal,,3,edge:3:diagram_to_component:26.4,26.4,,,,,,,,HAS_COMPONENT,,,diagram:3,component:3:26.4,,
,,3,edge:3:diagram_to_net:N1,,,,,,,N1,1,HAS_NET,,,diagram:3,net:3:N1,,
,,3,edge:3:diagram_to_net:N2,,,,,,,N2,2,HAS_NET,,,diagram:3,net:3:N2,,
,,3,edge:3:diagram_to_net:N3,,,,,,,N3,3,HAS_NET,,,diagram:3,net:3:N3,,
,,3,edge:3:diagram_to_net:N4,,,,,,,N4,4,HAS_NET,,,diagram:3,net:3:N4,,
,,3,edge:3:diagram_to_net:N5,,,,,,,N5,5,HAS_NET,,,diagram:3,net:3:N5,,
,,3,edge:3:diagram_to_net:N6,,,,,,,N6,6,HAS_NET,,,diagram:3,net:3:N6,,
,,3,edge:3:diagram_to_net:N7,,,,,,,N7,7,HAS_NET,,,diagram:3,net:3:N7,,
,,3,edge:3:component:26.1:terminal:26.1:t1,26.1,,,,,,,,HAS_TERMINAL,right,,component:3:26.1,terminal:3:26.1:t1,26.1:t1,t1
,,3,edge:3:component:26.2:terminal:26.2:t1,26.2,,,,,,,,HAS_TERMINAL,bottom,,component:3:26.2,terminal:3:26.2:t1,26.2:t1,t1
,,3,edge:3:component:22.1:terminal:22.1:t1,22.1,,,,,,,,HAS_TERMINAL,top,,component:3:22.1,terminal:3:22.1:t1,22.1:t1,t1
,,3,edge:3:component:22.1:terminal:22.1:t2,22.1,,,,,,,,HAS_TERMINAL,bottom,,component:3:22.1,terminal:3:22.1:t2,22.1:t2,t2
,,3,edge:3:component:18.1:terminal:18.1:t1,18.1,,,,,,,,HAS_TERMINAL,right,,component:3:18.1,terminal:3:18.1:t1,18.1:t1,t1
,,3,edge:3:component:18.1:terminal:18.1:t2,18.1,,,,,,,,HAS_TERMINAL,top,,component:3:18.1,terminal:3:18.1:t2,18.1:t2,t2
,,3,edge:3:component:18.1:terminal:18.1:t3,18.1,,,,,,,,HAS_TERMINAL,bottom,,component:3:18.1,terminal:3:18.1:t3,18.1:t3,t3
,,3,edge:3:component:18.2:terminal:18.2:t1,18.2,,,,,,,,HAS_TERMINAL,left,,component:3:18.2,terminal:3:18.2:t1,18.2:t1,t1
,,3,edge:3:component:18.2:terminal:18.2:t2,18.2,,,,,,,,HAS_TERMINAL,top,,component:3:18.2,terminal:3:18.2:t2,18.2:t2,t2
,,3,edge:3:component:18.2:terminal:18.2:t3,18.2,,,,,,,,HAS_TERMINAL,bottom,,component:3:18.2,terminal:3:18.2:t3,18.2:t3,t3
,,3,edge:3:component:22.2:terminal:22.2:t1,22.2,,,,,,,,HAS_TERMINAL,top,,component:3:22.2,terminal:3:22.2:t1,22.2:t1,t1
,,3,edge:3:component:22.2:terminal:22.2:t2,22.2,,,,,,,,HAS_TERMINAL,bottom,,component:3:22.2,terminal:3:22.2:t2,22.2:t2,t2
,,3,edge:3:component:22.3:terminal:22.3:t1,22.3,,,,,,,,HAS_TERMINAL,top,,component:3:22.3,terminal:3:22.3:t1,22.3:t1,t1
,,3,edge:3:component:22.3:terminal:22.3:t2,22.3,,,,,,,,HAS_TERMINAL,bottom,,component:3:22.3,terminal:3:22.3:t2,22.3:t2,t2
,,3,edge:3:component:18.3:terminal:18.3:t1,18.3,,,,,,,,HAS_TERMINAL,right,,component:3:18.3,terminal:3:18.3:t1,18.3:t1,t1
,,3,edge:3:component:18.3:terminal:18.3:t2,18.3,,,,,,,,HAS_TERMINAL,top,,component:3:18.3,terminal:3:18.3:t2,18.3:t2,t2
,,3,edge:3:component:18.3:terminal:18.3:t3,18.3,,,,,,,,HAS_TERMINAL,bottom,,component:3:18.3,terminal:3:18.3:t3,18.3:t3,t3
,,3,edge:3:component:9.1:terminal:9.1:t1,9.1,,,,,,,,HAS_TERMINAL,top,,component:3:9.1,terminal:3:9.1:t1,9.1:t1,t1
,,3,edge:3:component:18.4:terminal:18.4:t1,18.4,,,,,,,,HAS_TERMINAL,left,,component:3:18.4,terminal:3:18.4:t1,18.4:t1,t1
,,3,edge:3:component:18.4:terminal:18.4:t2,18.4,,,,,,,,HAS_TERMINAL,top,,component:3:18.4,terminal:3:18.4:t2,18.4:t2,t2
,,3,edge:3:component:18.4:terminal:18.4:t3,18.4,,,,,,,,HAS_TERMINAL,bottom,,component:3:18.4,terminal:3:18.4:t3,18.4:t3,t3
,,3,edge:3:component:6.1:terminal:6.1:t1,6.1,,,,,,,,HAS_TERMINAL,top,,component:3:6.1,terminal:3:6.1:t1,6.1:t1,t1
,,3,edge:3:component:6.1:terminal:6.1:t2,6.1,,,,,,,,HAS_TERMINAL,bottom,,component:3:6.1,terminal:3:6.1:t2,6.1:t2,t2
,,3,edge:3:component:26.3:terminal:26.3:t1,26.3,,,,,,,,HAS_TERMINAL,left,,component:3:26.3,terminal:3:26.3:t1,26.3:t1,t1
,,3,edge:3:component:26.4:terminal:26.4:t1,26.4,,,,,,,,HAS_TERMINAL,left,,component:3:26.4,terminal:3:26.4:t1,26.4:t1,t1
,Terminal,3,edge:3:terminal:26.1:t1:net:N3,,False,ok,0.0,matched_preferred,[],N3,3,CONNECTED_TO,,"[59, 940]",terminal:3:26.1:t1,net:3:N3,26.1:t1,
,Terminal,3,edge:3:terminal:26.2:t1:net:N1,,False,ok,1.0,matched_preferred,[],N1,1,CONNECTED_TO,,"[41, 384]",terminal:3:26.2:t1,net:3:N1,26.2:t1,
,Resistor,3,edge:3:terminal:22.1:t1:net:N4,,False,ok,0.0,matched_preferred,[],N4,4,CONNECTED_TO,,"[200, 409]",terminal:3:22.1:t1,net:3:N4,22.1:t1,
,Resistor,3,edge:3:terminal:22.1:t2:net:N2,,False,ok,0.0,matched_preferred,[],N2,2,CONNECTED_TO,,"[200, 499]",terminal:3:22.1:t2,net:3:N2,22.1:t2,
,NPN_Transistor,3,edge:3:terminal:18.1:t1:net:N2,,False,ok,0.0,matched_preferred,[],N2,2,CONNECTED_TO,,"[281, 679]",terminal:3:18.1:t1,net:3:N2,18.1:t1,
,NPN_Transistor,3,edge:3:terminal:18.1:t2:net:N2,,False,ok,1.0,matched_preferred,[],N2,2,CONNECTED_TO,,"[200, 608]",terminal:3:18.1:t2,net:3:N2,18.1:t2,
,NPN_Transistor,3,edge:3:terminal:18.1:t3:net:N3,,False,ok,1.0,matched_preferred,[],N3,3,CONNECTED_TO,,"[200, 754]",terminal:3:18.1:t3,net:3:N3,18.1:t3,
